Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
36,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Connect Community Engagement Program,,,AGL Energy,2023.0,"AGL continues to engage proactively with the communities it currently operates through well-established Community Consultative Committees and Community Dialogue Groups. As it embarks on new projects to deliver the commitments of our Climate Transition Action Plan, AGL will develop comprehensive community engagement strategies for each project to meaningfully engage and consult with key stakeholders, local communities and Traditional Owners in the proposed project locations.",,,,,26,,"Community engagement, Proactive engagement, Community Consultative Committees, Community Dialogue Groups",17,S,,,,,,,,,,,,,,,,
37,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-1,Process to determine material topics,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-2,List of material topics,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-3,Management of material topics,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"AGL generated $13,221 million in revenues in 2023.",,,,AGL Energy,2023.0,,,,,,105,,,,,,,,,,,,,,,,,,,,
42,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Climate Change on AGL's Financial Position,,,AGL Energy,2023.0,"Climate change-related risk is pervasive in AGL's overall financial position and performance, given the industry in which AGL operates. The associated audit risks we have identified include Forecast assumptions used in assessing the recoverable amount of property, plant and equipment and intangible assets. In particular, forecast price and volume assumptions and their interrelationship with forecast emissions costs and energy procurement costs may not appropriately reflect actual changes in supply and demand due to the impact of climate change.",,,,,172,,"Climate change, Financial position, Performance Industry, Forecast assumptions",8,E,,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Accelerated Closure of AGL's Thermal Coal Power Stations,,,AGL Energy,2023.0,"Management has brought forward the closure dates of AGL's thermal coal power stations in line with AGL's climate commitments announced as part of the Review of Strategic Direction (""RoSD"") and Climate Transition Action Plan (""CTAP"") in September 2022. The targeted, valuable lives of the thermal coal power stations may be further reduced as Australian federal and state governments move towards 'net zero' emissions targets.",,,,,172,,"AGL's thermal coal power stations, RoSD, CTAP",8,E,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Increased capital expenditure,,,AGL Energy,2023.0,Regulatory change regarding emissions schemes and targets may result in increased requirements for capital expenditure.,,,,,172,,"Regulatory change, Emissions \nEmissions, Capital expenditure",8,E,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,"AGL contributes to superannuation plans that provide defined benefit members with a lump sum on retirement, death, disablement and withdrawal. Some defined benefit members are eligible for pension benefits in some cases. Lump sum benefits are calculated based on years of service and final average salary. The defined benefit plans are closed to new members.",,,,AGL Energy,2023.0,,,,,,141,,,,,,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Invest in Security Capabilities,,,AGL Energy,2023.0,"AGL continues to invest in security capabilities, processes, and measures to protect critical infrastructure, assets, and data. Through preparation and rapid response capabilities, AGL proactively manages cyber risk to limit the likelihood of inappropriate access to systems and data and to limit the impact of cyber security incidents.\t",,,,,13,,"Security capabilities, Cyber risk management, Rapid response","8, 9",S,,,,,,,,,,,,,,,,
50,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Retail Transfermation,,,AGL Energy,2023.0,"AGL increased its investment in retail transformation to simplify and streamline its business processes and customer engagement. AGL has the highest-rated mobile application among its peers in Australia on the App Store. This year, self-service capabilities, including digital disconnection and direct debit, were added to simplify service access and improve customer query resolution time.\t",,,,,19,,"Retail Transformation, Customer Engagement, Mobile Application","8, 9, 17",S,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Energy Price Trade,,,AGL Energy,2023.0,"The wholesale electricity spot prices in New South Wales and Victoria surged compared to the previous year. At the same time, Queensland and South Australia witnessed a rise in the first half, followed by a decline in the second half of the year. The upsurge, particularly notable at the start of FY23, notably in July 2022, was influenced by elevated international coal and gas prices, persistent COVID-19-related supply chain disruptions, and flooding impacting coal supply in the Hunter Valley.",,,,,16,,"Wholesale electricity spot prices, international coal, COVID-19\t",8,"E, S",,,,,,,,,,,,,,,,
52,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,"During FY23, the Board approved AGL's updated Anti-Bribery, Corruption and Fraud Policy.",,,,AGL Energy,2023.0,,,,,,,4,,,,,,,,,,,,,,,,,,,
54,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,"Anti-Bribery, Corruption and Fraud Policy",,,AGL Energy,2023.0,"AGL's Anti-Bribery, Corruption and Fraud Policy prohibits any AGL activities that cause, support, or conceal corruption or bribery. This policy is reviewed every two years (or earlier if required) and was updated in FY23.",,,,,,18,"Anti-Bribery, Corruption, Fraud Policy",16,G,,,,,,,,,,,,,,,,
55,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,207.0,Tax,207-01,Approach to tax,AGL's effective tax rate on Underlying Profit is broadly in line with the Australian corporate tax rate of 30% before prior year adjustments and the research and development concessions.,,,,AGL Energy,2023.0,,,,,,26,,,,,,,,,,,,,,,,,,,,
58,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Income Tax Recovery,,,AGL Energy,2023.0,"AGL recognises a deferred tax asset related to tax losses. The recoverability of this asset depends on generating sufficient taxable income to use those tax losses. Management judgements and estimates are required to assess this recoverability, including forecasting enough future taxable income.\t",,,,,113,,"Deferred tax asset, Tax losses, Recoverability, Management judgments",8,G,,,,,,,,,,,,,,,,
59,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Risk Management Policy,,,AGL Energy,2023.0,"The Board has adopted a Risk Management Policy that sets out AGL's objectives for risk management and clearly articulates all AGL personnel's responsibilities for managing financial and non-financial risks. AGL has also adopted a Risk Appetite Statement, which is approved by the Board and overseen by the ARMC. AGL's Risk Appetite Statement was updated and endorsed by the Board in FY23.",,,,,,15,"Risk Management Policy, Financial risks, Non-financial risks",8,G,,,,,,,,,,,,,,,,
60,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,Tax Transparency Code,,,AGL Energy,2023.0,"AGL is committed to meeting all our tax compliance obligations and informing our stakeholders about the taxes paid. In this regard, AGL has adopted the Board of Taxation's voluntary Tax Transparency Code.",,,,,26,,"Tax Transparency Code, Tax Compliance, Tax Rate",16,G,,,,,,,,,,,,,,,,
61,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,301.0,Materials,301-02,Recycled input materials used,,Recycled waste ash utilization,,,AGL Energy,2023.0,"The final operating unit of the Liddell Power Station was safely shut down in April 2023, and the neighbouring Bayswater Power Station is targeted to be closed by 2033. Development activities across the Hunter Hub include the following pre-feasibility assessment with NuRock Building Products for a building products manufacturing facility utilising recycled waste ash.",,,,,23,,"Recycled waste, Manufacturing facility, Development activities","9, 15",E,,,,,,,,,,,,,,,,
64,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,302.0,Energy,302-01,Energy consumption within the organization,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,302.0,Energy,302-04,Reduction of energy consumption,"AGL now provides 444,969 carbon-neutral services across certified Climate Active products (up from 391,558 in FY22), including more than 150,000 carbon-neutral gas and electricity services.",,,,AGL Energy,2023.0,,,,,,13,,,,,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,Electrify Now,,,AGL Energy,2023.0,"AGL launched Electrify Now, a first-of-its-kind pilot for Australian energy retailers that provides personalised recommendations for customers on electrifying their homes and meeting their decarbonisation goals. Electrify Now is underpinned by advanced analytics utilising customers' smart meter data to tailor recommendations based on their household energy needs and usage patterns.",,,,,20,,"Electrify Now, Australian energy retailers, Pilot program, Decarbonisation goals","8, 9",E,,,,,,,,,,,,,,,,
70,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,AGL Energy,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
