Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
102,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,Safety campaigns,,,Atlas Arteria,2023.0,"Our businesses also run safety campaigns to empower customers with key safety actions. During the European summer break, APRR organised activities at rest areas along the A6 to encourage customers to stop regularly and prevent driver fatigue. Activities ranged from carnival rides and face painting to archery and CPR training.",,,,,"30, 33",,"Safety Campaigns, Customer Empowerment, Preventive Action","3, 11",S,,,,,,,,,,,,,,,,
103,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Atlas Arteria,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,403.0,Occupational Health and Safety,403-09,Work-related injuries,"At APRR, we did not meet our large business safety target with a lost-time injury frequency rate of 3.4. Pleasingly, we met our target of one or fewer lost-time injuries at our small businesses, with one lost-time injury at Chicago Skyway and no lost-time injuries recorded at Warnow Tunnel, Dulles Greenway, or the Corporate level.",,,,Atlas Arteria,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,
105,,403.0,Occupational Health and Safety,403-09,Work-related injuries,"Warnow Tunnel took positive steps to improve safety and the customer experience, achieving zero lost-time injuries (LTIs) during the calendar year.",,,,Atlas Arteria,2023.0,,,,,,6,,,,,,,,,,,,,,,,,,,,
106,,403.0,Occupational Health and Safety,403-09,Work-related injuries,"LTIFR = 3.36 at APRR LTI = 1 at Chicago Skyway LTI = 0 Maintained at Dulles Greenway, Warnow Tunnel and Corporate",,,,Atlas Arteria,2023.0,,,,,,28,,,,,,,,,,,,,,,,,,,,
107,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,Atlas Arteria,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,404.0,Training and Education,404-01,Average hours of training per year per employee,"We support a strong safety culture, and in 2023, Chicago Skyway conducted over 772 hours of safety training to keep our employees and customers safe.",,,,Atlas Arteria,2023.0,,,,,,23,,,,,,,,,,,,,,,,,,,,
109,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,,NO DISCLOSURE,Atlas Arteria,2023.0,,,,2,,,,,,,,,,,,,,,,,,,,,,
110,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Atlas Arteria,2023.0,,,,,,,,,,,,Code of Conduct,,,,,,,,,,,,,,
111,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,"We maintained a 40% gender balance across Boards, within senior executive roles and across all Atlas Arteria employees.\t",,,,Atlas Arteria,2023.0,,,,,,1,,,,,,,,,,,,,,,,,,,,
