Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"Auckland serves as Aotearoa, New Zealand's gateway, supporting thousands of businesses and millions of travellers to connect with the world.",,,,Auckland International Airport,2023.0,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,The scope of Auckland sustainability reporting and data metrics includes critical performance data from the Auckland International Airport.,,,,Auckland International Airport,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",Auckland details its performance in the 12 months to 30 June 2023.,,,,Auckland International Airport,2023.0,,,,,,8,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Auckland is past the initial waves of people rushing to reconnect with family and friends, and travel is almost back to normal, recovering in a way that has exceeded our and many of our airline partners' growth forecasts",,,,Auckland International Airport,2023.0,,,,,,10,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,,Third Party Assurance,,,Auckland International Airport,2023.0,"Third-party assurance is the process by which an independent party assesses and provides assurance on specific aspects of an organization's operations, systems, processes, or financial statements. This third independent party evaluates whether the organization's operations comply with particular standards, regulations, or best practices.",,,,,82,,"Third-party, External, Assurance",8.0,S,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","Almost 60 years on, Auckland Airport still inspires and connects those with an adventurous spirit Ã¢ÂÂ a unique 1,566-hectare precinct of travel, enterprise and trade, entertainment, dining, shopping and hospitality.",,,,Auckland International Airport,2023.0,,,,,,18,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"In FY23, Auckland International Airport companies employed an estimated 20000 people.",,,,Auckland International Airport,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"In FY23, Auckland Companies employed 300 contractors.",,,,Auckland International Airport,2023.0,,,,,,46,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"The constitution requires at most eight and at least three directors. The Board currently comprises eight directors, all of whom the Board considers to be 'independent' directors.",,,,Auckland International Airport,2023.0,,,,,,77,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,"The Board is responsible for selecting new directors, inducting directors, and developing a succession plan for Board members. Appropriate checks of any potential new director are undertaken before any appointment or putting forward to shareholders for election.",,,,Auckland International Airport,2023.0,,,,,,79,,,,,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,Mr Patrick Strange is the chair of Auckland International Airport.,,,,Auckland International Airport,2023.0,,,,,,92,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,,"CompanyÃ¢ÂÂs commitment to the community, environment and health and safety",,,Auckland International Airport,2023.0,"The highest governance body monitors the company's performance in meeting its community, environment, health, and safety commitments. It includes reviewing reports, metrics, and key performance indicators to assess compliance with relevant laws, regulations, and standards.\t",,,,,76,,"Governance, Impact, Performance",3.8,"E,S",,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,,Audit and Financial Risk Committee,,,Auckland International Airport,2023.0,"The Audit and Financial Risk Committee is responsible for financial risk management oversight. The committee provides general assistance to the Board in performing its responsibilities, with particular reference to financial risk management, financial reporting and audit functions.",,,,,79,,"Audit, Financial, Committee",8.0,S,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,,Infrastructure Development Committee,,,Auckland International Airport,2023.0,"The Infrastructure Development Committee assists the Board in meeting its governance responsibilities about the company's ongoing infrastructure development. This committee provides general feedback to the Board on the overall development programme, procurement strategies, project planning and progress.",,,,,79,,"Infrastructure, Development, Committee",8911.0,S,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,,"People, Capability and Kiwi Committee",,,Auckland International Airport,2023.0,"The People, Capability and Kiwi Committee ensures the company has sound remuneration policies and processes and oversees its human resource practices and relationships. This committee's charter outlines the relative weightings and remuneration components, performance criteria and approach to reviewing Kiwi matters.",,,,,79,,"Committee, People, Iwi",8.11,S,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,,Long-term Investment Decision,,,Auckland International Airport,2023.0,"A long-term investment decision refers to a strategic choice made by Auckland International Airport to allocate resources, typically capital, towards assets or projects with the expectation of generating returns over an extended period. Unlike short-term investments, which often focus on immediate gains or market fluctuations, long-term investment decisions prioritize sustainable growth and value creation over time.",,,,,11,,"Investment, Long-term, Sustainability",8.11,S,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,,Infrastructure Development Program,,,Auckland International Airport,2023.0,"An infrastructure development program is a strategic initiative Auckland International Airport undertake to plan, finance, and implement projects to improve physical infrastructure within a region, country, or community. Infrastructure refers to the fundamental facilities and systems necessary for a society, economy, or enterprise, including transportation, communication, energy, water supply, and public facilities.",,,,,11,,"Infrastructure, Development, Sustainability",8911.0,S,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-15,Conflict of interest,,Disclose to The General Counsel,,,Auckland International Airport,2023.0,"Auckland proactively of potential conflicts, such as conflict of interest, should be disclosed to the general counsel. Employees must not engage directly or indirectly in any outside business activity involving commercial contact with, or work for the benefit of, Auckland Airport's commercial customers, suppliers or competitors without the prior written consent of the General Counsel.",,,,,,,"Conflict, Disclosure, Counsel",10.16,S,,Location from Ethics and Code of Conduct Policy Page 4,,,,,,,,,,,,,,
