Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Brambles Limited (Brambles) is a global provider of supply chain logistics solutions and operates in approximately 60 countries.,,,,Brambles,2023.0,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Brambles is exposed to a range of strategic, operational, compliance and financial risks and environmental and social risks associated with operating in ~60 countries.",,,,Brambles,2023.0,,,,,,26,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",For the year ended 30 June 2023,,,,Brambles,2023.0,,,,,3,79,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,,,,NO DISCLOSURE,Brambles,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,Brambles uses the services of KPMG Limited to provide limited assurance on key elements of this review.,,,,Brambles,2023.0,,,,,3,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,Brambles Digital Strategy,,,Brambles,2023.0,"Brambles Digital Strategy improves the circularity of our business through initiatives that increase asset sharing, reuse, and recovery. It preserves the value of our manufactured capital (pallets and containers) while conserving natural capital through reduced demand for raw materials.",,,,12,,,"Digital strategy, Asset circularity, Supply chain sustainability","9, 12, 13",S,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,BramblesÃ¢ÂÂ digital programme,,,Brambles,2023.0,"Brambles' digital programme leverages exclusive data to power more brilliant, sustainable supply chains. These three practical work streams demonstrate how digital innovation is helping Brambles better understand asset movements, inefficiencies, misuse and customer-linked behaviour patterns. Targeted diagnostics: 'Smart pallets' test hypotheses by gathering a wealth of data, such as geolocation, that enables us to optimise our networks. Continuous diagnostics: This initiative monitors bright pallets, randomly distributed in multiple markets, to optimise network productivity and create more value for supply chains. Serialisation+: Unique identifiers allow Brambles to track pallet flows at individual asset levels and improve network efficiencies.",,,,12,,,"Digital innovation, Data-driven insights, Supply chain optimisation","9, 12, 13",S,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,Pallet Remanufacturing,,,Brambles,2023.0,"The CHEP USA Pallet Remanufacturing Team has implemented a new process at 57 service centres that advanced pallet repair capabilities. This process targeted pallets previously considered damaged beyond repair - when all three connector boards are damaged. This process has saved over 2.4 million pallets and helped CHEP USA avoid more than 12,408 tonnes of CO2-e, equivalent to the carbon sequestered by more than 7,200 hectares of US forests.",,,,13,,,"Pallet remanufacturing, Carbon emission reduction, Circular economy","9, 12, 13",S,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-7,Employees,,Sustainability Week & Awards 2023,,,Brambles,2023.0,"Every year, during Sustainability Week, Brambles and CHEP employees come together to explore how our business can further drive sustainability as we pioneer regenerative supply chains. This year, the theme for Sustainability Week was the integration of sustainability with the transformation programme, demonstrating linkages to the four strategic priorities: Digital Transformation, Customer Value, Business Excellence (focused on DEI and wellbeing), and Asset Efficiency & Network Productivity.",,,,"15, 16",,,"Sustainability Week, Regenerative supply chains, Strategic alignment","9, 12, 13",S,,,,,,,,,,,,,,,,
