Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
87,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Water stewardship: A landscape approach in the uMzimkhulu water catchment with WWF,,,Brambles,2023.0,"The partnership between CHEP and WWF in the uMzimkhulu catchment aims to safeguard water resources and promote sustainable natural resource management. This project secures the Southern Drakensberg water source area, providing for over four million downstream users and KwaZulu-Natal's economic hub. The partnership's initial phase will span 18 months and focus on improving water access, sustainable rangeland management, biodiversity, and effective catchment coordination.",,,,"20, 24",,,"Water conservation, Sustainable management, Catchment protection","6, 13",E,,,,,,,,,,,,,,,,
88,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Rainwater harvesting system,,,Brambles,2023.0,"The service centre of CHEP TÃÂ¼rkiye in Ankara successfully installed a rainwater harvesting system. This initiative has resulted in conserving 540,000kL of water over three years. Implementing this system provides many benefits, including environmental, financial, and operational advantages.",,,,28,,,"Rainwater harvesting, Water conservation, Operational Efficiency","6, 13",E,,,,,,,,,,,,,,,,
89,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Water recycling treatment system,,,Brambles,2023.0,"CHEP New Zealand successfully delivered a water recycling treatment system at the Penrose service centre. The system was an excellent opportunity to reduce water and costs, leading to a 90% reduction of water discharged annually. This new system also makes washing processes less energy and resource-intensive.\t",,,,28,,,"Water recycling, Resource conservation, Cost reduction","6, 13",E,,,,,,,,,,,,,,,,
90,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Brambles,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,303.0,Water and Effluents,303-03,Water withdrawal,Withdrawal from municipal water supplies or other water utilities: 213 megalitres,,,,Brambles,2023.0,,,,,,,,,,,,Sustainability Pack,,,,,,,,,,,,,,
92,,303.0,Water and Effluents,303-04,Water discharge,"192,5 megalitres",,,,Brambles,2023.0,,,,,,,,,,,,Sustainability Pack,,,,,,,,,,,,,,
93,,303.0,Water and Effluents,303-05,Water consumption,,FSC certification,,,Brambles,2023.0,"Before purchase, the timber farms were in poor condition and relations with the local community needed to be more favourable. Brambles has gone beyond the rigorous FSC certification process, enhanced the employees' working conditions and implemented leading forestry management practices. It will ensure that the previously degrading plantations thrive sustainably.",,,,"8, 24",,,"Sustainable forestry, Community engagement, FSC certification",15,S,,,,,,,,,,,,,,,,
94,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas","For Brambles, pioneering regenerative supply chains means nature-positive actions. In practice, this means preserving, restoring and revitalising natural systems. Our unique vertically integrated African business provides rare opportunities for direct nature-positive action with the community as a key stakeholder.",,,,Brambles,2023.0,,,,,24,,,,,,,,,,,,,,,,,,,,,
95,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,2025 Sustainability Targets Forest Positive,,,Brambles,2023.0,Maintain 100% sustainable sourcing Ã¢ÂÂ¢ Grow the CoC programme throughout the world's forestry supply chains Ã¢ÂÂ¢ Enable the sustainable growth of two trees for every tree we use,,,,"20, 21",,,"Sustainable sourcing, Forest regeneration, CoC programme",15,S,,,,,,,,,,,,,,,,
96,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Forest Positive Approach,,,Brambles,2023.0,"Brambles aims to set a global benchmark for sourcing certified sustainable wood for our products while promoting forest regeneration. Our Forest Positive strategy is straightforward: by 2025, we will enable the sustainable growth of two trees for everyone we need.",,,,"21, 22",,,"Forest regeneration, Sustainable growth, Environmental impact",15,S,,,,,,,,,,,,,,,,
97,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Value-added philanthropy,,,Brambles,2023.0,"Value-added philanthropy involves investing in afforestation, reforestation, and conservation projects that benefit local communities by restoring native forests and providing forest-linked income opportunities in sustainable agriculture.",,,,21,,,"Philanthropy, Afforestation, Community development",15,S,,,,,,,,,,,,,,,,
98,,304.0,Biodiversity,304-03,Habitats protected or restored,,LATAM ALA BoOL,,,Brambles,2023.0,"ALA BoOL and CHEP are working on a forestry regeneration project in Tabasco, Mexico. They plan to reforest 6,000 hectares of land and create sustainable income for local communities. This initiative rejuvenates former ranching land into thriving forests and leaves a lasting impact on local communities through sustainable and reliable income for landowners.",,,,"15, 21",,,"Forestry regeneration, Sustainable income, Community Impact",15,S,,,,,,,,,,,,,,,,
99,,304.0,Biodiversity,304-03,Habitats protected or restored,,Second Tree,,,Brambles,2023.0,"Brambles' strategic approach to achieving our Forest Positive Targets includes a regenerative forestry programme that enables the sustainable growth of two trees for every one used. This approach encourages diverse methods of increasing forest mass beyond our operational boundary. This approach will yield a substantial and enduring positive impact on our business, society, and the environment, and it requires multi-stakeholder collaborations for success.",,,,21,,,"Regenerative forestry, Sustainable growth, Multi-stakeholder collaboration",15,S,,,,,,,,,,,,,,,,
100,,304.0,Biodiversity,304-03,Habitats protected or restored,,"Regenerative partnership with WeForest in the Mafinga Hills, Zambia",,,Brambles,2023.0,"Brambles has formed a regenerative partnership with WeForest to promote sustainable restoration and management in the Mafinga District of Zambia. The initiative involves creating a Community Forest Area that will be managed sustainably to safeguard and restore forests while supporting local communities. This project will address widespread forest degradation by promoting good forest stewardship and reinforce the role of the local partner organisation, the Wildlife and Environment Conservation Society of Zambia, as a long-term advocate for the cause.",,,,"23, 24",,,"Forest restoration, Community management, Sustainable stewardship",15,S,,,,,,,,,,,,,,,,
101,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,Vulture Conservation with Wildlife ACT,,,Brambles,2023.0,"The Southern Drakensberg Vulture Conservation Project works with Wildlife ACT to safeguard endangered vultures in KwaZulu-Natal, South Africa, near CHEP SSA timber farms. Vultures are essential for a healthy ecosystem, but their numbers are dwindling due to poisoning, collisions, and illegal trade. The project protects their habitats, responds to poisonings, educates communities, and advocates for better law enforcement.",,,,24,,,"Vulture conservation, Ecosystem protection, Community Education",15,S,,,,,,,,,,,,,,,,
102,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,,Afforestation from Carbon Credits,,,Brambles,2023.0,"Afforestation from Carbon Credits is purchased to achieve our Scope 1 carbon neutrality target. It creates new forest mass and offsets emissions. However, the number of trees and the subsequent impact on our Forest Positive Target is modest.\t",,,,21,,,"Carbon offsetting, Afforestation, Emission reduction","13, 15",E,,Sustainability Pack,,,,,,,,,,,,,,
103,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"The location-based indirect GHG emissions: 16,407 ktCO2e",,,,Brambles,2023.0,,,,,,,,,,,,Sustainability Pack,,,,,,,,,,,,,,
