Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
41,,3.0,Material Topics,3-2,List of material topics,"The Mint's topics are Business ethics and values, Anti-Money Laundering and Counter-Terrorism Financing, Cybersecurity, data and privacy, Health, safety and well-being, Responsible sourcing, and Air Quality and Gases.",,,,Gold Corporation,2023.0,,,,,,17,,,,,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-3,Management of material topics,,AML (Anti-Money Laundering) Remediation Program,,,Gold Corporation,2023.0,"The Mint adopts a continuous improvement approach to this vital aspect of our business. The Mint is implementing Phase 2 of our AML Remediation Program, which has three interdependent components: Customer Data Remediation Project, Customer Process Uplift Project, and Customer Lifecycle Technology and Data Project.\t",,,,,19,,"Continuous improvement, AML, Anti-Money Laundering, Remediation Program, Customer Data Remediation Project",8,G,,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,The Mint generated $ 52.67 M annual profit before tax in 2023.,,,,Gold Corporation,2023.0,,,,,,4,,,,,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,Defined contribution plans,,,Gold Corporation,2023.0,"When due, obligations for contributions to defined contribution plans are recognised as personnel expenses in the consolidated statement of profit or loss and other comprehensive income. Prepaid contributions are recognised as assets to the extent that a cash refund or reduction in future payments is available.",,,,,79,,"Defined contribution plans, Personnel expenses, Prepaid contributions, Asset recognition",8,S,,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,"The Mint also intends to provide equal opportunities and rewards to all our employees, regardless of gender, disability or cultural background. The gender pay gap is an area of focus, with the gap between our male and female employees ' pay improving this year to 12.2%",,,,Gold Corporation,2023.0,,,,,,36,,,,,,,,,,,,,,,,,,,,
48,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,The Mint is increasing the proportion of Aboriginal and Torres Strait Islander people in our workforce from 2% to 4% by 2025.,,,,Gold Corporation,2023.0,,,,,,26,,,,,,,,,,,,,,,,,,,,
49,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Pyrometallurgical Advanced Melting,,,Gold Corporation,2023.0,"The Mint installed new Pyrometallurgical Advanced Melting (PAM) units, which enable gold to be refined with significantly reduced use of potentially harmful gases. Since the units were brought online, reductions in gas input have already been achieved. It will increase as they are progressively ramped up to total capacity over the coming year.",,,,,24,,"Pyrometallurgical Advanced Melting (PAM) units, Gold refining, Environmental impact",9,E,,,,,,,,,,,,,,,,
50,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Business Technology,,,Gold Corporation,2023.0,"The Business Technology team worked to strengthen its role in supporting functions across the business in 2022-23. A vital part of this work was a complete refresh of our network infrastructure to improve connections to information technology in previously inaccessible areas. It has enhanced the capacity of refinery and coining division employees to use IT services to connect to critical equipment, improving efficiency and enabling data-driven decision-making.",,,,,13,,"Business Technology, Network infrastructure, IT support","8, 9",S,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Audit cybersecurity infrastructure,,,Gold Corporation,2023.0,The Mint's business Technology team works with external specialists to audit our cybersecurity infrastructure regularly. The Mint has reshaped the scope of these tests against the backdrop of significant cybersecurity events in Australia in 2022-23. The Mint completed a comprehensive technical test of our security infrastructure early in 2023.,,,,,20,,"Cybersecurity infrastructure, Cyber resilience, Continuous improvement","8, 9",S,,,,,,,,,,,,,,,,
52,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Risk Assessment,,,Gold Corporation,2023.0,"Risk assessments were conducted to determine critical risks and critical controls. These assessments were peer-reviewed, validated, and endorsed by senior management. Work also commenced developing critical control observations, which will form a key part of the monitoring and verification process.",,,,,21,,"Risk assessments, Critical risks, Critical controls","8, 9",S,,,,,,,,,,,,,,,,
53,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,Anti-bribery and corruption policy,,,Gold Corporation,2023.0,"The anti-bribery and corruption policy establishes our commitment to opposing all forms of bribery and corruption and provides appropriate limits on giving and receiving donations and gifts. In FY 2022-23, the Mint updated its Anti-bribery and corruption policy to strengthen our zero-tolerance approach to all forms of bribery and corruption, including examples of behaviour by Mint employees that would not be tolerated.",,,,,,12,"Anti-bribery and corruption policy, Zero-tolerance approach, Bribery prevention",16,G,,,,,,,,,,,,,,,,
55,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Zero-tolerance Approach,,,Gold Corporation,2023.0,"In FY 2022-23, the Mint updated our Anti-bribery and corruption policy to strengthen the zero-tolerance approach to all forms of bribery and corruption, including examples of behaviour by Mint employees that would not be tolerated. The revised policy is now approved and in use.",,,,,,12,"Zero-tolerance Approach, Anti-bribery and corruption policy, Policy update",16,G,,,,,,,,,,,,,,,,
56,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,207.0,Tax,207-01,Approach to tax,"Income tax is recognised in the consolidated statement of profit or loss and other comprehensive income except to the extent that it relates to items recognised directly in equity, in which case it is recognised in equity. Current tax is the expected tax payable on the taxable income for the year adjusted by changes in deferred tax assets and liabilities, using tax rates enacted at the reporting date and any adjustment to tax payable in respect of previous years.",,,,Gold Corporation,2023.0,,,,,,75,,,,,,,,,,,,,,,,,,,,
59,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Capital Risk Management,,,Gold Corporation,2023.0,"The Board's policy is to maintain an adequate capital base to sustain the business's future development. The consolidated entity's target was to achieve a return on equity of 12.0% before the Income Tax equivalent. During the year ended 30 June 2023, the return was 24.5% (2022 23.0%).",,,,,100,,"Capital Risk Management, Board policy, Capital base maintenance",16,G,,,,,,,,,,,,,,,,
60,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Gold Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
