Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
38,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-1,Process to determine material topics,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-2,List of material topics,"People, places, and products",,,,Harvey Norman,2023.0,,,,,,58,,,,,,,,,,,,,,,,,,,,,
41,,3.0,Material Topics,3-3,Management of material topics,"Subject to the oversight of the Executive Sustainability Committee and with local initiatives in several controlled entities, the Sustainability Framework first revealed in the FY22 Annual Report informs the activities across the three pillars of People, Places and Products.\t",,,,Harvey Norman,2023.0,,,,,,58,,,,,,,,,,,,,,,,,,,,,
42,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"HVN generated $327,988 million in revenues in 2023.",,,,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Increased costs,,,Harvey Norman,2023.0,"HVN transition to a low carbon economy, the costs of items and materials from suppliers may significantly increase, resulting in reduced availability of goods and increased costs passed through from our suppliers.",,,,,69,,,"Climate change, low carbon, increased cost",8,"E, S",,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Digital Infrastructure Investment,,,Harvey Norman,2023.0,Technological advancement remains a key priority as HVN continues investing in initiatives to bolster our digital infrastructure and enhance customer loyalty.,,,,,7,,,"Digital Infrastructure, infrastructure, investment","8, 9",S,,,,,,,,,,,,,,,,
49,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Customer-Centric Strategy,,,Harvey Norman,2023.0,"The consolidated entity has continued to build on its digital strategy to further enhance investments in technology, digital transformation, and infrastructure by providing each franchisee in Australia with additional tools to deliver a customer-centric approach. The company-operated stores overseas have also elevated their capabilities to deliver on customer-centric strategies. This investment aims to offer customers a seamlessly integrated and highly personalised omnichannel experience.",,,,,22,,,"Customer-Centric, digital transformation, digital","8, 9",S,,,,,,,,,,,,,,,,
50,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,LiveChat - Local People Real Passion,,,Harvey Norman,2023.0,"Connecting customers via LiveChat and messaging platforms to help remove the friction in the online and offline journey is critical to success. Live chat can benefit franchisees and company-operated stores by offering quick, customised customer service.",,,,,22,,,"LiveChat, customer, customer service","8, 9",S,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Click & Collect on Microsoft Teams,,,Harvey Norman,2023.0,"The system incorporates integrated notifications that enable customers to inform the franchised complex or company-operated store that they are on their way to collect their order with the touch of an ""On My Way"" or ""Arrived"" button on their device. It applies to orders picked up in-store or delivered directly to their car. There are designated Click and Collect parking bays and in-store desks to ensure seamless pick-up.",,,,,22,,,"Microsoft Teams, On my Way, click, collect","8, 9",S,,,,,,,,,,,,,,,,
52,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Generative AI and ChatGPT,,,Harvey Norman,2023.0,"Generative AI is a rapidly growing branch of AI that can generate new and original content such as images, SEO-rich copy, videos, audio, and more. Generative AI can transform retail operations in many ways, including improving workflows because of the speed and scale AI tools can bring to content production and customer relationship management efforts.",,,,,22,,,"AI, ChatGPT, technology","8, 9",S,,,,,,,,,,,,,,,,
