Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
70,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,303.0,Water and Effluents,303-05,Water consumption,"Total water consumption: 12,102 kL",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
73,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"Total Group's Scope 1 GHG Emissions is 5,617 TCO2e",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
78,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Total Group's Scope 2 GHG Emissions is 9,726 TCO2e",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
79,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Total Group's Scope 3 GHG Emissions is 10,761 TCO2e",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
80,,305.0,Emissions,305-04,GHG emissions intensity,"Total Group's Intensity is 2,29%",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
81,,305.0,Emissions,305-05,Reduction of GHG emissions,,NetÃÂ Zero Roadmap,,,IAG,2023.0,"Over the past year, we published our Net Zero Roadmap and began working on understanding and estimating our material scope 3 emissions sources. Understanding the business and societal impact of our supply chain and underwriting portfolios is an essential focus for IAG and one that the insurance industry is contending with.",,,,,30,,,"Net Zero Roadmap, Emissions Sources, Supply Chain Impact",13,E,"8, 13",,,,,,,,,,,,,,,
82,,305.0,Emissions,305-05,Reduction of GHG emissions,,Insurance-associated emissions,,,IAG,2023.0,"Guided by standards developed by the Partnership for Carbon Accounting Financials (PCAF), we have begun a project to baseline the emissions associated with our underwriting portfolios, also known as insurance-associated emissions.",,,,,30,,,"Partnership for Carbon Accounting Financials, Baseline Emissions",13,E,"8, 13",,,,,,,,,,,,,,,
83,,305.0,Emissions,305-05,Reduction of GHG emissions,,Supply chain emissions analysis,,,IAG,2023.0,We have estimated our supply chain emissions using spend data and publicly available emissions factors and identified areas to prioritise for decarbonisation. We are working towards improving the quality of our calculation and setting interim supply chain targets in line with our Net Zero Roadmap.,,,,,30,,,"Supply Chain Decarbonization, Interim Targets, Net Zero Roadmap",13,E,"8, 13",,,,,,,,,,,,,,,
84,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,306.0,Waste,306-02,Management of significant waste-related impacts,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,306.0,Waste,306-03,Waste generated,Total Group's waste generated in operations 583 tonnes,,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
89,,306.0,Waste,306-04,Waste diverted from disposal,Total recycled waste: 257 tonnes,,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
90,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,401.0,Employment,401-01,New employee hires and employee turnover,"Staff turnover in Australia was 19%, New Zealand 14%, and Group 17%. In Australia, 277 employees have been laid off; in New Zealand, 200 new employees have been laid off.",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
95,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,Short-term incentive plan,,,IAG,2023.0,"The short-term incentive plan continued in operation during the current reporting year. Under the plan, eligible employees can earn an incentive, calculated as a proportion of their base salary or fixed remuneration, paid in cash each year.",,,,,126,,,"Short-term Incentive Plan, Cash Incentives, Eligible employees",,G,10,,,,,,,,,,,,,,,
96,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,Superannuation,,,IAG,2023.0,"For defined benefit superannuation plans, the net financial position of the plans is recognised on the consolidated balance sheet, and the movement in the net monetary position is recognised in profit or loss, except for remeasurements of defined benefit plans (experience adjustments and changes in actuarial assumptions), which are recognised directly in retained earnings.",,,,,126,,,"Defined Benefit Superannuation Plans, Net Financial Position",,G,10,,,,,,,,,,,,,,,
97,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,Annual leave,,,IAG,2023.0,"Liability for annual leave is recognised at the nominal amounts unpaid at the reporting date using remuneration rates expected to be paid when the liability is settled, including on costs.",,,,,126,,,"Liability, Annual Leave, Remuneration Rates",,G,10,,,,,,,,,,,,,,,
98,,401.0,Employment,401-03,Parental leave,,,,NO DISCLOSURE,IAG,2023.0,,,,,,126,,,,,,,,,,,,,,,,,,,,,
99,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,"All Workers are responsible under Workplace Health and Safety (WHS) Law to take reasonable care of their health and safety at work. It is also every Worker's responsibility to take reasonable care to ensure that their actions (or omissions) while at the Workplace (or otherwise undertaking work-related activities) do not adversely affect the health and safety of othersÃ¢ÂÂ for example, their co-workers or any other people that they may come into contact with while at work.",,,,IAG,2023.0,,,,2,,,,,,,,,Safety and Wellbeing policy,,,,,,,,,,,,,,
