Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"We are an active global infrastructure investor. We have significant investments across the digital infrastructure, renewable energy, healthcare, and airport sectors. We aim to deliver long-term shareholder returns of 11Ã¢ÂÂ15% annually through a mix of share price increases and dividend returns.",,,,Infratil,2023.0,,,,,,,,,,,,Website,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"The report boundaries include all portfolio companies in Infratil's core platforms owned by Infratil before the start of the period. Unless otherwise specified, the reported data included all the companies shown in the table on the next page, except Clearvision Ventures (Clearvision), Mint Renewables and Fortysouth.",,,,Infratil,2023.0,,,,,4,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",,,Reporting frameworks,,Infratil,2023.0,"This report refers to the Aotearoa New Zealand Climate Standards published in December 2022, the United Nations Development Programme Sustainable Development Goals (SDGs), and Global Reporting Initiative (GRI) Standards.",,,,4,,,"Sustainability Reporting, Standards, Materiality Assessment",16,G,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,KPMG reviewed Infratil's FY2022 GHG emissions data and provided limited assurance over Infratil's FY2023 GHG emissions data. We have also sought external expertise to review the report's content to ensure it follows good sustainability reporting practices.,,,,Infratil,2023.0,,,,,4,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,,InfratilÃ¢ÂÂs investment strategy,,Infratil,2023.0,"Infratil's investment strategy has had consistent threads running through it over the last 29 years. Today, we remain a high-conviction infrastructure investor focused on investing in ideas that matter. It means identifying and delivering the essential services that society needs today and will continue to require in the future.",,,,5,,,"Infrastructure Investment, Long-term Value, Social Impact","9, 13",E,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,,Purpose and Investment Approach,,Infratil,2023.0,"Morrison & Co's purpose is aligned with Infratil's: to invest wisely in ideas that matter. It also recognises that ESG factors, including climate-related factors, impact investment performance and valuation. Effective ESG integration can be value-accretive over short, medium and long-term horizons.",,,,5,,,"ESG Integration, Investment Performance, Climate Factors",13,E,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-7,Employees,"6,000+ employees across the portfolio",,,,Infratil,2023.0,,,,,2,5,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-8,Workers who are not employees,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
