Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
78,,302.0,Energy,302-04,Reduction of energy consumption,,,Certified green energy,,Infratil,2023.0,"Since 2018, renewable energy contracts have provided 100% of Kao Data's electricity supply. More recently, Kao Data instigated a unique collaboration with its energy provider to ensure all the renewable energy is associated with a known source - the Little Cheyne Court wind farm in Kent. Every electron of utility energy Kao Data consumes is matched by an equivalent output from this wind farm using the Renewable Energy Guarantees of Origin ('REGO') scheme.",,,,2,,,"Renewable Energy Contracts, Wind Farm Collaboration, Energy Efficiency","7, 9",E,,,,,,,,,,,,,,,,
79,,302.0,Energy,302-04,Reduction of energy consumption,,,Alternative to diesel for backup power,,Infratil,2023.0,"HVO is a second-generation diesel alternative and one of the cleanest biofuels on the market. Synthesised from vegetable oils, HVO offers improved burning efficiency and requires no modification to existing infrastructure. It has a storage life of ten times that of standard diesel and offers resilient year-round performance in low and high temperatures.",,,,30,,,"HVO Biofuel, Clean Energy, Infrastructure","7, 9",E,,,,,,,,,,,,,,,,
80,,302.0,Energy,302-04,Reduction of energy consumption,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,Futureproofing technology,,Infratil,2023.0,"The MRI equipment installed last year includes artificial intelligence that can reduce scan times by up to 50% and directly translate into 50% less energy consumption for each examination. Extrapolated out, that adds up to 13% energy savings per annum.",,,,"20, 38",,,"Artificial Intelligence, MRI, Energy consumption","7, 9",E,,,,,,,,,,,,,,,,
82,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,Saving on energy and water,,Infratil,2023.0,"Water-efficient initiatives to reduce potable water consumption include highly efficient fixtures and fittings, water-efficient appliances and an energy-efficient, air-cooled temperature control system. These design initiatives will mean a 40% reduction in energy use and a 20% reduction in water use compared to the Green Star standard benchmark.",,,,"20, 33",,,"Energy-efficient Equipment, Artificial Intelligence, Water Efficiency","7, 9",E,,,,,,,,,,,,,,,,
83,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,303.0,Water and Effluents,303-03,Water withdrawal,457 megalitres,,,,Infratil,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
85,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,303.0,Water and Effluents,303-05,Water consumption,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas","Longroad's portfolio spans 12 US states and covers thousands of hectares. At the project evaluation phase, Longroad assesses the area's existing conditions and determines how best to reduce potential impacts on resources and, where feasible, enhance biodiversity. Examples include planting native grasses and pollinating plants to benefit insects and birds.",,,,Infratil,2023.0,,,,,34,,,,,,,,,,,,,,,,,,,,,
88,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,IdentiFlight system,,Infratil,2023.0,"At one wind farm site, eagles sometimes fly near the wind turbines. To reduce the risk of collision, the company installed the IdentiFlight system, which is only deployed at a handful of sites worldwide. IdentiFlight monitoring consists of 10-foot-tall masts with 360-degree cameras on top.",,,,"33, 34",,,"Wildlife Protection, Collision Risk Mitigation, Ecosystem Services",15,E,,,,,,,,,,,,,,,,
89,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,Pollinator-Smart,,Infratil,2023.0,"In Virginia, Longroad developed the Foxhound Solar project - the first large-scale solar project to be certified as ""Pollinator-Smart"" by the State Department of Conservation and Recreation. The project's use of pollinator plant species helps support native insects, birds and other wildlife populations while improving soil stabilisation and water retention, among many other ecosystem services.",,,,34,,,"Pollinator-friendly Solar Project, Biodiversity Conservation, Ecosystem Services",15,E,,,,,,,,,,,,,,,,
