Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
36,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Annual General Meeting,,,JB Hifi,2023.0,"The Company holds an Annual General Meeting to which all shareholders are invited. In 2022, the Company had a ""hybrid"" Annual General Meeting, allowing shareholders to attend either in person or online, and the Company will hold its AGM in this format in FY2023. All resolutions at Annual General Meetings are decided by a poll rather than a show of hands.",,,,,11,,"Annual General Meeting, AGM, leadership",81011,S,,,,,,,,,,,,,,,,
37,,2.0,General Disclosures,2-27,Compliance with laws and regulations,"The Group's stakeholders expect the Group to act responsibly and ethically and to comply with all relevant laws and regulations. The Group acts with integrity and transparency in conducting its businesses. It has established a Statement of Values and a Code of Conduct to help guide its behaviours, together with additional policies and procedures.",,,,JB Hifi,2023.0,,,,,,31,,,,,,,,,,,,,,,,,,,,
38,,2.0,General Disclosures,2-28,Membership associations,"National launch of the JB Hi-Fi Perks membership program for JB Hi-Fi Australia, with approximately 809,000 customers joining the program since November 2022.",,,,JB Hifi,2023.0,,,,,,29,,,,,,,,,,,,,,,,,,,,
39,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Post Result Briefings,,,JB Hifi,2023.0,"Post-result briefings are meetings or presentations conducted by JB HI-FI after releasing their financial results for a particular reporting period, such as quarterly or annual earnings. These briefings serve as opportunities for company management to discuss and analyze the economic performance, operational highlights, and strategic developments with investors, analysts, and other stakeholders.",,,,,11,,"Post-result, Briefing, Meeting",17,S,,,,,,,,,,,,,,,,
40,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Australian Shareholders Association Engagement,,,JB Hifi,2023.0,"Engagement with the Australian Shareholders Association (ASA) involves interactions between a company and the association representing individual shareholders in Australia. These meetings can cover financial performance, corporate governance, strategic initiatives, and shareholder concerns.",,,,,11,,"Engagement, Shareholder, Association",17,S,,,,,,,,,,,,,,,,
41,,2.0,General Disclosures,2-30,Collective bargaining agreements,"The Company has written agreements with each director setting out the terms of their appointment. Besides the Group Chief Executive Officer, directors are subject to shareholder re-election by rotation at least every three years.",,,,JB Hifi,2023.0,,,,,,6,,,,,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-1,Process to determine material topics,,Material Topic Survey,,,JB Hifi,2023.0,"During the year, we distributed a material topics survey to all our team members and selected suppliers, non-government organizations, civil society, industry bodies, and investors. The survey requested feedback on the environmental, social, and governance issues the recipients believed were most important for the Group to address and asked stakeholders to rank these issues in order of relative importance.",,,,,7,,"Material, Topic, Survey","8, 11","E,S",,,,,,,,,,,,,,,,
43,,3.0,Material Topics,3-1,Process to determine material topics,,Materiality Assessment,,,JB Hifi,2023.0,"The Group's Sustainability Plan have been developed following a materiality assessment to identify our businesses' most relevant environmental and social issues. The problems identified were applying globally recognized materiality tests, the principles contained within our Risk Management Framework, and considering current and emerging areas of focus for the retail industry.",,,,,7,,"Materiality, Assessment, Sustainability","8, 11","E,S",,,,,,,,,,,,,,,,
44,,3.0,Material Topics,3-2,List of material topics,"List of Material topics focused on Strong Governance, Employee Safety, Diversity, Labour Practices, and Community Engagement. Product, Data Security, Climate-related Risk, Energy Consumption, and Operational Waste.",,,,JB Hifi,2023.0,,,,,,8,,,,,,,,,,,,,,,,,,,,
45,,3.0,Material Topics,3-3,Management of material topics,The Group engaged an external ESG advisory firm to independently assess the stakeholder feedback received and determine the significance of JB Hi-Fi Group's impact on each material topic. The feedback from our stakeholders helps us prioritise our management of each material topic and is used to update our Group Sustainability Plan.,,,,JB Hifi,2023.0,,,,,,7,,,,,,,,,,,,,,,,,,,,
