Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"The Company's key operating subsidiary is Magellan Asset Management Limited (""MAM""). The Company and MAM are called ""Magellan"" in this Statement. MAM holds an Australian Financial Securities Licence (""AFSL"") 304301. It is registered as an investment adviser in the United States and a Promoter and Investment Manager to Irish-authorised collective investment schemes.",,,,Magellan,2023.0,,,,,,,2,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Magellan Global Fund (Open Class) (ASX: MGOC) Magellan Global Fund (Closed Class) (ASX: MGF) Magellan Global Fund (Hedged) Magellan Global Equities Fund (Currency Hedged) (ASX: MHG) Magellan Infrastructure Fund (Unhedged) Magellan Infrastructure Fund (Currency Hedged) (ASX: MICH) Magellan High Conviction Fund Magellan High Conviction Trust (ASX: MHHT) MFG Core Infrastructure Fund (CXA: MCSI) MFG Core International Fund (CXA: MCSG) MFG Core ESG Fund (CXA: MCSE) Magellan Sustainable Fund (CXA: MSUF) Airlie Australian Share Fund (ASX: AASF) Airlie Small Companies Fund. MAM is also the Trustee of the unregistered managed investment schemes, Airlie Concentrated Share Fund, Magellan Global Wholesale Fund and Magellan Energy Transition Fund.",,,,Magellan,2023.0,,,,,,,2,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",The portfolio rose during the June quarter and over the year ended 30 June 2023.,,,,Magellan,2023.0,,,,,,4,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,,,,NO DISCLOSURE,Magellan,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,,,,NO DISCLOSURE,Magellan,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","A relatively concentrated portfolio of 20-40 high-quality securities constructed with strict risk discipline and macroeconomic insight seeking to achieve strong risk-adjusted, not benchmark-relative returns. Typical cash and cash equivalents exposure between 0-20%.",,,,Magellan,2023.0,,,,,,7,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,115 employees as of 30 June 2023,,,,Magellan,2023.0,,,,,,98,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"Of a total of 115 employees, 9% are part-time",,,,Magellan,2023.0,,,,,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"Board, Audit & Risk, Remuneration & Nominations",,,,Magellan,2023.0,,,,,,,7,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,"The Chairman of the Remuneration and Nominations Committee is John Eales, an independent Non-Executive Director. The role of the Committee is to make recommendations to the Board about Magellan's remuneration framework for directors and induction programs for directors; the development and implementation of a process for evaluating the performance of the Board, its committees and directors; the selection, appointment and re-election of directors; and Board succession plans.",,,,Magellan,2023.0,,,,,,,6,,,,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,"The Chairman of the Board is Andrew Formica, an independent Non-Executive Director. He is not the Company's chief executive officer.",,,,Magellan,2023.0,,,,,,,9,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,"The Board is responsible for the operation and stewardship of Magellan and its overall success, long-term growth, and corporate governance. The Board has approved a formal Charter which details its role, powers, duties and functions.",,,,Magellan,2023.0,,,,,,,3,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"Management is responsible for implementing the strategic objectives and operating within the risk appetite set by the Board and for all other aspects of Magellan's day-to-day running. Management is also responsible for providing the Board with accurate, timely and precise information to enable the Board to perform its responsibilities.",,,,Magellan,2023.0,,,,,,,3,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,"Magellan's Board has ultimate oversight over risk management and compliance, including setting Magellan's risk appetite about critical risks, including environmental risk. The Board considers the Group's appetite for ecological risk on at least an annual basis as part of its periodic review of Magellan's risk management framework. In 2023, Magellan adopted a new Risk Management Framework for climate-related risks and opportunities.",,,,Magellan,2023.0,,,,,,95,,,,,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,"As a fiduciary, Magellan has a duty of care, loyalty, honesty and good faith to act in the best interests of its clients. Compliance with this duty can be achieved by trying to avoid conflicts of interest and by fully disclosing all material facts concerning any conflict that does arise. Applicable Persons must be careful to avoid placing themselves in a position where there would be an actual or potential conflict of interest, or a reasonable perception of an actual or potential conflict of interest, between the interests of Magellan (or their duties to Magellan) and its clients and any personal or external business interests (or duties).",,,,Magellan,2023.0,,,,,,,,,,,,Code of ethics policy,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-16,Communication of critical concerns,"An investor relations program has been designed to facilitate effective two-way communication with investors. The program includes half-yearly and annual results briefings, the ability to submit questions via the website and a formal process for submitting questions to be answered at the Annual General Meeting.",,,,Magellan,2023.0,,,,,,,14,,,,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,"The Board seeks to balance skills, knowledge, and experience to direct and oversee Magellan's activities. The Board considers that collectively, the Directors have an appropriate range of skills, experience, and expertise to understand and competently deal with current and emerging business issues, effectively monitor and review Magellan's performance, and exercise independent judgment.",,,,Magellan,2023.0,,,,,,,6,,,,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,"The Board's Charter requires the Board to review its performance and the performance of its Committees and Directors every two years. The review considers the Board's role, the processes of the Board and its Committees, and the collective and individual performance of the Board, its Committees, and each Director. The review may be conducted through written and oral communications and is discussed by the whole Board. An individual Director's performance is considered when the Board determines whether or not to support the Director for re-election. A performance evaluation using the above process was last undertaken in August 2023.",,,,Magellan,2023.0,,,,,,,5,,,,,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-19,Remuneration policies,,MFG Employee Share Option Plan,,,Magellan,2023.0,"During the financial year that ended on 30 June 2022, the MFG Employee Share Option Plan (""ESOP"") was established as part of a broader employee engagement and retention program. Under the ESOP, participants were granted options that vest on 1 September 2024, provided they have yet to give or be given notice of termination of their employment. Once vested, the options may be exercised until 16 April 2027, provided the participant remains employed with satisfactory performance.",,,,,97,18,"Employee Share Option Plan, Employee Engagement, Retention Program",8,S,,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-20,Process to determine remuneration,,,,NO DISCLOSURE,Magellan,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-21,Annual total compensation ratio,,,,NO DISCLOSURE,Magellan,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
