Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
175,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Live Better vans,,,Medibank,2023.0,"Medibank's Live Better vans are mobile health clinics designed to bring essential services and support to rural communities directly. By travelling to remote areas, these vans ensure that rural customers can access healthcare resources, promoting wellness and improving health outcomes.",,,,20,,,"Live Better vans,mobile health clinics, rural communities",11,S,,,,,,,,,,,,,,,,
176,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Feel Good Grants program,,,Medibank,2023.0,"Medibank's Feel Good Grants program provides funding and support to community initiatives promoting health and wellbeing. Through this program, Medibank empowers organisations to implement projects that positively impact individuals' physical and mental wellness, fostering happier and healthier communities.",,,,35,,,"Feel Good Grants program, health and wellbeing program, Australian Human Resources Institute",11,S,,,,,,,,,,,,,,,,
177,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Blood and Plasma Donation,,,Medibank,2023.0,"Medibank encourages blood and plasma donation as part of its commitment to community health and wellbeing. By supporting these initiatives, Medibank helps ensure that vital resources are available to those in need, contributing to society's overall health and safety.",,,,36,,,"Blood and Plasma Donation, Workplace giving and volunteering, Medibank Lifeblood tea",11,S,,,,,,,,,,,,,,,,
178,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Health and Medical Research,,,Medibank,2023.0,"Medibank invests in health and medical research to advance knowledge and improve healthcare outcomes for individuals and communities. Through funding and collaboration with research institutions, Medibank aims to drive innovation and contribute to developing effective treatments and interventions.",,,,46,,,"Health and Medical Research, spotlight on loneliness, health equity",11,S,,,,,,,,,,,,,,,,
179,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Medibank Better Health Foundation,,,Medibank,2023.0,"The Medibank Better Health Foundation is committed to supporting initiatives that promote health and wellbeing across Australia. Through partnerships, grants, and advocacy, the foundation addresses critical health challenges and improves outcomes for individuals and communities.",,,,46,,,"Medibank Better Health Foundation, high health need, aims of healthcare",11,S,,,,,,,,,,,,,,,,
180,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Queensland University of Technology Collaboration,,,Medibank,2023.0,"Medibank collaborates with the Queensland University of Technology to advance research and innovation in healthcare. Through this partnership, Medibank contributes to developing cutting-edge solutions and improving health outcomes for individuals and communities.",,,,46,,,"Queensland University of Technology, joint replacement surgeries, unwarranted prostheses variability",11,S,,,,,,,,,,,,,,,,
181,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,University of Sydney Partnership,,,Medibank,2023.0,"Medibank's research partnership with the University of Sydney aims to explore innovative approaches to healthcare and improve health outcomes. By leveraging the expertise and resources of both organisations, this collaboration seeks to address pressing health challenges and drive positive change in medicine.",,,,46,,,"University of Sydney, experience measures, consumersÃ¢ÂÂ and hospitalsÃ¢ÂÂ",11,S,,,,,,,,,,,,,,,,
182,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Australian and New Zealand College Collaboration,,,Medibank,2023.0,"Medibank collaborates with the Australian and New Zealand College of Anaesthetists Foundation in a comprehensive longitudinal study investigating the incidence of chronic pain and its economic ramifications following surgical procedures. Through this partnership, extensive research is conducted to understand the prevalence of post-surgical chronic pain and assess its broader economic impact, ultimately contributing to improved pain management strategies and healthcare policies.",,,,46,,,"Australian and New Zealand College, Anaesthetists Foundation, longitudinal study",11,S,,,,,,,,,,,,,,,,
183,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Royal Australian College Collaboration,,,Medibank,2023.0,"Medibank collaborated with the Royal Australian College of General Practitioners to introduce a $250,000 grant dedicated to supporting research in digital health within primary care settings. Additionally, in partnership with the Breakthrough Mental Health Foundation, we are working to enhance the mental health and wellbeing of Indigenous Australian children through an educational program implemented within schools.",,,,46,,,"Royal Australian College, General Practitioners, digital health in primary care",11,S,,,,,,,,,,,,,,,,
184,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Breakthrough Mental Health Foundation,,,Medibank,2023.0,"Medibank partners with the Breakthrough Mental Health Foundation to support initiatives to improve mental health outcomes. Through collaborative efforts, the foundation advances research, advocacy, and education in mental health, fostering community resilience and wellbeing.",,,,46,,,"Breakthrough Mental Health Foundation, Indigenous Australian childrens, in-school education program",11,S,,,,,,,,,,,,,,,,
