Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
76,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,Total 866tCO2e,,,,NEXTDC,2023.0,,,,,64,,,,,,,,,,,,,,,,,,,,,
79,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Total 349,902tCO2e",,,,NEXTDC,2023.0,,,,,64,,,,,,,,,,,,,,,,,,,,,
80,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Selected Scope 3 (indirect) emissions in our value chain are monitored and reported where they are material and relevant under the Australian Climate Active Carbon Neutral Standard for Organisations, in line with the GHG Protocol Value Chain Standard categories. We acknowledge the increasing interest of stakeholders in value chain GHG emission measurements, which reflect progress in economy-wide, systemic decarbonisation through corporate initiatives. We are working to improve the transparency of our Scope 3 emissions.",,,,NEXTDC,2023.0,,,,,30,,,,,,,,,,,,,,,,,,,,,
81,,305.0,Emissions,305-04,GHG emissions intensity,"This year, NEXTDC recorded a CUE of 1.16.",,,,NEXTDC,2023.0,,,,,30,,,,,,,,,,,,,,,,,,,,,
82,,305.0,Emissions,305-04,GHG emissions intensity,NEXTDC's operations and approach to carbon emissions are compliant with the Australian Federal Government's National Greenhouse and Energy Reporting (NGER) Act 2007,,,,NEXTDC,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
83,,305.0,Emissions,305-05,Reduction of GHG emissions,,Qantas Future Planet (QFP) carbon offset program,,,NEXTDC,2023.0,"Forming a strategic partnership with Qantas, NEXTDC became the first data centre operator in the region to achieve carbon-neutral corporate operations by purchasing carbon credits through the Qantas Future Planet (QFP) carbon offset program. In November 2018, NEXTDC was certified as a carbon-neutral organisation under the Australian Federal Government's Climate Active Carbon Neutral Standard, a partnership between the Australian Government and businesses to encourage voluntary climate action.",,,,"30, 64",,,"Strategic Partnership, Carbon Neutral, Carbon Credits","7, 13",E,12.0,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-05,Reduction of GHG emissions,,NEXTneutral,,,NEXTDC,2023.0,"In March 2021, we launched NEXTneutral, a certified carbon-neutral colocation solution. Under our NEXTneutral program, we extend our Climate Active-accredited partnerships to our customer ecosystem. NEXTneutral allows customers to leverage our investment in becoming Australia's only Climate Active certified Data Centre provider.",,,,30,,,"NEXTneutral, Colocation Solution, Climate Active","7, 13",E,12.0,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-05,Reduction of GHG emissions,,Certified a carbon-neutral organisation,,,NEXTDC,2023.0,"In November 2018, NEXTDC was certified as a carbon-neutral organisation under the Australian Federal Government's Climate Active Carbon Neutral Standard, a partnership between the Australian Government and businesses to encourage voluntary climate action. First granted for the FY18 reporting period, NEXTDC has renewed its corporate organisational certification each financial year through the audit and certification of its carbon inventory and the voluntary retirement of an equal volume of carbon credits, similarly certified under Climate Active, by the producers of these credits.",,,,30,,,"Carbon Neutral Organisation, Climate Active Standard, Carbon Inventory","7, 13",E,12.0,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Zero-Waste Initiative,,,NEXTDC,2023.0,"Our ""Zero-Waste Initiative"" focuses on separating waste through coloured bins at all sites and encouraging the reuse of office supplies and universal waste collection by leveraging our e-waste system. Every facility enables customers to dispose of their retired equipment for free, knowing we will responsibly dispose of them.",,,,29,,,"Zero-Waste Initiative, Waste Separation, Universal Waste Collection","12, 13",E,12.0,,,,,,,,,,,,,,,
89,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Repurposing petroleum-based products,,,NEXTDC,2023.0,"In FY23, our diesel engine oil was repurposed into other petroleum-based products through the service of specialised contractors for oil collection & disposal. It helps protect the environment while offsetting Australia's crude oil requirements.",,,,29,,,"Oil Collection, Environmental Protection, Waste Repurposing","12, 13",E,12.0,,,,,,,,,,,,,,,
90,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste Management Plan,,,NEXTDC,2023.0,Our waste hierarchy reflects the principles of a circular economy. Our Waste Management Plan and the Hazardous Materials Management Procedure manage all waste generated across NEXTDC's operations.,,,,29,,,"Circular Economy, Waste Management Plan, Hazardous Materials","12, 13",E,12.0,,,,,,,,,,,,,,,
91,,306.0,Waste,306-02,Management of significant waste-related impacts,,TRUE (Total Resource Use and Efficiency) Certification,,,NEXTDC,2023.0,"In August 2023, NEXTDC's S1 Sydney became the first data centre in Australia to achieve the TRUE (Total Resource Use and Efficiency) Certification, a comprehensive certification program recognising our efforts to minimise non-hazardous solid wastes and maximising the efficient use of resources. This achievement is a significant milestone in our journey to reduce our environmental impact and further reflects our commitment. We are proud to be recognised for our efforts and will continue to work towards achieving this certification at all our sites.",,,,29,,,"TRUE Certification, Resource Efficiency, Environmental Impact","12, 13",E,12.0,,,,,,,,,,,,,,,
92,,306.0,Waste,306-03,Waste generated,"NEXTDC produced 156,95 tonnes of waste during FY23",,,,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,306.0,Waste,306-04,Waste diverted from disposal,125.05 tonnes being recycled and saved from going into landfill,,,,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,306.0,Waste,306-05,Waste directed to disposal,"91,5 tonnes",,,,NEXTDC,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,"NEXTDC has not received any fines or non-monetary sanctions for non-compliance with environmental laws or regulations and is unaware of any environmental or related licensing breaches. Similarly, NEXTDC has not received fines or non-monetary sanctions for other laws.",,,,NEXTDC,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
96,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,Due diligence process,,,NEXTDC,2023.0,"A key focus area of our sustainability strategy is to understand better the environmental and social impacts of our purchase decisions. We recognise the need to integrate sustainability considerations into our procurement processes better. In awarding contracts, NEXTDC prioritises suppliers demonstrating best practices as part of the due diligence process.",,,,58,,,"Sustainability Strategy, Procurement Processes, Supplier Due Diligence","12, 13",E,12.0,,,,,,,,,,,,,,,
97,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,"We have systems in place to ensure the integrity of the Code is maintained. Where appropriate, suppliers are subject to a competitive selection process that evaluates their experience, sustainability practices, qualifications, depth of quality assurance, demonstrable financial viability, and comprehensive insurance coverage. Being a responsible business that manages its social and environmental issues and responsibilities through its supply chain remains a focus for NEXTDC.",,,,NEXTDC,2023.0,,,,,58,,,,,,,,,,,,,,,,,,,,,
