Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
90,,306.0,Waste,306-03,Waste generated,"Total weight of non-mineral waste generated: 5,936 tonnes to onsite landfill, Total weight of tailings produced: 2,327,424 tonnes, Total weight of waste rock generated: 26,785,850 tonnes, Total weight of hazardous waste generated: 123 tonnes - hydrocarbon waste, Total weight of dangerous waste recycled: 540,785L waste oil and coolant",,,,Pilbara Minerals,2023.0,,,,,,108,,,,,,,,,,,,,,,,,,,,
91,,306.0,Waste,306-04,Waste diverted from disposal,"540,785 L waste oil and coolant.",,,,Pilbara Minerals,2023.0,,,,,,108,,,,,,,,,,,,,,,,,,,,
92,,306.0,Waste,306-05,Waste directed to disposal,"5,936 tonnes to onsite landfill.",,,,Pilbara Minerals,2023.0,,,,,,108,,,,,,,,,,,,,,,,,,,,
93,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,Environmental management systems,,,Pilbara Minerals,2023.0,"Pilbara Minerals has implemented additional environmental management systems, including compliance-specific training programs and adopting compliance and ecological monitoring databases. The Company actively monitors compliance with environmental approvals by implementing data management and compliance tracking databases, which are continuously developed and strengthened. External auditors independently assess verification of compliance on an annual basis.",,,,,91,,"Compliance Monitoring Systems, Environmental Audits, Data Management",8,"E, G",-,,,,,,,,,,,,,,,
94,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,Third-party platform assessment of 50 suppliers and contractors,,,,Pilbara Minerals,2023.0,,,,,,64,,,,,,,,,,,,,,,,,,,,
95,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Pilbara Minerals,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,401.0,Employment,401-01,New employee hires and employee turnover,,Culture and Engagement Survey,,,Pilbara Minerals,2023.0,"Pilbara Minerals engaged a third party to measure the current culture, maintain employee anonymity, and encourage honest and open feedback. A culture survey was conducted in October 2022, for which participation rates were 87%, above industry standard. The inaugural survey delivered a positive result, achieving an engagement score of 78% based on employees' motivation, connection, and enthusiasm.",,,,,73,,"Culture Survey, Employee Anonymity, Engagement Score",8,S,-,,,,,,,,,,,,,,,
97,,401.0,Employment,401-01,New employee hires and employee turnover,,Pilbara Purpose Awards,,,Pilbara Minerals,2023.0,"Launched in June 2022 as a formal reward and recognition initiative, the Pilbara Purpose Awards invite peers to nominate each other for going above and beyond the six commitments that underpin the Pilbara Purpose, allowing positive work behaviours to be publicly recognised. In this reporting period, there were 181 nominations and 17 winners recognised.",,,,,75,,"Pilbara Purpose Awards, Peer Recognition, Positive Work Behaviors",8,S,-,,,,,,,,,,,,,,,
98,,401.0,Employment,401-01,New employee hires and employee turnover,,Pilbara MineralsÃ¢ÂÂ Inaugural Graduate Program,,,Pilbara Minerals,2023.0,"The launch of Pilbara Minerals' inaugural Graduate Program in September 2022 reflects the Company's approach to developing a pool of technical talent to support the industry's growth. The first intake commenced employment in January 2023 and included seven graduates specialising in metallurgy, mining, and mechanical engineering.",,,,,75,,"Graduate Program, Technical Talent Development, Industry Support",4,S,4,,,,,,,,,,,,,,,
99,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Of the three cases of personal work-related grievances, one resulted in formal disciplinary action, and two were resolved through appropriate coaching, training and leadership interventions.",,,,Pilbara Minerals,2023.0,,,,,,67,,,,,,,,,,,,,,,,,,,,
100,,401.0,Employment,401-03,Parental leave,"Parental leave Ã¢ÂÂ to support employees, the Company offers paid parental leave and a return-to-work lump sum amount following the birth or adoption of a child. In FY23, nine employees took parental leave, six male and three female.",,,,Pilbara Minerals,2023.0,,,,,,73,,,,,,,,,,,,,,,,,,,,
101,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Pilbara Minerals,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,"Pilbara Minerals' Board oversees the establishment and ongoing review of the Company's work health and safety policies and management systems and their performance, as mandated in the Board Charter. A Health and Safety Policy, which applies to all employees, contractors and visitors, is reviewed and endorsed annually by the Board to continually improve health and safety performance.",,,,Pilbara Minerals,2023.0,,,,,,76,,,,,,,,,,,,,,,,,,,,
103,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Psychosocial Hazards and Risk Management Workshops,,,Pilbara Minerals,2023.0,"Aligned with Pilbara Minerals' aim to be a mentally healthy workplace, two Psychosocial Hazards and Risk Management Workshops were delivered in April 2023. This training forms part of Pilbara Minerals' Mental Health and Wellbeing Strategy, built around the four critical components of prevention, promotion, response, and recovery. This strategy and its initiatives are supported and enabled by psychological safety and a culture of care.",,,,,"77, 81",,"Psychosocial Hazard Workshops, Mental Health Strategy, Prevention and Promotion","3, 8","S, G",-,,,,,,,,,,,,,,,
