Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
37,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-1,Process to determine material topics,"The Board and management team maintain high standards of corporate governance as part of our commitment to create value for our stakeholders through effective strategic planning, risk management, transparency, and corporate responsibility. We regularly review our governance practices in light of the Company's growth and relevant emerging corporate governance developments.",,,,Pro Medicus,2023.0,,,,,,39,,,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-2,List of material topics,"People, Climate, Responsible AI",,,,Pro Medicus,2023.0,,,,,,21,,,,,,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-3,Management of material topics,,Risk Management Framework,,,Pro Medicus,2023.0,"Our Audit and Risk Management Committee has been tasked with reviewing and assessing the Company's risk management framework at least annually. This process includes reviewing the implementation, management, and maintenance of appropriate enterprise-wide risk management systems, policies and procedures, reporting protocols, and internal controls to ensure they continue to be sound and that the Company is operating in line with the current risk appetite set by the Board.",,,,,15,,"Audit, Risk Management, Committee",9.0,S,12.0,,,,,,,,,,,,,,,,
41,,3.0,Material Topics,3-3,Management of material topics,,Succession planning,,,Pro Medicus,2023.0,"The People and Culture Committee has identified the risk of a succession of critical executives following a strategic HR review to ensure that we have the right people in the right roles in the Company to continue its growth and success. Our succession planning framework helps us identify and develop talent who can move into leadership roles when they become vacant to ensure that as leadership changes, the Company maintains its productivity and continues to thrive.",,,,,17,,"People, Culture, Committee",9.0,S,12.0,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-3,Management of material topics,,Inclusive workplace,,,Pro Medicus,2023.0,"We actively value and embrace the diversity of our employees and are committed to creating an inclusive workplace where everyone is treated equally and fairly and where discrimination, harassment and inequity are not tolerated. While we are dedicated to fostering diversity at all levels, gender diversity has been and continues to be a priority for the Company.",,,,,,14,"Diversity, Inclusive Workplace, employees",5.0,S,10.0,,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"Reported profit after tax for the period was $60.65m, an increase of 36.5% from the previous year.",,,,Pro Medicus,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Won seven key contracts in North America and renewed another contract in North America.,,,,Pro Medicus,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Total contracted revenue increase to $468m over the next 5 years,,,,Pro Medicus,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Carbon offset projects,,,Pro Medicus,2023.0,We invest in verified carbon offset projects to offset the remaining emissions we cannot eliminate through the above measures.\t,,,,,"17, 22",,"Carbon Offset, Emissions, Investment",13.0,E,13.0,,,,,,,,,,,,,,,,
47,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Visage RIS,,,Pro Medicus,2023.0,"It is a proprietary medical software for practice management, training, installation and professional services, after-sale support and service products, Promedicus.net secure email and Integration products.",,,,,11,,"Medical Software, Practice Management, products",3.0,S,10.0,,,,,,,,,,,,,,,,
