Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
96,,305.0,Emissions,305-05,Reduction of GHG emissions,,Premises initiative,,,QUBE Holdings,2023.0,"61 of our small mobile assets (cranes, container handlers, forklifts, mobile plants, etc.) have been converted to electric. Six weeks Trial of 75T ITV at Bell Bay in TAS showed potential to reduce CO2e emissions. The successful trial has resulted in QUBE Holdings exploring solutions in other QUBE Holdings operations.",,,,28,,,"Electric Asset Conversion, CO2e Emission Reduction, Sustainability Measures","7, 9",E,,,,,,,,,,,,,,,,,
97,,305.0,Emissions,305-05,Reduction of GHG emissions,,Road emission initiative,,,QUBE Holdings,2023.0,"Electric triple road train trial in partnership with OZ Minerals and Janus Electric in South Australia, with a range of 400km on a single charge. More efficient premium grade diesel at all available locations will drive further 3% to 4% efficiency improvements.",,,,28,,,"Electric Triple Road Train Trial, Efficiency Improvements, Sustainable Practices","7, 9",E,,,,,,,,,,,,,,,,,
98,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,We recognise the importance of responsible waste management in minimising our environmental impact. We are committed to implementing effective waste management practices throughout our operations and supply chain.,,,,QUBE Holdings,2023.0,,,,,29,,,,,,,,,,,,,,,,,,,,,,
101,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste management services,,,QUBE Holdings,2023.0,"Improved data collection will also enable the consolidation of waste management services and more meaningful engagement with our suppliers to promote sustainable waste management practices throughout the supply chain. We currently collect operational waste data for four different waste streams to measure the effectiveness of waste minimisation initiatives, monitor trends, provide visibility and identify further improvement opportunities.",,,,29,,,"Waste Management, Recycling Initiatives, Supply Chain Sustainability","12, 13",E,,,,,,,,,,,,,,,,,
102,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste audits,,,QUBE Holdings,2023.0,"In FY23, we consolidated our waste management services for our Logistics operations in Queensland and Victoria and conducted waste audits across several sites. Based on the findings of these audits, we developed action plans. We implemented initiatives that resulted in diverting 17 per cent of our waste from landfills and saw 250 tonnes of cardboard and 45 tonnes of timber be recycled.",,,,29,,,"Waste Reduction, Waste Audits, Recycling Programs","12, 13",E,,,,,,,,,,,,,,,,,
103,,306.0,Waste,306-02,Management of significant waste-related impacts,,ISO certification preparation,,,QUBE Holdings,2023.0,"In New Zealand, our ISO team currently recycle around 9.5 tonnes of waste bark generated through debarking operations, and a tyre re-tread program has commenced. Work is also underway to reduce, recycle and re-purpose waste generated throughout the supply chain.",,,,29,,,"Environmental Standards, ISO14001 Compliance, Sustainability Practices","12, 13",E,,,,,,,,,,,,,,,,,
104,,306.0,Waste,306-03,Waste generated,"1% Recycled, 9% General Waste, 40% Scrap, 50% Controlled Contaminated Waste",,,,QUBE Holdings,2023.0,,,,,29,,,,,,,,,,,,,,,,,,,,,,
105,,306.0,Waste,306-04,Waste diverted from disposal,"In FY23, we recycled 1 per cent of our waste. In FY24, we will expand our operational waste management audit program to improve our waste management practices, identify waste reduction opportunities, and increase our recycling rate.",,,,QUBE Holdings,2023.0,,,,,29,,,,,,,,,,,,,,,,,,,,,,
106,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,ISO14001 environmental standards,,,QUBE Holdings,2023.0,"As part of our Health, Safety, and Sustainability management system, we have implemented environmental standards, practices and procedures to identify and manage our material environmental risks. Our major QUBE Holdings Ports and Bulk facilities now comply with ISO14001 ecological standards. Work is underway to achieve certifications for the remainder of our Ports, Bulk and Logistics sites.",,,,29,,,"ISO14001 Certification, Environmental Standards, Sustainability Practices","12, 13",E,,,,,,,,,,,,,,,,,
108,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,401.0,Employment,401-01,New employee hires and employee turnover,,QUBE Holdings Thrive Awards Ã¢ÂÂ Ã¢ÂÂThe QubiesÃ¢ÂÂ,,,QUBE Holdings,2023.0,"In FY23, we launched our inaugural Thrive Awards, dubbed 'The Qubies'. These awards are open to team members from all roles, all sites and all levels in our business and will recognise, celebrate and reward our teammates who live and breathe our values.",,,,7,,,"Employee Recognition, Awards Program, Organizational Values","8, 16",S,,,,,,,,,,,,,,,,,
111,,401.0,Employment,401-01,New employee hires and employee turnover,,QUBE Holdings Cade Program,,,QUBE Holdings,2023.0,The cadet program is a 12-month structured opportunity where cadets undertake two rotations within the business and gain experience across the QUBE Holdings Group. It is embedded in our strategic talent and capability development strategy.,,,,21,,,"Talent Development, Cadet Program, Skill Building","8, 16",S,,,,,,,,,,,,,,,,,
112,,401.0,Employment,401-01,New employee hires and employee turnover,,CareerHub,,,QUBE Holdings,2023.0,"Throughout the year, we expanded our recruitment activities to include additional social media platforms - Facebook, LinkedIn and Instagram - and activated additional recruitment platforms to provide us with direct access to school leavers and graduate students. CareerHub is a centralised platform that allows QUBE Holdings to post jobs to one central site, with the ability to reach out to millions of students and recent graduates at 36 universities across Australia. At the same time, Explore Careers is Australia's largest early-career and employment platform focused on giving young people the best possible tools, resources, advice, guidance and opportunities.",,,,21,,,"Recruitment Strategies, Social Media, Career Development","8, 16",S,,,,,,,,,,,,,,,,,
113,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
