Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
111,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,Seven Group Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Eco-Efficiency training,,,Seven Group Holdings,2023.0,"In FY23, SGH concentrated on mobilising its data, information systems, and culture for emissions reduction. SGH's Coates commenced delivering Eco-Efficiency emissions training modules to inform and engage employees in the decarbonisation journey and initiatives. Coates also established a Sustainability Committee, led by the CEO, to drive its action plan towards emissions targets.",,,,,27,,"Eco-efficiency training, emissions reduction, decarbonisation","4, 13","E, S",,,,,,,,,,,,,,,,
113,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Carbon Literacy for Miners Course,,,Seven Group Holdings,2023.0,"WesTrac continues to invest in and develop its team members to strengthen its workforce in line with emerging technologies and workshop and customer needs. In FY23, this included the commencement of a project specifically designed to create an electrification curriculum that will be used to upskill the workforce and customers across the entire dealer networks within APAC, a Carbon Literacy for Miners Course to equip its sales teams with the skills to have meaningful conversations about emissions reduction strategies with its customers, and operator training for customers to improve utilisation of equipment.",,,,,29,,"Carbon Literacy for Miners Course, electrification curriculum, emissions reduction","4, 13","E, S",,,,,,,,,,,,,,,,
114,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,WesTrac Institute,,,Seven Group Holdings,2023.0,"The WesTrac Institute, which trains internal and external participants, saw phase one of its digitalisation goal executed by designing and integrating digital assessments across all technical training streams with tablets replacing printed course material in pre and post-trade training. Labour preparation has been reduced to 15 minutes from ~4 hours. Phase two, pending CAPEX approvals, will see the training streams start to merge all paperÃ¢ÂÂbased assets to a digital format.",,,,,29,,"WesTrac Institute, digitalisation, digital assessment","4, 8, 9",S,,,,,,,,,,,,,,,,
115,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Equipped for Leadership Branch Manager training,,,Seven Group Holdings,2023.0,"One of Coates' particular focuses in FY23 has been its Equipped for Leadership Branch Manager training, which generated positive results and a measurable impact on engagement and performance. The Sales Capability Programs have also achieved positive participant experiences and outcomes for Coates.",,,,,29,,"Equipped for Leadership Branch Manager training, Sales Capability Program, engagement","4, 8",S,,,,,,,,,,,,,,,,
116,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Seven Group Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Diversity and Inclusion Strategy and Action Plan,,,Seven Group Holdings,2023.0,"Coates refreshed its Diversity and Inclusion Strategy and Action Plan. As part of that plan, Coates established improved parental leave arrangements, increased hours flexibility at Branches, and improved career pathways. As a result, Coates' overall female representation has grown by 68 roles in FY23 to 22 per cent. Coates' representation of women in people leadership roles has also grown by 7.5 per cent from its 2023 WGEA survey results.",,,,,28,,"Diversity and Inclusion Strategy and Action Plan, parental leave, career pathway","8, 10",S,,,,,,,,,,,,,,,,
118,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,Gender pay review,,,Seven Group Holdings,2023.0,"WesTrac and Coates conduct annual gender pay reviews to identify any differences in base pay for likeÃ¢ÂÂforÃ¢ÂÂlike roles and address them continuously to ensure gender pay parity is maintained. Furthermore, pay rates across job families and job levels are analysed to determine focus areas when making changes to SGH's remuneration framework and plans.",,,,,40,,"Gender pay review, gender pay parity, remuneration framework","8, 10",S,,,,,,,,,,,,,,,,
119,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,Coates won the APIC Partner of the Year award at the 2022 NSW Indigenous Chamber of Commerce (NSWICC) Infrastructure and Construction Awards.,,,,Seven Group Holdings,2023.0,,,,,,40,,,,,,,,,,,,,,,,,,,,
120,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,Seven Group Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
