Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
114,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Steadfast's Summer Intern Program,,,Steadfast Group,2023.0,Steadfast's Summer Intern Program also offers six roles to school leavers each year. We are delighted with the quality of people who have joined us and stayed through these programs.,,,,,36,,"Summer Intern Program, Policy, Development",4,s,,,,,,,,,,,,,,,,,
115,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,"Promotions and transfers:53% Male, 47% female",,,,Steadfast Group,2023.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,
116,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Steadfast's DE&I Strategy and its Diversity Policy,,,Steadfast Group,2023.0,"Steadfast's DE&I Strategy and Diversity Policy focus on gender, LGBTQIA+ and disability. By surveying our people, we established that they are passionate about these areas, which helped shape the framework of our DE&I.",,,,,32,,"Leadership training, Female representation",5,S,,,,,,,,,,,,,,,,,
117,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Aspire Women in Leadership Program,,,Steadfast Group,2023.0,"Steadfast again joined Hollard Insurance in 2023 to help develop the next Group of female leaders via the Aspire Women Leaders Program. The Aspire Women Leaders Program is a year-long development program specifically tailored to Steadfast female insurance intermediaries looking to become future business leaders. Although improving, there are still steps to be taken to ensure that women are at least equally represented and valued in management and executive positions in our industry. We have demonstrated our commitment to our female brokers and offer a dedicated leadership program.",,,,,38,,"Female Leaders, Development Program, Future Business",10,S,,,,,,,,,,,,,,,,,
118,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,"We do not tolerate discrimination, harassment or defamation.",,,,Steadfast Group,2023.0,,,,,,32,,,,,,,,,,,,,,,,,,,,,
120,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,Steadfast also continued our support of the employment service for people with a moderate intellectual disability through the government organisation Job Support. We currently have two Jobsupport employees.,,,,Steadfast Group,2023.0,,,,,,32,,,,,,,,,,,,,,,,,,,,,
121,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"Steadfast complies with relevant laws, community expectations, and ethical standards related to human rights and modern slavery regarding our employees and business. Employees are encouraged to report genuine concerns about modern slavery relating to our people, business, or supply chain.",,,,Steadfast Group,2023.0,,,,,,35,,,,,,,,,,,,,,,,,,,,,
122,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,"We reject any form of modern slavery, such as servitude, human trafficking, forced labour and marriage, child labour and debt bondage. We are committed to promoting adherence to internationally recognised human rights principles, including the United Nations Guiding Principles on Business and Human Rights (UNGPs).",,,,Steadfast Group,2023.0,,,,,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,,
123,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,"Steadfast rejects any form of modern slavery, such as slavery, servitude, human trafficking and forced labour. We aim to identify and manage risks related to human rights across our business and supply chain.",,,,Steadfast Group,2023.0,,,,,,35,,,,,,,,,,,,,,,,,,,,,
