Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
34,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,SMS scam-related intelligence,,,TPG Telecom,2023.0,"In 2023, we partnered with the Commonwealth Bank of Australia (CBA) in a pilot initiative to help protect customers by sharing SMS scam-related intelligence in near real-time. It allows us to block more scams from reaching customers while improving CBA's ability to disrupt, detect and proactively block fraudulent payments.",,,,10,,,"Scam-related intelligence, Fraud prevention, Partnership","8, 9, 16",G,,,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,"If employees don't feel the options available to speak up are appropriate for your situation, they can report it using the Whistleblower process, including through our external Whistleblower hotline (Fair Call). Our Whistleblower hotline is a confidential and secure independent service where you can anonymously (if you choose) report a complaint, issue or concern relating to illegal, unethical or improper conduct.",,,,TPG Telecom,2023.0,,,,,,,,,,,,Code of Conduct,,,,,,,,,,,,,,
36,,2.0,General Disclosures,2-27,Compliance with laws and regulations,"In 2022, we collaborated on updating the 'Reducing Scam Calls and Scam SMS' industry code through the Communications Alliance. We reviewed our internal framework upon its release to confirm it met or exceeded the updated requirements.",,,,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,2.0,General Disclosures,2-28,Membership associations,,Fraud and Security Alliance Forum,,,TPG Telecom,2023.0,"In 2020, TPG Telecom established the Fraud and Security Alliance Forum, a cross-industry forum bringing together banks, telcos, postal services, law enforcement, government agencies and regulators. The Forum works together to protect businesses and Australians from falling victim to scams through building partnerships, detection, prevention, and awareness programs. The Forum meets regularly and has continued to grow, with over 130 participants attending the most recent meeting.",,,,"9, 10",,,"Fraud and Security Alliance Forum, Scam prevention, Industry collaboration","9, 16",G,,,,,,,,,,,,,,,,
38,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Stakeholders engagement approach,,,TPG Telecom,2023.0,We place a strong emphasis on meaningful stakeholder engagement. It is essential to our business objectives and helps us remain informed about our constantly evolving environment. It also keeps us in touch with the needs and expectations of those interested in or influencing our business and its performance.,,,,6,,,"Stakeholder engagement, Business objectives, Environmental awareness","8, 9, 16",G,,,,,,,,,,,,,,,,
39,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Supplier Engagement Program,,,TPG Telecom,2023.0,"In 2023, we launched our Supplier Engagement Program, marking a critical step towards embedding our sustainability commitments throughout our supply chain. This program focuses on critical areas where our suppliers can make a meaningful impact, including Energy & Emissions, Human Rights & Modern Slavery, Nature & Biodiversity, and Waste & the Circular Economy.",,,,6,,,"Supplier Engagement Program, Supply chain sustainability, Impactful initiatives","8, 9, 12",G,,,,,,,,,,,,,,,,
40,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Regulatory Engagement,,,TPG Telecom,2023.0,"We remain committed to protecting Australians from financial harm and identity theft. In 2023, we focused on the following priorities: Supporting the National Anti-Scam Centre: TPG Telecom actively engages as a critical industry member, contributing to the Investment Scam and Communications & Awareness working groups. Advocating for a Verified Origin Registry: To combat alpha-tag impersonation SMS scams, we joined the ACMA SMS ID Registry pilot, aiming for more effective prevention of SMS scams that impersonate senders in text message headers. Collaboration through the Communications Alliance: Our involvement includes technical responses to call identifier number spoofing, incorporating SMS volume controls, limitations on the use of numbers allocated to TPG Telecom, and system improvements to disrupt and block scam calls and scam SMS on our network.",,,,11,,,"Financial protection, Scam prevention, Collaboration","9, 16",G,,,,,,,,,,,,,,,,
41,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-1,Process to determine material topics,"In 2023, we undertook a double materiality review of the critical areas in our Sustainability Strategy. We evaluated the potential financial impact on the business (financial materiality) and the potential environmental and social impact on our stakeholders (impact materiality). We used this review to prioritise the coverage within our Annual and Sustainability Reports and to help prepare for upcoming mandatory disclosure requirements.\t",,,,TPG Telecom,2023.0,,,,,6,,,,,,,,,,,,,,,,,,,,,
43,,3.0,Material Topics,3-2,List of material topics,"Environmental responsibility, Customer wellbeing, Inclusion and belonging, Digital economy, Responsible Business Practices",,,,TPG Telecom,2023.0,,,,,6,,,,,,,,,,,,,,,,,,,,,
44,,3.0,Material Topics,3-3,Management of material topics,,Strategic Leadership methodology,,,TPG Telecom,2023.0,"Our analysis led to a change in our Strategic Leadership methodology. In 2022, this calculation included Executives, General Managers, and their direct reports. However, we identified this method inadvertently included some roles that needed to align with the definition of a strategic leader in TPG Telecom. As a result, we have adjusted our calculation method to better align with our target's intent. Our revised methodology now uses our internal job grading system, grouping the three senior leadership levels below the CEO (grades 2-4), all with strategic decision-making responsibilities.",,,,"11, 23",,4,"Organizational restructuring, Leadership, Alignment","8, 16",G,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,5G mmwave,,,TPG Telecom,2023.0,"This technology uses a high-frequency spectrum, enabling it to carry large amounts of data over short distances. It is well-suited for high-traffic areas, like significant transport hubs or sporting stadiums, where many people use the mobile network simultaneously. The ultra-high- bandwidth capability of 5G mmWave enables the use of data-intensive applications, such as 8K video streaming and immersive virtual or augmented reality experiences.",,,,28,,,"5G technology, High-frequency spectrum, Data-intensive applications","9, 11",E,,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,Dual Mode Core migration,,,TPG Telecom,2023.0,"In 2023, we successfully migrated our consumer and business 4G and 5G data services onto Ericsson's single, consolidated Dual Mode Core network. This move increases our network's operational efficiency, enabling the delivery of new services. It also paves the way for faster and more frequent software upgrades to keep TPG Telecom's mobile network stable and secure. This move provides a platform to better support the ever-increasing customer demand for data while laying the foundations for future mobile use cases for consumer and enterprise needs.",,,,28,,,"Network migration, Operational efficiency, Software upgrades","9, 11",E,,,,,,,,,,,,,,,,
47,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,SRv6-based transport network,,,TPG Telecom,2023.0,"Partnering with Cisco, TPG Telecom deployed a new networking technology called SRv6. This technology helps our network more efficiently manage and direct traffic over our 5G and fixed-line networks, allowing us to deliver an improved customer experience through better service performance. Implementing SRv6 enables the potential for faster, demand-driven, high-quality, low-latency connectivity services for 5G, cloud computing and IoT applications.",,,,28,2,,"Networking technology, Traffic management, Service performance","9, 11",E,,,,,,,,,,,,,,,,
48,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,TPG Telecom addresses climate change and its effects by identifying and managing risks and opportunities as we transition to a low-carbon economy. Understanding the impact of climate change and climate-related events over the coming decades will help inform future business decisions relating to our operations and value chain.,,,,TPG Telecom,2023.0,,,,,16,,,,,,,,,,,,,,,,,,,,,
49,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
