Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
102,,401.0,Employment,401-01,New employee hires and employee turnover,,Spirit Survey,,,TPG Telecom,2023.0,Our Spirit Survey is conducted semi-annually and measures the extent to which our employees consider our values are being lived throughout TPG Telecom. It is referred to as our Values Alignment Index. It enables us to understand our strengths while helping to define future areas of focus for improvement.\t,,,,34,,,"Employee survey, Values alignment, Workplace culture","3, 8",S,,Datapack,,,,,,,,,,,,,,
103,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"To ensure that our learning and development options continue to be fit for purpose, we track the engagement of our people in our learning management system and Spirit Surveys.",,,,TPG Telecom,2023.0,,,,,35,,,,,,,,,,,,,,,,,,,,,
104,,401.0,Employment,401-03,Parental leave,,Parental Leave Policy Update,,,TPG Telecom,2023.0,"This policy change demonstrates our ongoing commitment to building a supportive workplace for parents. Since October 2022, the engagement scores of parents and carers in Australia have increased by 10%.",,,,24,,,"Parental support policy, Workplace culture, Employee engagement","3, 5",S,,,,,,,,,,,,,,,,
105,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,We maintain an effective health and safety management system and continually work hard to improve our processes to deliver a safe and healthy employee experience.,,,,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Risk Management Framework,,,TPG Telecom,2023.0,"Our Risk Management Framework is the basis for all group risk assessments, including risks relating to ESG factors. We are committed to driving a strong risk culture and improving customer, community, and investor outcomes. We conduct regular risk assessments at an enterprise and business unit level, including reviewing risks relating to ESG matters.",,,,7,,,"Risk Management Framework, ESG risks, Risk culture",16,E,,,,,,,,,,,,,,,,
108,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Approach to Risk Management,,,TPG Telecom,2023.0,"At TPG Telecom, we have continued to strengthen our approach to modern slavery risk management. In 2022, we leveraged the UNGPs with the TPG Telecom Risk Management policy to undertake a modern slavery risk assessment across our business operations. In line with the UNGPs requirements, our risk management process seeks to assess risks to people rather than to identify risks to achieving our business objectives. Through the risk assessment process, we considered our human rights impact where we cause, contribute to, or are directly linked to modern slavery risks. \t",,,,,,,"Modern slavery, Human rights impact, Risk assessment","8, 16",S,,Modern Slavery Statement,,,,,,,,,,,,,,
109,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety","Wellbeing and respect at work workshops held with our Senior Leadership Team focused on our wellbeing survey results and driving improvements in critical areas for our people, including planning, prioritisation routines, and rhythms and their impact on workload.",,,,TPG Telecom,2023.0,,,,,34,,,,,,,,,,,,,,,,,,,,,
111,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,Continued mental health First Aider training to help our leaders better support their teams.,,,,TPG Telecom,2023.0,,,,,34,,,,,,,,,,,,,,,,,,,,,
112,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Bespoke survey,,,TPG Telecom,2023.0,"In 2023, to better understand our employees' experiences and needs, we conducted a bespoke survey specifically investigating sentiment around employee well-being, respect at work, and other psychosocial factors. The insights have informed future work programs, focusing on more effective working methods, personal well-being, and respectful behaviours.",,,,34,,,"Employee wellbeing, Flexible working policy, Bespoke survey","3, 5, 8",S,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Flexible Working Policy,,,TPG Telecom,2023.0,"In May, we finalised the implementation of our Flexible Working Policy, reflecting our approach of 'it's not 0, but it's not 5' number of days in the office. We continue to stand firmly behind our approach to flexible working and understand its positive impacts on our employees. At the same time, we recognise the clear benefits of working together in the office, and we want to enable our employees to take full advantage of them.",,,,34,,,"Flexible Working, Policy, Approach","3, 5, 8",S,,,,,,,,,,,,,,,,
114,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Proud Out Loud Panel,,,TPG Telecom,2023.0,"During Pride Month in June, we encouraged everyone to celebrate the LGBTQI+ community and educate themselves on how to be an active ally. Our 'Proud Out Loud' panel event was hosted by television presenter, podcaster, host and actor Matty Mills and featured our executive sponsor and Pride Network Chair. The panel covered all things celebrating pride and diving into how respectful dialogue can break down barriers, dismantle assumptions and establish new understandings to be more inclusive in the workplace.",,,,26,,,"Diversity, Inclusion, LGBTQI community","5, 10, 16",S,,,,,,,,,,,,,,,,
115,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,403.0,Occupational Health and Safety,403-09,Work-related injuries,"TFIFR 1.86, LTIFR 1.44, Fatalities 0.",,,,TPG Telecom,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
118,,403.0,Occupational Health and Safety,403-10,Work-related ill health,"TFIFR 1.86, LTIFR 1.44, Fatalities 0.",,,,TPG Telecom,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
119,,404.0,Training and Education,404-01,Average hours of training per year per employee,"Office (Corporate) 11.0, Contact Centre 39.0, Vodafone Retail 32.0.",,,,TPG Telecom,2023.0,,,,,34,,,,,,,,,,,,,,,,,,,,,
120,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,DFV Training,,,TPG Telecom,2023.0,"We provide comprehensive training to these specialists, including information on the leading causes of abuse, what constitutes technology-facilitated abuse, and tips on what to do if someone tells you they are experiencing DFV. Additional domestic abuse information and resources for our people in the Philippines. Awareness of hidden meanings of common expressions that can excuse disrespectful behaviour. A Conversation Guide to help us speak more confidently and openly with young people about the importance of respectful relationships.",,,,14,,,"Domestic and Family Violence (DFV), Comprehensive training, Awareness","3, 5, 10",S,,,,,,,,,,,,,,,,
121,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Conducting' The Human Experience' workshop,,,TPG Telecom,2023.0,"Conducting' The Human Experience' workshop to enhance our employees' understanding of the challenges faced by customers with disabilities when using our digital platforms. It aimed to foster empathy, raise awareness, educate the team on our accessibility obligations and help identify ways to create better digital experiences for our customers.",,,,14,,,"Accessibility workshop, Digital platforms, Human Experience","3, 4, 10",S,,,,,,,,,,,,,,,,
122,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,AccelerateHer,,,TPG Telecom,2023.0,"In 2023, TPG Telecom introduced a transformational program, AccelerateHer, designed to attract, strengthen and retain our leadership pipeline of women in technology. This program started with a conference, where more than 160 women came together to connect, learn, provide valuable feedback and, most importantly, create a supportive community of women across TPG Telecom's Technology division. AccelerateHer encompassed a formal learning pathway, panel discussions, coaching cafes, and sponsorship.",,,,"24, 35",,,"Women leadership, Gender equality, Transformational Program","3, 5, 10",S,,,,,,,,,,,,,,,,
123,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Inclusion and belonging strategy,,,TPG Telecom,2023.0,"Our 2021-2023 strategy focused on Gender equality, Reconciliation, Flexible working, LGBTQI+ inclusivity, and Intercultural understanding. Our approach prioritises disability inclusion, as shown in our broader diversity portfolio.\t",,,,22,,,"Diversity strategy, Gender representation goals, Reconciliation","5, 10, 16",S,,,,,,,,,,,,,,,,
125,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Felame Representation Target,,,TPG Telecom,2023.0,"Achieve 45 percent female representation in Strategic Leadership by the end of 2026, 35 percent female representation across our workforce by the end of 2024, and 20 percent female representation in STEM functions by the end of 2024.",,,,22,,,"Female representation, Strategic leadership, Workforce","5, 10, 16",S,,,,,,,,,,,,,,,,
126,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Hesta 40:40 Vision,,,TPG Telecom,2023.0,"We continue to work towards achieving 40 per cent women in Executive Leadership by 2030 and remain a proud signatory of the Hesta 40:40 Vision. In addition, TPG Telecom achieved its Board gender diversity commitment to have at least 30 per cent female directors with its most recent Board appointment.",,,,"22, 26",,,"Executive Leadership, Hesta Vision, Gender Diversity","5, 10, 16",S,,,,,,,,,,,,,,,,
127,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Trans Day of Visibility,,,TPG Telecom,2023.0,"In 2023, for Trans Day of Visibility, we enhanced awareness and support for the Transgender community through a customer campaign supporting Minus18 called #ChangeTheCourse. Leading up to Trans Day of Visibility, our employees showcased their creativity through a customer bag design competition inspired by our campaign to help #ChangeTheCourse. For two weeks, customers in our Vodafone company-owned stores could choose an inclusive trans-themed bag designed by Tahlia Carmichael, Vodafone Retail Manager in QLD.",,,,"26, 30",,,"Diversity, Inclusion, Awareness","5, 10, 16",S,,,,,,,,,,,,,,,,
128,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,Analysis of gender pay equity,,,TPG Telecom,2023.0,"Our analysis of gender pay equity found that, on average, women are remunerated slightly higher than men for equivalent roles. However, we recognise that a gender pay gap exists when using the WGEA measurement. Our analysis revealed the most significant contributing factor to the gender pay gap is unequal gender representation, particularly across senior levels, and we remain committed to achieving our gender representation targets to help close this gap.",,,,21,,,"Gender pay equity analysis, Gender representation, Remuneration","5, 10, 16",S,,,,,,,,,,,,,,,,
129,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,Access and Inclusion Index,,,TPG Telecom,2023.0,We look forward to continuing our membership with the Australian Disability Network and have completed our first benchmark assessment using its Access and Inclusion Index. This critical step on our accessibility journey will provide us with rich insights and recommendations to inform our long-term strategy and Disability Inclusion Access Plan.,,,,25,,,"Disability inclusion, Accessibility benchmarking, Australia Disability Network","3, 5, 10",S,,,,,,,,,,,,,,,,
130,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,Harmony Week,,,TPG Telecom,2023.0,"During Harmony Week, an annual event celebrating cultural diversity and the unique benefits of our multicultural society, we encouraged employees to celebrate their cultural backgrounds. We launched our new Race, Ethnicity and Cultural Heritage (REACH) Network. Since its formation, the network has helped embed cultural awareness through employee communications, stories and educational resources.",,,,"25, 26",,,"Cultural diversity celebration, Employee networks, Harmony Week","10, 16, 17",S,,,,,,,,,,,,,,,,
131,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,"Race, Ethnicity and Cultural Heritage (REACH) Network",,,TPG Telecom,2023.0,REACH Network focuses on Fostering a culturally safe workplace where respect is the core foundation. We enrich our employee experience by empowering people to value different perspectives and learn about various traditions and cultures from around the world. We stand with our culturally diverse communities to celebrate our diverse workforce and the harmony this brings.,,,,26,,,"REACH Network, Safe workplace, Empowering people","10, 16, 17",S,,,,,,,,,,,,,,,,
132,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,DNA (Disability Network Alliance),,,TPG Telecom,2023.0,"In 2023, we also established a new Employee Resource Group, DNA (Disability Network Alliance), a dedicated group of employees passionate about accessibility in all its forms, either as people with lived experience of disability or as allies.",,,,3. 5,,,"Diversity, Inclusion, Accessibility","10, 16",S,,,,,,,,,,,,,,,,
133,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,Common Platform Launching,,,TPG Telecom,2023.0,"This year, we launched a common platform to identify, assess, and monitor suppliers' modern slavery risks. By working together as an industry, we can apply a more consistent approach to engaging suppliers and streamlining their required effort, leading to increased participation and commitment from suppliers on this critical issue.",,,,32,,,"Modern Slavery, Supplier, Assessment","8, 10, 12",S,,,,,,,,,,,,,,,,
134,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,Modern Slavery Governance Framework (the Framework),,,TPG Telecom,2023.0,"In 2022, we developed a Modern Slavery Governance Framework (the Framework) to formalise a structured approach to identifying, assessing, and addressing modern slavery risk in our business operations and supply chains. The CommitteeÃ¢ÂÂs responsibilities include designing and tracking relevant Key Performance Indicators (KPIs) to ensure implementation of the Framework and progress of initiatives to improve our management of modern slavery risks continuously.",,,,33,,,"Framework, Governance, Modern Slavery","8, 10, 12",S,,Modern Slavery Statement,,,,,,,,,,,,,,
135,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,Modern Slavery Risk Management Process,,,TPG Telecom,2023.0,Identify: Find key risk areas in our operations & supply chains. Analyse: Develop an understanding of the severity & likelihood of risk. Evaluate: Support decisions on how to manage risk. Treat: Implement an action plan for addressing the risk.,,,,,,,"Risk management approach, Supply chain transparency, Modern Slavery","8, 16, 17",S,,Modern Slavery Statement,,,,,,,,,,,,,,
