Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
66,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,"Employees, contractors, consultants, secondees, directors",,,,Technology One,2023.0,,,,,,,,,,,,Anti-bribery and corruption,,,,,,,,,,,,,,
67,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Anti-bribery and corruption approach,,,Technology One,2023.0,"TechnologyOne takes a zero-tolerance approach to bribery and corruption, so breaches of this policy will be handled seriously. They may result in termination of employment if an Employee is found to have contravened this policy. This policy will be reviewed annually.",,,,,,,"Anti-bribery Policy, Policy Enforcement, Compliance Review",16,G,,Anti-bribery and corruption,,,,,,,,,,,,,,
68,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Technology One,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Technology One,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,207.0,Tax,207-01,Approach to tax,,Approach to Tax,,,Technology One,2023.0,"TechnologyOne is conservative in its approach to tax risk. TechnologyOne aims to comply with tax obligations in each jurisdiction it operates fully. By its commitment to best-practice corporate governance and a culture of excellence, TechnologyOne will not enter into any arrangements that may be considered tax evasion. \t",,,,124,,,"Tax Compliance, Best-practice Governance, Tax Evasion Prevention",16,G,,,,,,,,,,,,,,,,
71,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Tax Risk Governance Policy,,,Technology One,2023.0,"The Tax Risk Governance Policy includes a framework for the internal escalation process for referring matters to the CFO. The CFO must report any material tax issues to the Board. TechnologyOne will not pursue aggressive tax positions or strategies or adopt positions that cannot be supported or defended in a court of law. Advice is obtained when the tax law is unclear or subject to interpretation. When necessary, the Australian Taxation Office (ATO) (or other relevant tax authority) is consulted to ensure certainty.",,,,124,,,"Tax Risk Governance, Internal Framework, Reporting Structure",16,G,,,,,,,,,,,,,,,,
72,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Tax governance framework,,,Technology One,2023.0,"TechnologyOne has a tax governance framework, which the Board has approved. The tax falls under the oversight of the Audit and Risk Committee.",,,,124,,,"Tax Governance Framework, Board Oversight, Audit Committee Involvement",16,G,,,,,,,,,,,,,,,,
73,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,TechnologyOne has a robust compliance history and an open engagement with relevant tax authorities. We seek to be cooperative and transparent and to maintain collaborative relationships.,,,,Technology One,2023.0,,,,,124,,,,,,,,,,,,,,,,,,,,,
74,,207.0,Tax,207-04,Country-by-country reporting,TechnologyOne has an Advanced Pricing Arrangement (APA) with the Australian Taxation Office. Our engagement with the ATO through the APA process seeks to ensure Australia receives a commercial return for using intellectual property by our overseas businesses. These returns are taxable in Australia.,,,,Technology One,2023.0,,,,,124,,,,,,,,,,,,,,,,,,,,,
75,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Technology One,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Technology One,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
