Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
47,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Investment Digitally-Enabled,,,The Lottery Corporation,2023.0,"The Lottery Corporation's investment agenda is focused on digitally enabled, customer-led initiatives that can supercharge the customer experience. Regarding our distribution channels, we will continue to balance investments across retail and digital, with customer convenience as the guiding principle.",,,,,7,,"Investment Agenda, Digitally-enabled, Customer-led",9,S,,,,,,,,,,,,,,,,
48,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Store Syndicates Online,,,The Lottery Corporation,2023.0,"The Lottery Corporation continually refines its operations to provide a more seamless and personalized experience. Along with investments in the infrastructure and platforms that support customer engagement points, we have launched Store Syndicates Online, which allows our digital customers to purchase entries in syndicates offered by our Lottery retail partners.",,,,,21,,"Store Syndicates Online, Digital Customers, Retail Partners",9,S,,,,,,,,,,,,,,,,
49,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Queensland Based Customers,,,The Lottery Corporation,2023.0,"The Keno app for our Queensland-based customers was launched, allowing them to check their tickets in real time on their devices. The Lottery Corporation has also completed the transfer of the Keno contact centre from Tabcorp, streamlining support touch points and integrating it with the Lotteries contact centre.",,,,,21,,"Queensland-Based Customers, Keno App, Touch Point\t",9,S,,,,,,,,,,,,,,,,
50,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Tier 0 Suppliers,,,The Lottery Corporation,2023.0,"In FY24, the Company will commence a process to survey and assess its 'Tier 0' suppliers, including against some of the abovementioned matters. The Company evaluates all of its Tier 0 suppliers annually. Tier 0 means a category of supplier that requires regulatory approval, given the highly regulated nature of the Group. They are considered to be among the Company's Most Important engagements.",,,,,41,,"Tier 0 Suppliers, Engagements, Regulated Nature","8, 9",S,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Flexible Work Policy,,,The Lottery Corporation,2023.0,"The Lottery Corporation designed and launched a Flexible Work Policy, Flex for Great Outcomes. The Lottery Corporation recognizes that everyone's work style and approach to achieving excellent outcomes differ. recognize",,,,,45,,"Flexible Work Policy, Workforce, Great Outcomes","8, 9",S,,,,,,,,,,,,,,,,
52,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,Anti-Bribery and Anti-Corruption Policy,,,The Lottery Corporation,2023.0,"The Group has an Anti-Bribery and Anti-Corruption Policy that prohibits all forms of bribery, facilitation payments, payment or receipt of secret commissions, and fraud. The policy also sets out the standards employees and contractors require when dealing with third parties and when offering and accepting gifts and hospitality. A gifts and hospitality register and other controls and processes are maintained to support the policy.\t",,,,,18,,"Anti-Bribery and Anti-Corruption Policy, Facilitation Payments, Facilitation Payments",16,G,,,,,,,,,,,,,,,,
54,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Corruption Training Programs,,,The Lottery Corporation,2023.0,"The Lottery Corporation has delivered training programs for employees, retailers, and venues. These programs aim to help promote compliance with obligations and management of critical risks.",,,,,22,,"Corruption Training Programs, Compliance, Corruption",4,S,,,,,,,,,,,,,,,,
55,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,207.0,Tax,207-01,Approach to tax,The Lottery Corporation Limited (the Head Company) and its 100% owned Australian tax resident subsidiaries have formed an income tax consolidation group and are taxed as a single entity. Members of the tax consolidation group entered into a tax-sharing arrangement that allocates income tax liabilities between the entities should the Head Company default on its tax payment obligations.,,,,The Lottery Corporation,2023.0,,,,,,130,,,,,,,,,,,,,,,,,,,,
58,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Uncertain Tax Treatment,,,The Lottery Corporation,2023.0,Uncertain tax treatment occurs when there is uncertainty over whether a tax authority will accept a tax treatment adopted by the Group under tax law. The Group revisits the accounting regarding uncertain tax treatment when relevant facts and circumstances change.,,,,,104,,"Uncertain Tax Treatment, Tax Treatment, Tax Law",16,G,,,,,,,,,,,,,,,,
59,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,General Employee Share Plan,,,The Lottery Corporation,2023.0,"The Lottery Corporation also allows our employees to participate in a General Employee Share Plan. This plan allows employees to purchase from $1,000 to $5,000 worth of TLC shares on a tax-exempt (if applicable) or tax-deferred basis.",,,,,45,,"General Employee Share Plan, Tax Exempt, Tax Deferred","8, 17",S,,,,,,,,,,,,,,,,
60,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,302.0,Energy,302-01,Energy consumption within the organization,The Lottery Corporation consumed 827.46Mwh energy in 2023.,,,,The Lottery Corporation,2023.0,,,,,,46,,,,,,,,,,,,,,,,,,,,
65,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,302.0,Energy,302-04,Reduction of energy consumption,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,302.0,Energy,302-05,Reductions in energy requirements of products and services,"The Lottery Corporation does not consider that it has a material exposure to environmental risks given the nature of its business. However, it recognises that climate change is a significant challenge globally and for the communities in which we operate. Notwithstanding our relatively small carbon footprint, we are committed to reducing our greenhouse gas emissions over time.",,,,The Lottery Corporation,2023.0,,,,,,46,,,,,,,,,,,,,,,,,,,,
69,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,303.0,Water and Effluents,303-05,Water consumption,,,,NO DISCLOSURE,The Lottery Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
