Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
87,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Treasury Wine Estates,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Treasuring Water,,,Treasury Wine Estates,2023.0,"Following a strategic review, we developed a global water strategy in F23 called Treasuring Water to help guide our actions as responsible stewards. It is underpinned by our vision of being responsible, mindful, and sustainable leaders across our global communities. This vision speaks to the need for TWE to responsibly use water whilst demonstrating leadership in water stewardship across the global communities where we operate.",,,,22,,,"Global Water Strategy, Water Stewardship, Resilience","6, 13",E,,,,,,,,,,,,,,,,
89,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Secure and sustainable water supply,,,Treasury Wine Estates,2023.0,"Ensuring that quality water supplies are secure across our operations and will be resilient in a changing climate. In achieving this, we consider the water needs of others who share the resource, including the environment and support partners in our supply chain to manage their water sustainably.",,,,22,,,"Water Security, Climate Resilience, Resource Recovery","6, 13",E,,,,,,,,,,,,,,,,
90,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Promoting circular solutions,,,Treasury Wine Estates,2023.0,"Wastewater recycling, water reuse, and resource recovery will be featured across our operations to drive better outcomes for our business, local communities, and the environment. We will pursue opportunities to manage the nexus between water and energy sustainably and productively.",,,,22,,,"Wastewater Recycling, Sustainable Water Management, Nexus Management","6, 12",E,,,,,,,,,,,,,,,,
91,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Treasury Wine Estates,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,Treasury Wine Estates,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Treasury Wine Estates,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,303.0,Water and Effluents,303-05,Water consumption,,Efficient water use,,,Treasury Wine Estates,2023.0,"Valuing our water resources by using them productively and effectively. We seek out and implement cost-effective opportunities to prevent losses and optimise use in our vineyards, wineries, and packaging operations.",,,,"19, 22",,,"Water Resource Management, Cost-effective Solutions, Smart Technology","6, 7, 9",E,,,,,,,,,,,,,,,,
95,,303.0,Water and Effluents,303-05,Water consumption,,Recycled water use at TWE Barossa,,,Treasury Wine Estates,2023.0,"We capture up to 200ML of water each year after it is used in our winemaking processes at TWE Barossa, and the water is then treated at our onsite anaerobic wastewater recycling plant for reuse for irrigation and other value-adding purposes. In addition, we also harvest water onsite Ã¢ÂÂ up to 200ML of rainwater annually Ã¢ÂÂ from the winery and packaging centre roof catchments, which are stored onsite in stormwater dams.",,,,24,,,"Water Recycling, Rainwater Harvesting, Wastewater Treatment","6, 13",E,,,,,,,,,,,,,,,,
96,,303.0,Water and Effluents,303-05,Water consumption,,Monitoring our water footprint in real-time,,,Treasury Wine Estates,2023.0,"We assessed our current water use monitoring approach in our global review. It looked at the mosaic of approaches to water metering and data capture across our operations and our ability to report compliance and monitor our water footprint over time. Investing in smart meters is a fundamental and foundational building block to our stewardship of water, using the best available technology to ensure timely, accurate data.",,,,25,,,"Smart Metering, Data Accuracy, Water Stewardship","6, 13",E,,,,,,,,,,,,,,,,
97,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,Stabilising MarlboroughÃ¢ÂÂs Wairau riverbank to avoid future floods,,,Treasury Wine Estates,2023.0,"In F23, the team, in collaboration with the local Council, undertook $2M NZD repairs of the riverbank to stabilise the riverbank at River Terrace by diverting the river braid and moving thousands of tonnes of rocks to put rock armour back in place. The rock armour will help prevent future erosion of the riverbank and will help protect the vineyard from damage resulting in future flood events. Additional riverbank works are scheduled for F24 to stabilise the remaining damaged riverbank at the Northbank Vineyard.",,,,9.3,,,"Riverbank Stabilization, Flood Protection, Erosion Prevention","6, 15",E,,,,,,,,,,,,,,,,
98,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas","TWE accesses grapes and bulk wine from various sources, including company-owned and leased vineyards, grower vineyards, and the bulk wine market, which varies by region. A fundamental component of our sustainable growing and production is the attainment and retention of third-party independently verified sustainability certifications across TWEÃ¢ÂÂs owned and leased vineyards and wineries. Where we can, we align these certification schemes around local sustainability standards, which require us to report annually on our practices and progress.",,,,Treasury Wine Estates,2023.0,,,,,46,,,,,,,,,,,,,,,,,,,,,
99,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity","Since 2011, Treasury Americas has restored and developed riparian corridors to allow the Napa River to rise and widen. Producing sustainable wine, Monitoring our water footprint in real-time naturally to prevent sediment build-up and preserve fish habitats. This work helps to reduce the impacts of flooding, reduce invasive plant species and support the recovery of sensitive wildlife species. This project, funded by the Environmental Protection Agency, Napa County, CA Coastal Conservancy, CA state Integrated Regional Water Management Grants and CA Wildlife Commission, has served as a case study and model for river restoration in the US.",,,,Treasury Wine Estates,2023.0,,,,,25,,,,,,,,,,,,,,,,,,,,,
100,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity","In Australia, we continue to support Markaranka Wetland, located within our Markaranka vineyard. This Wetland contains a network of ecologically significant wetlands filled with aquatic plants and rare and vulnerable species such as the Musk Duck and the Regent Parrot.",,,,Treasury Wine Estates,2023.0,,,,,25,,,,,,,,,,,,,,,,,,,,,
101,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity","In F23, TWE retained the following certifications for both owned and leased vineyards and wineries, and grower and bulk wine: Australia: Sustainable Winegrowing Australia (SWA); New Zealand: Sustainable Winegrowing New Zealand (SWNZ); Italy: VIVA Sustainable Wine and ISO 14001 Ã¢ÂÂ Environmental Management; Americas: Certified California Sustainable Winegrowing (CCSW), Fish Friendly Farming and Napa Green Winery, Napa Green, Lodi Rules, Sustainability in Practice (SIP), Landsmart, Oregon LIVE, Leading Harvest Ã¢ÂÂ¢ France: Haute Valeur Environnementale (HVA) and ISO 14001 - Environmental Management.",,,,Treasury Wine Estates,2023.0,,,,,46,,,,,,,,,,,,,,,,,,,,,
102,,304.0,Biodiversity,304-03,Habitats protected or restored,,Winton Wetlands AirSeed partnership,,,Treasury Wine Estates,2023.0,"TWE's brand, St Hubert's The Stag, is supporting the largest biodiversity restoration project in the Southern Hemisphere through its partnership with AirSeed and their combined goal to plant 100,000 seed pods containing a mix of wetland plants, native grass species and River Red Gums.",,,,47,,,"Biodiversity Restoration, Environmental Partnership",15,E,,,,,,,,,,,,,,,,
103,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Treasury Wine Estates,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"We completed 30 detailed site inspections, covering over 80% of our Scope 1 and 2 emissions globally. A net zero roadmap was developed to support the continued delivery and implementation of low-carbon initiatives, with an initial focus on lighting upgrades and small-scale efficiency projects.",,,,Treasury Wine Estates,2023.0,,,,,8,,,,,,,,,,,,,,,,,,,,,
105,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,11.9 Kilotonnes CO2e,,,,Treasury Wine Estates,2023.0,,,,,19,,,,,,,,,,,,,,,,,,,,,
106,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"We completed 30 detailed site inspections, covering over 80% of our Scope 1 and 2 emissions globally. A net zero roadmap was developed to support the continued delivery and implementation of low-carbon initiatives, with an initial focus on lighting upgrades and small-scale efficiency projects.",,,,Treasury Wine Estates,2023.0,,,,,8,,,,,,,,,,,,,,,,,,,,,
107,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,18.1 Kilotonnes CO2e,,,,Treasury Wine Estates,2023.0,,,,,19,,,,,,,,,,,,,,,,,,,,,
108,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,,Improving Scope 3 assessment methodology,,,Treasury Wine Estates,2023.0,"This year, we took further steps to improve the accuracy of our data by adjusting our scope 3 assessment methodology. We have re-baselined our F21 scope 3 assessment (which was completed in F22) and altered our methodology to ultimately obtain more granular data and region-specific emissions factors, particularly in capital goods (category 2), fuel and energy-related activities (category 3), upstream transportation and distribution (category 4), and waste generated in operations (category 5). The importance of improving the supplier data in our scope 3 assessment was highlighted when we used actual logistics data for transportation this year, which replaced the extrapolation method we used previously.",,,,29,,,"Scope 3 Emissions, Data Accuracy, Granular Methodology",13,E,,,,,,,,,,,,,,,,
