Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
36,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,Washington H Soul Pattinson Company,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-1,Process to determine material topics,"During the current reporting period, MSCI and Standard & Poors updated our Global Industry Classification Standard (GICS) classification from Energy to Financials (sub-industry: diversified financials), reflecting our business and core expertise more accurately.",,,,Washington H Soul Pattinson Company,2023.0,,,,,,66,,,,,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-2,List of material topics,"Sustainability in our direct operations, Sustainability in our controlled investments, Sustainability in our substantial investments, Sustainability in our broader portfolio",,,,Washington H Soul Pattinson Company,2023.0,,,,,,"66, 70, 74, 75",,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-3,Management of material topics,,Risk management of companies in our broader portfolio approach,,,Washington H Soul Pattinson Company,2023.0,"In our broader investment portfolio, we hold minority holdings in 200+ companies. Our approach to assessing the risk in each investee company focuses on areas considered material to the asset, the industry and related markets, and our portfolio as a whole. Through the combined expertise of our in-house investment team and external advisers, we deeply understand the markets, industries and companies we invest in, including ESG factors, demand and supply dynamics, competitive environment and regulation.",,,,,62,,"Investment Portfolio, Minority Holdings, ESG Factors","8, 9",G,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-3,Management of material topics,,International Sustainability Standards Board (ISSB),,,Washington H Soul Pattinson Company,2023.0,"As an Australian investment management business with $10.8 billion in Net Asset Value, WHSPÃ¢ÂÂs goal is to be aligned with the International Sustainability Standards Board (ISSB) standards S1 and S2 on sustainability and climate-related financial disclosure (June 2023) and the emerging Australian Accounting Standards Board (AASB) requirements likely to be in place by FY25. WHSP is currently undergoing a gap analysis to align our future reporting obligations.",,,,,66,,"Sustainability Standards, Climate-related Disclosure, Reporting Alignment",13,E,,,,,,,,,,,,,,,,
41,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Group Regular NPAT Group Statutory NPAT $ 170m $ 690.7 m,,,,Washington H Soul Pattinson Company,2023.0,,,,,,2,,,,,,,,,,,,,,,,,,,,
42,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Net Asset Value (pre-tax) $10.8 b,,,,Washington H Soul Pattinson Company,2023.0,,,,,,2,,,,,,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Compound Dividend Growth 9.6 %,,,,Washington H Soul Pattinson Company,2023.0,,,,,,2,,,,,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,TCFD framework,,,Washington H Soul Pattinson Company,2023.0,"WHSP closely follows the development of the global and Australian sustainability and climate-related financial disclosure standards. WHSP is adopting the TCFD framework across our direct operations, and we are working on an emissions and sustainability measurement and reporting framework.",,,,,"13, 66",,"TCFD Framework, Emissions Reporting, Employee Engagement","13, 16",E,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,Washington H Soul Pattinson Company,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
