Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
144,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Dump Truck Operator Traineeship Program,,,Whitehaven Coal,2023.0,"Our 24-month Dump Truck Operator Traineeship Program, which offers entry-level employment and a nationally recognised CERT III in Surface Extraction Operations, continued to attract new talent in FY23.",,,,18,,,"Employee training programs, Talent attraction, Certification pathways","4, 8",S,,,,,,,,,,,,,,,,,
146,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Frontline Leader Training Program,,,Whitehaven Coal,2023.0,"The Frontline Leader Training Program is a three-day course for existing and high-potential leaders, focusing on self and team leadership, strengthening commercial acumen and incorporating safety leadership concepts with STRIVE Values behaviour. The program seeks to build leaders' capability to resolve issues quickly, build trust with their teams and encourage open, two-way communication.",,,,18,,,"Leadership development, Team leadership, Safety integration","3, 4, 8",S,,,,,,,,,,,,,,,,,
147,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Werris Creek workforce support,,,Whitehaven Coal,2023.0,"With the Werris Creek Mine ending in FY24, we are implementing a tailored program to support our employees affected by the change. Data We actively engage in open and transparent consultation with our employees and contractors. We support employees by having one-on-one career conversations to understand their ambitions and preferences to explore redeployment opportunities at our other mine sites.",,,,18,,,"Workforce transition support, Redeployment opportunities, Consultation",8,S,,,,,,,,,,,,,,,,,
148,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Women's leadership development,,,Whitehaven Coal,2023.0,"Our progressive and holistic Women's Leadership Development Program aims to inspire and equip high-potential and senior female leaders with the confidence, skills and drive to step up in the business. The annual eight-month program draws on performance psychology and behavioural science to help participants build resilience, increase visibility, improve self-awareness, and develop influencing skills and personal action plans.",,,,"3, 19",,,"Women's leadership development, Diversity inclusion, Career advancement","5, 8",S,,,,,,,,,,,,,,,,,
150,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Whitehaven Success at the 2023 NSW Women in Mining Awards,,,Whitehaven Coal,2023.0,"Hollie Sampson, an Aboriginal Community Relations Officer in Whitehaven's Gunnedah office, took home the prestigious Exceptional Young Woman in Mining award, an incredible achievement and the first time a Whitehaven employee has claimed the prize. Leonie Newton from Whitehaven's Maules Creek Mine was also recognised as a finalist in the Outstanding Trade, Operator or Technician of the Year category.",,,,19,,,"Community, Woman Mining Award, Diversity","5, 8",S,,,,,,,,,,,,,,,,,
151,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,"In all cases, we found no evidence of modern slavery practices in our supply chain.",,,,Whitehaven Coal,2023.0,,,,,51,,,,,,,,,,,,,,,,,,,,,,
