Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
29,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,First Nations Advisory Group Roundtable,,,Woodside,2023.0,"Woodside's First Nations Advisory Group Roundtable is vital for meaningful dialogue and collaboration with Indigenous communities. By actively engaging with First Nations representatives, Woodside seeks to incorporate Indigenous perspectives and priorities into project planning and decision-making processes. This commitment fosters mutual respect, understanding, and sustainable partnerships for all stakeholders.",,,,,38,,"First Nations Advisory Group Roundtable, cultural heritage management, NgÃÂi Tahu iwi",11,S,,,,,,,,,,,,,,,,
30,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Cultural Heritage Management Procedure,,,Woodside,2023.0,"Woodside's Cultural Heritage Management Procedure exemplifies the company's dedication to respecting and preserving cultural heritage. By engaging with Indigenous groups and heritage experts, Woodside ensures that cultural sites are identified, protected, and respectfully managed throughout project lifecycles. This collaborative approach fosters trust, honours cultural diversity, and promotes sustainable development practices.",,,,,39,,"Cultural Heritage Management Procedure, cultural heritage management, First Nations cultural",11,S,,,,,,,,,,,,,,,,
31,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Heritage Research,,,Woodside,2023.0,"Woodside's Heritage Research initiative is a proactive engagement effort aimed at understanding and respecting the historical significance of project areas. Through comprehensive research and consultation with local communities and heritage experts, Woodside identifies and preserves cultural heritage sites. By incorporating this knowledge into project planning, Woodside demonstrates its commitment to responsible development that honours and protects cultural heritage.",,,,,38,,"Heritage Research, Murujuga, project implementation",11,S,,,,,,,,,,,,,,,,
32,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Investor briefings,,,Woodside,2023.0,"Woodside's Investor Briefings are a crucial engagement platform, fostering transparency and communication with shareholders and stakeholders. These briefings provide insights into the company's strategic direction, financial performance, and critical initiatives, enabling stakeholders to make informed decisions. By maintaining open dialogue and addressing investor inquiries, Woodside builds trust and accountability, enhancing relationships with its investor community.",,,,,,,"Investor briefings, webcasts, substantive information",17,S,,https://www.woodside.com/sustainability/materiality-for-sustainability-topics/our-stakeholders,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Local Content Manager,,,Woodside,2023.0,"The Local Content Manager at Woodside fosters collaboration and economic growth within local communities. By facilitating partnerships with local businesses and suppliers, they ensure that Woodside's operations contribute positively to regional development. Through their efforts, the Local Content Manager strengthens relationships, promotes job creation, and maximises the benefits of Woodside's presence in its operations areas.",,,,,,,"Local Content Manager, Karratha, Indigenous First Nations",11,S,,https://www.woodside.com/sustainability/materiality-for-sustainability-topics/our-stakeholders,,,,,,,,,,,,,,
34,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Gnaala Karla Booja engagement,,,Woodside,2023.0,"Gnaala Karla Booja's engagement at Woodside exemplifies the company's commitment to meaningful collaboration with Indigenous communities. Through ongoing dialogue and partnership, Woodside respects and incorporates Gnaala Karla Pooja's perspectives into its operations, fostering mutual understanding and trust. Woodside aims to create shared value and promote sustainable development in its operating regions by honouring cultural heritage and supporting community initiatives.",,,,,,,"Gnaala Karla Booja engagement, Indigenous First Nations, Murujuga",11,S,,https://www.woodside.com/sustainability/social/first-nations-cultural-heritage-and-engagement,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-30,Collective bargaining agreements,"Woodside maintains an open and collaborative working relationship with its global workforce. As of 31 December 2023, 202 employees (representing 4.4% of our total workforce) were covered by collective bargaining agreements. All other employees' working conditions and terms of employment are based on industry conditions determined by the relevant laws and regulations in their respective jurisdictions.",,,,Woodside,2023.0,,,,,,,,,,,,https://www.woodside.com/sustainability/social/people-and-culture,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-1,Process to determine material topics,"The materiality assessment process involves a study by internal subject matter experts drawing from various internal and external inputs, including from our Executive Leadership Team and Directors. We also continue to monitor developments, trends, and stakeholder views throughout the year. Our approach seeks to understand the topics relevant to our business activities and stakeholders.\t",,,,Woodside,2023.0,,,,,,29,,,,,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-2,List of material topics,"Woodside's material topics include climate, safety and well-being, environment and biodiversity, and the First National Cultural Engagement Plan.",,,,Woodside,2023.0,,,,,,29,,,,,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-3,Management of material topics,,,,NO DISCLOSURE,Woodside,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Woodside's net profit after tax FY23 was AUSD 1.7 billion.,,,,Woodside,2023.0,,,,,,5,,,,,,,,,,,,,,,,,,,,
40,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,Woodside has actively hedged its balance sheet position against the commodity cycle and green transition trend through the Capital Management Framework.,,,,Woodside,2023.0,,,,,,13,,,,,,,,,,,,,,,,,,,,
41,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,"All Group employees are entitled to benefits on retirement, disability, or death from the Group's retirement plans. The Group operates several pension schemes worldwide. Employees entitled to defined contribution schemes receive fixed contributions from Group companies, and the Group's legal or constructive obligation is limited to these contributions.",,,,Woodside,2023.0,,,,,,155,,,,,,,,,,,,,,,,,,,,
42,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,Woodside,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,"At Woodside, men and women are paid equally for the same job based on skills, responsibilities and performance. FY23 median total remuneration by gender was 30.2%.",,,,Woodside,2023.0,,,,,,,,,,,,WGEA Report,,,,,,,,,,,,,,
44,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,Indigenous Capability Strategy Advisor,,,Woodside,2023.0,"Woodside's Indigenous Capability Strategy Advisor is crucial in advancing Indigenous workforce development and inclusion initiatives. Through strategic planning and collaboration with Indigenous communities and organisations, they drive programs to enhance employment opportunities and skills development. The Indigenous Capability Strategy Advisor helps Woodside create a more inclusive and culturally diverse workforce by championing diversity and fostering meaningful partnerships.",,,,,,,"Indigenous Capability Strategy Advisor, Torres Strait Islander talent, Voice engagement survey",2024-04-11 00:00:00,S,,https://www.woodside.com/sustainability/social/people-and-culture,,,,,,,,,,,,,,
