Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
175,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Pride in diversity: LGBTQIA+ awareness,,,Xero,2023.0,"Pride in Diversity: LGBTQIA+ awareness at Xero is a community-driven initiative to foster a culture of inclusion and acceptance for individuals of all sexual orientations and gender identities. Through educational events, allyship programs, and advocacy efforts, Xero celebrates diversity and supports LGBTQIA+ employees, promoting a workplace where everyone feels respected and valued.",,,,,,,"Pride in diversity, LGBTQIA+ awareness, Strengthening belonging and understanding",11,S,,Community,,,,,,,,,,,,,,
176,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Unconscious bias,,,Xero,2023.0,"Unconscious bias at Xero is addressed through community-driven initiatives to raise awareness and foster inclusivity. By providing training, discussions, and resources, Xero empowers its community to recognise and mitigate unconscious biases, creating a more equitable and diverse workplace.",,,,,,,"Unconscious bias, online learning portal, Strengthening belonging",11,S,,Community,,,,,,,,,,,,,,
177,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Work180,,,Xero,2023.0,"Work180 at Xero is a community-driven collaboration to promote workplace equality and support women in their careers. Work180 and Xero work together to create a more diverse and inclusive workforce through partnerships, advocacy, and inclusive hiring practices.",,,,,,,"Work180, Inclusion in talent selection, Tech Returners",11,S,,Community,,,,,,,,,,,,,,
178,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Specialisterne,,,Xero,2023.0,"Specialisterne at Xero is a community-driven initiative focused on providing employment opportunities for individuals on the autism spectrum. Specialisterne and Xero collaborate to create a more inclusive workplace where diverse talents are valued and celebrated by offering specialised training, support, and job placement services.",,,,,,,"Specialisterne, autism spectrum, Inclusion in talent selection",11,S,,Community,,,,,,,,,,,,,,
179,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Inclusive Slate Rule,,,Xero,2023.0,"The Inclusive Slate Rule at Xero is a community-driven policy promoting diversity and representation in hiring processes. By ensuring that diverse candidates are considered for every job opening, Xero fosters inclusivity and creates opportunities for individuals from underrepresented backgrounds to thrive within the organisation.",,,,,,,"Inclusive Slate Rule, diverse slate of candidates, diversity in perspective",11,S,,Community,,,,,,,,,,,,,,
180,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,NABAÃ¢ÂÂs 2021 scholarship program,,,Xero,2023.0,"NABA's 2021 scholarship program at Xero is a community-driven initiative to support Black accounting students' academic pursuits. By providing financial assistance and mentorship opportunities, Xero and NABA collaborate to empower aspiring accountants and promote diversity within the accounting profession.",,,,,,,"NABA scholarship program, National Association of Black Accountants, first scholarship recipient",11,S,,Community,,,,,,,,,,,,,,
181,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,LGBTQIA+ Employee Resource Groups,,,Xero,2023.0,"Xero's LGBTQIA+ Employee Resource Groups are community-driven platforms that promote inclusion and support for LGBTQIA+ employees. Through networking events, advocacy, and educational initiatives, these groups create a welcoming environment where LGBTQIA+ individuals can thrive and contribute to a culture of diversity and acceptance within the organisation.",,,,,,,"LGBTQIA+ Employee Resource Groups, ERGs, LGBTQIA+ inclusion and awareness",11,S,,Community,,,,,,,,,,,,,,
182,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Hurricanes Harvey and Irma Relief,,,Xero,2023.0,"Hurricanes Harvey and Irma Relief at Xero is a community-driven initiative to support and assist those affected by hurricanes. Through fundraising, volunteer efforts, and donations, Xero and its community come together to offer aid and relief to individuals and communities impacted by these natural disasters.",,,,,,,"Hurricanes Harvey and Irma Relief, Donations and disaster support, humanitarian response",11,S,,Community,,,,,,,,,,,,,,
183,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Ukraine Donation Fund,,,Xero,2023.0,"The Ukraine Donation Fund at Xero is a community-driven initiative aimed at providing support and assistance to those affected by the crisis in Ukraine. Through donations, fundraising activities, and volunteer efforts, Xero and its community unite to offer aid and relief to individuals and families impacted by the conflict.",,,,,,,"Ukraine Donation Fund, Donations and disaster support, humanitarian response",11,S,,Community,,,,,,,,,,,,,,
184,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,MÃÂ©decins Sans FrontiÃÂ¨res (Doctors without Borders) globally,,,Xero,2023.0,"MÃÂ©decins Sans FrontiÃÂ¨res (Doctors without Borders) globally at Xero is a community-driven initiative dedicated to supporting the vital humanitarian work of the organisation. Through fundraising campaigns, volunteer opportunities, and awareness-building efforts, Xero and its community contribute to MSF's mission of providing medical care to those in need worldwide.",,,,,,,"MÃÂ©decins Sans FrontiÃÂ¨res, Doctors without Borders, cash donations",11,S,,Community,,,,,,,,,,,,,,
