Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"ALS is one of the world's largest analytical and testing services businesses, servicing multiple industries globally, with a workforce of more than 18,000.",,,,ALS,2023.0,,,,1,14,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"ALS Limited (ABN 92 009 657 489) is the ultimate holding company of the ALS group. Unless otherwise stated, this report references to 'ALS', the 'Company', the 'Group', 'we', 'us' and 'our' refer to ALS Limited and its controlled entities.",,,,ALS,2023.0,,,,1,2,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point","This report is published for critical stakeholders to understand ALS's sustainability approach, actions, performance and key material issues for the 12 months ending 31 March 2023.",,,,ALS,2023.0,,,,1,7,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Forward-looking statements involve known and unknown risks, uncertainties, assumptions and other important factors that could cause the actual outcomes to be materially different from the events or results expressed or implied by such statements, and the consequences are not all within ALS's control.",,,,ALS,2023.0,,,,1,3,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,EY (Ernst & Young) provides external assurance for the sustainability report.,,,,ALS,2023.0,,,,1,102,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","The Group operations are organised into five Business Streams (Food and pharmaceutical, Minerals, Environmental, Commodity Inspection, and Industrial).",,,,ALS,2023.0,,,,1,15,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"In FY23, The Group employed 1,853 employees.",,,,ALS,2023.0,,,,1,Statistic,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,,,,NO DISCLOSURE,ALS,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"The Group governance structure consists of the Sustainability and Innovation Committee, the Audit and Risk Committee, and the People Committee.",,,,ALS,2023.0,,,,1,87,,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Director induction program,,,ALS,2023.0,"The ALS Director Induction Program stands as a cornerstone in welcoming and orienting new directors to our esteemed company based in Australia. This comprehensive program is meticulously crafted to offer insights into ALS's organisational culture, strategic vision, and operational intricacies.",,,1,51,,,"Director induction program, Governance, on-site visits",4,G,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,Bruce Phillips is the chairman for the reporting period.,,,,ALS,2023.0,,,,1,,,,,,,,https://www.alsglobal.com/en/investor-relations,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,,Five-year strategy,,,ALS,2023.0,ALS's five-year strategy consists of bold strategic growth priorities that catalyze meeting our sustainability goals. That is because our direct business activitiesÃ¢ÂÂ the services we offer clients and how we deliver them Ã¢ÂÂ are guided by our pursuit of a better world for all.,,,1,8,,,"Five-year strategy, growth, UNDG",12,"E, S, G",,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,ALS established a Delegation of Authority Policy to set operational procedures continuously.,,,,ALS,2023.0,,,,1,89,,,,,,,,,,,,,,,,,,,,,
