Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
30,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Stakeholder Engagement Model for Relationship with the External Auditor,,,ANZ,2023.0,"ANZ's Stakeholder Engagement Model for Relationship with the External Auditor, which incorporates requirements of the Corporations Act 2001 and industry best practices, prevents the external auditor from providing services that are perceived to conflict with the role of the external auditor or breach independence requirements. It includes consulting advice, sub-contracting operational activities normally undertaken by management, and engagements where the external auditor may ultimately be required to express an opinion on its work.",,,Data sheet,,85,,"Stakeholder Engagement Model for Relationship with the External Auditor, independence requirement, external auditor",16,G,,,,,,,,,,,,,,,,
31,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Whistleblower Program,,,ANZ,2023.0,"ANZ's Whistleblower Program is one of many channels encouraging and empowering its people to speak up and raise misconduct concerns freely and without fear of reprisal. The Policy and program provide strong protections for individuals who disclose misconduct and play a pivotal role in maintaining the organisation's integrity. Information received through the Whistleblower channel helps ANZ identify misconduct that may not otherwise be detected and act on issues that do not support its purpose, values and expected behaviours.",,,Data sheet,46,,,"Whistleblower Program, misconduct, fear of reprisal",16,G,,,,,,,,,,,,,,,,
32,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Sanctions compliance program,,,ANZ,2023.0,"ANZ's sanctions compliance program guides its Group-wide approach to meeting its sanctions obligations. Sanctions risks are assessed to identify, manage and mitigate the potential for breaches. Customer relationships and activities with higher sanctions risk are subject to enhanced due diligence measures, monitoring and approval. ANZ is enhancing its monitoring of transactions and strengthening customer due diligence processes to continue to support transactions within its risk appetite and in a manner compliant with applicable regulatory obligations.",,,Data sheet,44,,,"Sanctions compliance program, sanctions obligation, due diligence",16,G,,,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Trading in ANZ Securities Policy,,,ANZ,2023.0,"The Trading in ANZ Securities Policy prohibits trading in ANZ securities by all employees, Directors and contractors who possess information that is not generally available and that could be reasonably expected to have a material or significant effect on the price or value of an ANZ security. The Policy specifically prohibits ANZ Directors and certain 'restricted persons' (which includes certain senior executives) and their associates from trading in ANZ securities during 'blackout periods' as defined in the Policy.",,,Data sheet,,,19,"Trading in ANZ Securities Policy, ANZ security, restricted person",16,G,,,,,,,,,,,,,,,,
34,,2.0,General Disclosures,2-28,Membership associations,,World Whistleblower Day,,,ANZ,2023.0,ANZ ran an international awareness campaign to mark World Whistleblower Day in June. It included a conversation guide designed to support people leaders with team discussions on the importance of speaking up and promotion of ANZ's Whistleblower Program.,,,Data sheet,46,,,"World Whistleblower Day, awareness campaign, people leader",16,G,,,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Living the Code course,,,ANZ,2023.0,"ANZ's Living the Code course reinforces the importance of its values and seeks a declaration of compliance with the Code. By completing the course, participants confirm they understand the Code's principles and have complied with them over the last 12 months.",,,Data sheet,46,,,"Living the Code course, value, the Code","4, 16",G,,,,,,,,,,,,,,,,
36,,2.0,General Disclosures,2-30,Collective bargaining agreements,"In Australia, a collective bargaining agreement covers approximately 91.1% of employees.",,,,ANZ,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-1,Process to determine material topics,,Assessment approach,,,ANZ,2023.0,"This year, ANZ increased its external engagement and review of the external environment. ANZ's assessment approach considered the impact of ESG issues on the economy, environment, and people, including impacts on human rights, as well as the impact ESG issues may have on its operating performance. ANZ used double materiality Ã¢ÂÂ seeking views from stakeholders on both ANZ's impact Ã¢ÂÂ both positive and negative Ã¢ÂÂ on society and the environment (externally focused) and ANZ's ability to create value (internally focused).",,,Data sheet,11,,,"Assessment approach, external engagement, ESG issue",17,"E, S, G",,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-2,List of material topics,"ANZ's material topics include customer experience, environmental sustainability, and housing.",,,,ANZ,2023.0,,,,Data sheet,11,,,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-3,Management of material topics,,Healthy Home Loan,,,ANZ,2023.0,"ANZ's Healthy Home Loan package offers interest rate discounts and fee savings for eligible customers who are buying, building, renovating, or already owning a home with a 6 Homestar rating or higher.",,,Data sheet,25,,,"Healthy Home Loan, interest rate discount, Homestar rating","8, 11",S,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-3,Management of material topics,,Home Loan Check-In,,,ANZ,2023.0,"Over 11,000 Kiwis took advantage of ANZ's new Home Loan Check-In this year. An average of 55% of these customers decided to take action following the check-in, including making changes to their loans. The check-in is designed to support customers through the current economic environment to help ensure their home loan meets their needs.",,,Data sheet,25,,,"Home Loan Check-In, economic environment, home loan","8, 11",S,,,,,,,,,,,,,,,,
41,,3.0,Material Topics,3-3,Management of material topics,,HomeFit,,,ANZ,2023.0,"ANZ's partnership with the New Zealand Green Building Council includes support for HomeFit Ã¢ÂÂ a free online tool to check the health, comfort, energy efficiency and safety of new homes or advise on how New Zealanders can improve the health of their current home.",,,Data sheet,25,,,"HomeFit, Green Building Council, online tool","8, 11",S,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-3,Management of material topics,,CoreLogic,,,ANZ,2023.0,"ANZ's partnership with CoreLogic (a leading provider of property data and analytics) delivers housing affordability research and in-depth market analysis for the Australian housing market. In 2023, CoreLogic research showed that fluctuations in interest rates, inflation, and migration created a mismatch of housing supply and demand, deteriorating rental affordability with a particular pain point for low-income households and increasing pressure on social housing providers and homelessness service providers.",,,Data sheet,25,,,"CoreLogic, market analysis, Australian housing market","8, 17",S,,,,,,,,,,,,,,,,
