Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
148,,401.0,Employment,401-01,New employee hires and employee turnover,"The availability and retention of skilled personnel in the current market remain highly competitive. Voluntary turnover reduced across both operations in FY23, while at our growth projects, there was an increase. For example, at James Bay in FY23, the voluntary turnover was 10.3%.",,,,Allkem,2023.0,,,,1,52,,,,,,,,,,,,,,,,,,,,,
149,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Allkem,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,401.0,Employment,401-03,Parental leave,"In FY23, the Total number of employees were entitled to parental leave was 29 people.",,,,Allkem,2023.0,,,,1,,,,,,,,Location from Sustainability Performance Data in People Performance Data,,,,,,,,,,,,,,
151,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Allkem,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Zero Incident Zero Harm,,,Allkem,2023.0,"Zero Incident Zero Harm is a safety philosophy and goal that various industries embrace to achieve zero work-related incidents, injuries, illnesses, and harm to employees, contractors, visitors, and the surrounding environment. It represents a commitment to creating and maintaining a workplace culture where safety is the top priority. Employees are empowered to identify and mitigate risks, prevent accidents, and promote a safe and healthy work environment.",,,1,48,,,"Zero Incident, Zero Harm, Safety",3.8,S,,,,,,,,,,,,,,,,
153,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Health and Safety Policy,,,Allkem,2023.0,"A health and safety policy is a formal statement or document adopted by Allkem that outlines its commitment to protecting the health, safety, and well-being of its employees, contractors, visitors, and other stakeholders. The policy sets forth the organization's overall approach to managing health and safety risks in the workplace. It provides a framework for establishing objectives, responsibilities, and procedures to ensure compliance with applicable health and safety laws, regulations, and standards.",,,1,48,,,"Health, Safety, Policy",3.8,S,,,,,,,,,,,,,,,,
154,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,HSE Management System,,,Allkem,2023.0,"An HSE Management System is a structured framework and set of processes designed to manage and improve an organization's health, safety, and environmental performance. It systematically identifies, assesses, controls, and continuously enhances health, safety, and environmental risks and hazards within the organization's operations.",,,1,48,,,"HSE, Management, System",3.8,S,,,,,,,,,,,,,,,,
155,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Lead and Lag Performance Metrics,,,Allkem,2023.0,Lead and lag performance metrics are key performance indicators (KPIs) used to measure and assess safety performance. They provide insights into different aspects of performance and help organizations track progress towards their goals and objectives.,,,1,48,,,"Lead, Lag, Performance",3.8,S,,,,,,,,,,,,,,,,
156,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Net Zero Action Plan,,,Allkem,2023.0,"Allkem's Net Zero Action Plan refers to a strategic plan or initiative developed by Allkem, a company or organization, to achieve net-zero carbon emissions. Net-zero carbon emissions mean that the amount of greenhouse gases emitted by the organization is balanced by the amount removed from the atmosphere or offset through measures such as carbon capture, renewable energy investments, and carbon offset projects.",,,1,26,,,"Net-zero. Action, Plan",3811.0,S,,,,,,,,,,,,,,,,
157,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Safety Performance Improvement,,,Allkem,2023.0,"Improving safety performance within an organization involves implementing strategies, processes, and initiatives to minimize workplace hazards, reduce the risk of accidents and injuries, and foster a culture of safety and well-being among employees. By implementing these strategies and promoting a culture of safety excellence, Allkem's can improve safety performance, reduce the risk of workplace injuries and incidents, protect employee health and well-being, and enhance overall organizational success.",,,1,26,,,"Improvement, Safety, Performance",3.8,S,,,,,,,,,,,,,,,,
