Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
102,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Partnership with recycling industry markets,,,Amcor,2023.0,"Forming partnerships with the recycling industry can be a strategic move for businesses looking to promote sustainability, manage waste responsibly, and contribute to the circular economy. Before entering into partnerships, companies should conduct thorough due diligence, consider the compatibility of values and goals, and ensure that the collaboration aligns with overall business strategies.",,,4,26,,,"Partnership, Recycle, Market",15.17,"E,S",,,,,,,,,,,,,,,,
103,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,"No funds or assets shall be paid, loaned or otherwise given as bribes, kickbacks or other payments designed to influence or compromise the conduct of the recipient, and no employee of the Company shall accept any funds or other assets for assisting in obtaining business or securing special concessions from the Company.",,,,Amcor,2023.0,,,,4,,,,,,,,Location from Code of Conduct and Ethics page 6,,,,,,,,,,,,,,
107,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,207.0,Tax,207-01,Approach to tax,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Amcor,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,301.0,Materials,301-01,Materials used by weight or volume,"In FY23, Amcor purchased approximately 2,915,000 metric tons of raw materials. This number includes materials used in production and buffer inventories we maintain to offset supply chain volatility.",,,,Amcor,2023.0,,,,4,33,,,,,,,,,,,,,,,,,,,,,
114,,301.0,Materials,301-02,Recycled input materials used,"Amcor has set a target to achieve 30% use of recycled content across our portfolio by 2030. In FY23, we purchased approximately 200,000 metric tons of recycled resin and aluminium, representing nearly 7% of the materials purchased and 8.5% of the total resin purchased.",,,,Amcor,2023.0,,,,4,33,,,,,,,,,,,,,,,,,,,,,
