Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
128,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,ISO14001:2015,,,Ampol,2023.0,"The Lytton refinery, our lubricants facility, and our Kurnell Terminal are all ISO9001 and ISO14001 certified. Five of our other terminal facilities across NSW, Queensland, and WA are also ISO14001 certified. The EMS for all other remaining terminals across Australia is based on ISO14001 guidelines.\t",,,,,36,,"ISO certification, Environmental Management, Remediation plan",13,E,,,,,,,,,,,,,,,,
129,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,Voluntary management plan,,,Ampol,2023.0,"Following the NSW Environmental Protection Agency (EPA) declaration in November 2022 of our Newcastle Terminal recognising significantly contaminated land due to historical spills, we have developed and approved a voluntary management plan to remediate the contaminated site. We are currently progressing toward scheduling and implementing this plan, which includes undertaking a remediation trial. Data from the trial will help inform the full-scale remediation works that will be required and will commence in 2024.",,,,,36,,"Contaminated land, Remediation plan, Environmental Compliance",13,E,,,,,,,,,,,,,,,,
130,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,Transition of PFAS,,,Ampol,2023.0,"Transitioningper- and poly-fluorinated alkyl substances (PFAS) firefighting foams to environmentally non-persistent alternatives continues to be an ongoing action for us. We are on track to meet our aim to be fully transitioned in Queensland by the end of 2024, and we have successfully transitioned nearly 149,000 litres of stock. We are now focused on transitioning our assets to NSW, Victoria, and Tasmania.",,,,,36,,"PFAS firefighting foams, Transition plan, Environmental impact",3,E,,,,,,,,,,,,,,,,
131,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,Supplier Code of Conduct and questionnaire,,,Ampol,2023.0,"In 2023, we looked to factor decarbonisation principles and supply chain engagement into procurement and contractual processes at Ampol. As part of this process, in Q4, we updated our Ampol Supplier Code of Conduct and supplier questionnaire to help us better assess and engage with suppliers who have decarbonisation and circular economy opportunities that aim to measure, identify, monitor, and minimise emissions and energy consumption from their operations.",,,,,43,,"Supply chain emissions reduction, Partnership, Procurement",13,S,,,,,,,,,,,,,,,,
133,,401.0,Employment,401-01,New employee hires and employee turnover,"New hires: 325 headcounts, group voluntary turnover: 15%.",,,,Ampol,2023.0,,,,,,47,,,,,,,,,,,,,,,,,,,,
134,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Ampol does not currently report publicly, although employment practices are aligned with relevant requirements in the geographies in which we operate, e.g. Fair Work Act 2009 (Cth) (Australia), Employment Relations Act 2000 (New Zealand)",,,NO DISCLOSURE,Ampol,2023.0,,,,1,,,,,,,,,,,,,,,,,,,,,,
135,,401.0,Employment,401-03,Parental leave,"Ampol does not currently report publicly, although employment practices are aligned with relevant requirements in the geographies in which we operate, e.g. Fair Work Act 2009 (Cth) (Australia), Employment Relations Act 2000 (New Zealand)",,,NO DISCLOSURE,Ampol,2023.0,,,,1,,,,,,,,,,,,,,,,,,,,,,
136,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,Not applicable to Ampol as it is not an upstream business.,,,NO DISCLOSURE,Ampol,2023.0,,,,1,,,,,,,,,,,,,,,,,,,,,,
137,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,"We updates critical operating procedures, including high-risk work standards and procedures at Lytton refinery to align with regulations and best practices",,,,Ampol,2023.0,,,,,,24,,,,,,,,,,,,,,,,,,,,
138,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Risk mitigation practices,,,Ampol,2023.0,"In 2023, we focused on promoting safe work practices and enhancing safety awareness across our Fuels and Infrastructure businesses. We implemented contractor intervention and safety improvement initiatives, actively engaging with staff and contractors to strengthen risk mitigation practices. In 2024, we will continue to deliver and enforce identified improvement initiatives.",,,,,24,,"Safety awareness, Risk mitigation, and Improvement initiatives","3, 9",S,,,,,,,,,,,,,,,,
139,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety","Safety leadership engagement conversations were lifted from 3,801 in 2022 to 5,431 in 2023.",,,,Ampol,2023.0,,,,,,24,,"Mental health, Leadership, Training","3, 4, 8",S,,,,,,,,,,,,,,,,
141,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,Face-to-face training and course,,,Ampol,2023.0,"Contractors and employees completed over 15,000 hours of face-to-face training and more than 5,900 online courses at LyttonRefineryy. The training focused on various topics: induction, health, safety, and environment.\t",,,,,24,,"Safety, Training, Customer service","3, 8, 11",S,,,,,,,,,,,,,,,,
142,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,Mental health awareness training,,,Ampol,2023.0,"In 2023, we committed to delivering mental health first aid awareness training for the Ampol Leadership Team to deliver on our mental wellbeing pillar. In December, we engaged with a principal psychologist at Communicorp to deliver workplace psychological health essentials training to develop supportive leadership skills by focusing on improving capability in identifying and responding to workplace mental health issues.",,,,,26,,"Fitness challenge, Fundraising, Health","3, 8, 12",S,,,,,,,,,,,,,,,,
143,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,Z Energy's Extensive Training,,,Ampol,2023.0,"Z Energy has invested in a range of initiatives to support the safety of its employees, including extensive training. In 2024, Z Energy will launch further initiatives to address customer aggression and theft.\t",,,,,25,,"Gender equality, Mentoring, Leadership","5, 10, 17",S,,,,,,,,,,,,,,,,
144,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Wellbeing framework,,,Ampol,2023.0,"Our group wellbeing framework has three pillars: physical, mental, and social wellbeing. Senior leader representatives from across the Group meet bi-monthly as part of a Wellbeing Council to steer the delivery of the Group wellbeing framework.",,,,,25,,"Talent development, Gender equality, Leadership","4, 5, 10",S,,,,,,,,,,,,,,,,
145,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Wellbeing days and R U OK? Day,,,Ampol,2023.0,"We continued to offer wellbeing days as additional leave benefits each quarter to those utilising their leave entitlements appropriately. Utilising R U, OK? Day in Australia, we continued to support employees in connecting with their colleagues and leaning into the critical conversation about mental ill health;",,,,,26,,"LGBTQIA+ support, Diversity, Celebration","5, 10, 11",S,,,,,,,,,,,,,,,,
146,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,403.0,Occupational Health and Safety,403-09,Work-related injuries,11% Reduction in Group Total Recordable Injury Frequency Rate (TRIFR): 3.2,,,,Ampol,2023.0,,,,,,3,,,,,,,,,,,,,,,,,,,,
149,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Ampol's Women Inspiring Fresh Ideas (WIFI),,,Ampol,2023.0,"For the eighth consecutive year, the WIFI network has focused on advancing gender equality through its three pillars of network, connect, and empower. In 2023, WIFI continued to hold regular learning sessions and delivered another year of its group mentoring development circles, capturing 45 people.",,,,,27,,"Diversity & Inclusion, Leadership, Gender equality","5, 10, 17",S,,,,,,,,,,,,,,,,
152,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Women Rising,,,Ampol,2023.0,"We continued to invest in our talent's growth and development, with females representing 53% of all promotions throughout 2023. In addition, 70 female employees participated in the 'Women Rising' leadership development program supported by 12 participants in the 'Male Allies' program launched to complement Women Rising.",,,,,26,,"Cultural competency, Indigenous partnerships, Leadership","10, 16, 17",S,,,,,,,,,,,,,,,,
153,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Glampol Campaign,,,Ampol,2023.0,"In February 2023, we launched 'Glampol', a month-long campaign celebrating and showing our support for the LGBTQIA+ community. Aligned with WorldPride 2023 and Sydney Mardi Gras, our Coogee and North Bondi sites were dressed in rainbow elements across their forecourts and canopies.",,,,,"28, 47",,"Indigenous partnerships, Cultural awareness, Leadership","10, 16, 17",S,,,,,,,,,,,,,,,,
155,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Diversity and inclusion strategy,,,Ampol,2023.0,"During 2023, our diversity and inclusion strategy focused on gender Ã¢ÂÂ equitable gender representation and pay; inclusive work practices Ã¢ÂÂ executing and embedding initiatives that drive inclusion; and Indigenous partnerships Ã¢ÂÂ increasing our understanding, connection and equitable outcomes for the Indigenous cultures where we have large workforces, i.e. Australia and New Zealand. Throughout 2023, stewardship was held through our Diversity and Inclusion Council to share updates on past and future initiatives and identify cross-business collaboration opportunities.",,,,,26,,"Human rights, Respect, Responsible business","8, 10, 16",S,,,,,,,,,,,,,,,,
156,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,40:40:20 Principle,,,Ampol,2023.0,"We are proud to be committed to the representation principle of 40% female/40% male/20% any gender. In 2023, we achieved this target with female representation reaching 42% at an overall level, as well as reaching 40% female representation among our senior leaders. The Ampol Board maintained its female representation at 33%, unchanged from 2022.",,,,,26,,"Human rights, Diversity & Inclusion, Leadership","5, 10, 16",S,,,,,,,,,,,,,,,,
