Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,BHP Group Limited,,,,BHP,2023.0,,,,Data book,,238,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"BHP's report included Minera Spence SA, BHP Canada Inc., and WMC Finance (USA) Limited.",,,,BHP,2023.0,,,,Data book,,186,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",BHP's reporting period is from 1 July 2022 to 30 June 2023.,,,,BHP,2023.0,,,,Data book,Data book,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Where relevant, BHP identifies and explains reasons for any restatements and their effects in footnotes or other notes throughout its reports and other disclosures.",,,,BHP,2023.0,,,,Data book,Data book,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,EY provided external assurance for BHP's report.,,,,BHP,2023.0,,,,Data book,Data book,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",BHP is a mining company.,,,,BHP,2023.0,,,,Data book,,10,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"BHP had 42,319 employees in 2023.",,,,BHP,2023.0,,,,Data book,Data book,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"BHP had 40,892 contractors in 2023.",,,,BHP,2023.0,,,,Data book,Data book,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"BHP's governance structure comprises the Board, the Nomination and Governance Committee, the Risk and Audit Committee, the Sustainability Committee, and the People and Remuneration Committee.",,,,BHP,2023.0,,,,Data book,,99,,,,,,,,,,,,,,,,,,,,
