Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
60,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Bank@Post initiative,,,Bendigo and Adelaide Bank,2023.0,"Through Australia Post's Bank@Post initiative, customers can access banking services at over 3,500 Post Offices across Australia. This multi-channel approach ensures that customers can access face-to-face banking services as needed.",,,2,26,,,"Bank@Post initiative, 20-year-long, Australia Post",2023-09-11 00:00:00,S,,,,,,,,,,,,,,,,
61,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Homebuyer Guarantee,,,Bendigo and Adelaide Bank,2023.0,"The Homebuyer Guarantee at The Bank is a financial product that provides a sense of security and confidence to prospective homebuyers. This guarantee ensures that in the event of unforeseen circumstances affecting the purchase or ownership of a home, such as job loss or financial difficulties, The Bank will assist the homebuyer with flexible repayment options, refinancing opportunities, or other support mechanisms.",,,2,10,,,"Homebuyer Guarantee, 5% deposit, own homes faster",2023-09-11 00:00:00,S,,,,,,,,,,,,,,,,
62,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Qantas Money Home Loan,,,Bendigo and Adelaide Bank,2023.0,"The Qantas Money Home Loan at The Bank represents a unique and specialised mortgage product born from a strategic collaboration with Qantas Money, a renowned name in the financial industry. This innovative mortgage offering is more than just a conventional home loan; it's a gateway to a world of opportunities, benefits, and rewards for aspiring homeowners.",,,2,10,,,"Qantas Money Home Loan, mortgage, homeowner",2023-09-11 00:00:00,S,,,,,,,,,,,,,,,,
63,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Victorian Homebuyer Fund,,,Bendigo and Adelaide Bank,2023.0,"The Victorian Homebuyer Fund initiative at The Bank is a financial program to assist potential homebuyers in the Victorian state of Australia. This initiative offers financial support, grants, or concessional loans to eligible individuals or families looking to purchase their first home.",,,2,10,,,"Victorian Homebuyer Fund, Digital Inclusion, Social Purpose Framework",2023-09-11 00:00:00,S,,,,,,,,,,,,,,,,
64,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Language Loop,,,Bendigo and Adelaide Bank,2023.0,"The Language Loop initiative at The Bank is a strategic program to enhance accessibility and communication for multilingual customers. It involves integrating language services, such as translation and interpretation, to facilitate seamless interactions between the Bank and diverse language-speaking customers.",,,2,29,,,"Language Loop, accessible experience, seven different languages",10,S,,,,,,,,,,,,,,,,
65,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Easy English Custome,,,Bendigo and Adelaide Bank,2023.0,The Easy English Customer Initiative at The Bank is a specialised effort to make banking information and communications more accessible and understandable for individuals with intellectual disabilities or those who may benefit from simplified language.,,,2,29,,,"Easy English Custome, Scope (Aust) Ltd, internet banking",10,S,,,,,,,,,,,,,,,,
66,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Auslan video,,,Bendigo and Adelaide Bank,2023.0,"The Auslan Video Initiative at The Bank exemplifies a profound commitment to inclusivity and accessibility, offering a valuable service that empowers individuals in the deaf and hard-of-hearing community. This initiative goes beyond compliance with accessibility standards; it represents a genuine desire to ensure that all individuals, regardless of their hearing abilities, have equal access to the bank's services, information, and support.",,,2,29,,,"Auslan video, deaf community, accessibility needs",10,S,,,,,,,,,,,,,,,,
67,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,BankÃ¢ÂÂs philanthropic arm,,,Bendigo and Adelaide Bank,2023.0,"The Bank's philanthropic arm is a dedicated branch of the organisation that focuses on giving back to society and positively impacting communities. Through strategic partnerships, grants, and community initiatives, the philanthropic arm supports various social causes and nonprofits.",,,2,2,,,"BankÃ¢ÂÂs philanthropic arm, 1,300 grants, $320 million in profits",11,S,,,,,,,,,,,,,,,,
68,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Community Enterprise Foundation,,,Bendigo and Adelaide Bank,2023.0,"The Community Enterprise Foundation at The Bank specialises in community development and social impact. This foundation works towards supporting local communities through grants, sponsorships, and initiatives that address various social, economic, and environmental challenges.",,,2,3,,,"Community Enterprise Foundation, $14.6 million in grants, $1.6 million",11,S,,,,,,,,,,,,,,,,
69,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Disaster recovery initiatives,,,Bendigo and Adelaide Bank,2023.0,"Disaster recovery initiatives at The Bank encompass strategic plans and measures to swiftly respond and recover from potentially disruptive events. These initiatives are designed to ensure business continuity and the safety of data, operations, and employees during natural disasters, cyber-attacks, or other emergencies.",,,2,2,,,"Disaster recovery initiatives, $1.6 million, Community Enterprise Foundation",2023-03-11 00:00:00,S,,,,,,,,,,,,,,,,
