Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,BlueScope Steel Limited,,,,BlueScope,2023.0,,,,27,71,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"BlueScope's report included BlueScope X Pty Ltd, BlueScope Distribution Pty Ltd, and Oricon Distribution Pty Ltd.",,,,BlueScope,2023.0,,,,27,,135,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",BlueScope's report outlines the sustainability performance of BlueScope's consolidated entity for the year ended 30 June 2023.,,,,BlueScope,2023.0,,,,27,71,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Where appropriate, historical data has been restated to present data on a consistent and comparable basis and an explanation is provided.",,,,BlueScope,2023.0,,,,27,71,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,PwC provided external assurance for BlueScope's report.,,,,BlueScope,2023.0,,,,27,27,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",BlueScope is a global leader in metal coating and painting for building and construction.,,,,BlueScope,2023.0,,,,27,4,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"BlueScope had 16,489 employees in 2023.",,,,BlueScope,2023.0,,,,27,12,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,BlueScope did not report this disclosure due to information unavailability.,,,NO DISCLOSURE,BlueScope,2023.0,,,,27,27,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,BlueScope's Board comprises nine independent directors and one non-independent director.,,,,BlueScope,2023.0,,,,27,,,5,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Appropriate checks,,,BlueScope,2023.0,"The Nomination Committee determines the skill profile for new appointees, and recommendations are made to the Board on candidates for appointment. The Board recognises the importance of conducting appropriate checks on potential Directors and providing sufficient information to shareholders to enable them to make informed decisions concerning the election or re-election of Directors.",,,27,,,8,"Nomination Committee, appropriate check, new appointee",16,G,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Non-executive Director Tenure Policy,,,BlueScope,2023.0,"BlueScope has a Board Non-executive Director Tenure Policy, which provides that a Non-executive Director may serve a maximum of three terms of three years from the date of the first election by shareholders, subject to extension at the discretion of the Board, if it forms the view that to do so would benefit BlueScope. Suppose the Board requests a Director (and such Director consents) to continue serving beyond three terms. In that case, Directors must submit themselves for re-election at the next Annual General Meeting (AGM).",,,27,,,14,"Non-executive Director Tenure Policy, shareholder, AGM",16,G,,,,,,,,,,,,,,,,
