Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
105,,401.0,Employment,401-03,Parental leave,,Paid parental leave,,,Carsales,2023.0,"In Australia, Carsales provides its employees with 18 weeks paid for primary caregivers (with a bonus of 5 days of ""Leave up Your Sleeve"" when a primary caregiver returns to work to help them adjust to balancing work and home commitments). Four weeks of paid leave is also provided to secondary caregivers. Carsales also pays superannuation on its employer-funded parental leave and government-funded parental leave.",,,71,26,,,"Primary caregiver, paid leave, secondary caregiver","8, 17",S,,,,,,,,,,,,,,,,
106,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,Carsales aims to provide as much notice as possible when consulting employees regarding workplace change.,,,,Carsales,2023.0,,,,71,71,,,,,,,,,,,,,,,,,,,,,
107,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Workplace Health and Safety Policy,,,Carsales,2023.0,"The Workplace Health and Safety Policy applies to all of Carsales' employees, contractors, and anyone else in a workplace under its control. This policy is provided to all new team members when they join the company. It outlines the WHS management system, the WHS roles and responsibilities of everyone within the workplace, the management of contractors, and how consultation on WHS matters occurs.",,,72,36,,,"Workplace Health and Safety Policy, team member, WHS management system","3, 8",S,,,,,,,,,,,,,,,,
108,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Risk rating matrix,,,Carsales,2023.0,"Carsales conducts regular assessments to identify risks, assess them using its risk rating matrix, and introduce suitable controls and continuous monitoring. Each of Carsales' global businesses has an incident reporting procedure under which team members must formally report all accidents, incidents, work-related illnesses and near misses by either filling out an incident report form, phoning a hotline, or emailing nominated representatives within the company.",,,72,36,,,"Regular assessment, risk rating matrix, suitable control","3, 8",S,,,,,,,,,,,,,,,,
109,,403.0,Occupational Health and Safety,403-03,Occupational health services,,Employee Assistance Program,,,Carsales,2023.0,"Carsales offers a free Employee Assistance Program (EAP) to all team members globally. The EAP provides counselling on a wide range of topics, including dealing with personal issues, mental health, family and domestic violence, trauma, improving relationships, and substance abuse, as well as financial and legal counselling.",,,72,37,,,"Employee Assistance Program, mental health, trauma, counselling","3, 8",S,,,,,,,,,,,,,,,,
110,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,WHS Committee,,,Carsales,2023.0,Carsales' WHS Committee meets quarterly and comprises representatives from across the company. The committee is responsible for promoting and fulfilling the objectives of Carsales' WHS management system and offers a consultative forum to address any health and safety concerns in the workplace.,,,72,36,,,"WHS Committee, WHS management system, consultative forum","3, 8",S,,,,,,,,,,,,,,,,
111,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,WHS compliance training,,,Carsales,2023.0,"Carsales' Australian and New Zealand WHS compliance training must be completed by all new starters during their onboarding and annually after that, and specialised WHS training is also provided annually for relevant roles as required Ã¢ÂÂ including manual handling and working in hot and cold conditions.",,,72,36,,,"WHS compliance training, onboarding, manual handling","3, 8",S,,,,,,,,,,,,,,,,
112,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Club Program,,,Carsales,2023.0,"Carsales' Chile Autos team runs the Club Program. The benefits program includes live online yoga and meditation classes, fitness classes and other online content to support exercise, nutrition and general health.\t",,,72,37,,,"Club Program, yoga class, general health","3, 8",S,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,Ergonomic assessment,,,Carsales,2023.0,"Many of Carsales' team members now work remotely, part-time or full-time, so Carsales must ensure their remote workspaces are safe. All new team members in Australia must complete a working-from-home checklist, which will highlight any potential risks that require remedying. Carsales also offers remote ergonomic assessments through a third-party provider when a team member makes Carsales aware of a potential hazard or issue in their home setup and provides home office equipment, such as ergonomic chairs or standing desks, as necessary based on the recommendations of those assessments.",,,72,37,,,"Ergonomic assessment, remote workspace, potential risk","3, 8",S,,,,,,,,,,,,,,,,
114,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,"In 2023, the occupational health and safety system covers 100% of Carsales' employees.",,,,Carsales,2023.0,,,,72,67,,,,,,,,,,,,,,,,,,,,,
