Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
165,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,Modern Slavery Statement,,,Cleanaway,2023.0,"Cleanaway's Modern Slavery Statement is a comprehensive document that outlines the company's commitment to eradicating modern slavery and human trafficking from its operations and supply chains. This statement likely includes Cleanaway's policies, procedures, and initiatives to identify, prevent, and address any instances of modern slavery within its sphere of influence.",,,4,68,,,"Modern Slavery Statement, Addressing modern slavery, CleanawayÃ¢ÂÂs modern slavery risk",16,S,,,,,,,,,,,,,,,,,,,,,,
166,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,Desktop Audit,,,Cleanaway,2023.0,"The Desktop Audit at Cleanaway is a systematic assessment process designed to evaluate and ensure compliance among its suppliers. This audit is likely conducted remotely, thoroughly examining supplier documentation, records, and relevant information without needing an on-site visit. The audit may cover various aspects such as quality management, environmental practices, health and safety protocols, and other compliance criteria.",,,4,68,,,"Desktop Audit, global, higher-risk suppliers","16, 17",S,,,,,,,,,,,,,,,,,,,,,,
167,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Supplier Code of Conduct,,,Cleanaway,2023.0,"Cleanaway's Supplier Code of Conduct is a set of ethical guidelines and standards the company expects its suppliers to adhere to in their business operations. This code outlines the principles and practices that Cleanaway considers essential for ethical, responsible, and sustainable business conduct. Key areas covered by the Supplier Code of Conduct may include environmental stewardship, fair labour practices, anti-corruption measures, and compliance with relevant laws and regulations.",,,4,67,,,"Supplier Code of Conduct, supplier selection process, environmental criteria",17,S,,,,,,,,,,,,,,,,,,,,,,
168,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Flagstaff Group,,,Cleanaway,2023.0,"Flagstaff Group is dedicated to providing meaningful employment opportunities for individuals with disabilities. This organisation, likely in collaboration with Cleanaway or independently, focuses on creating inclusive workplaces that empower individuals with disabilities by offering them fulfilling and sustainable employment.",,,4,69,,,"Flagstaff Group, people with disabilities, meaningful employment opportunities",17,S,,,,,,,,,,,,,,,,,,,,,,
169,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Greenius online learning,,,Cleanaway,2023.0,"Greenius online learning provides bin instructions tailored to each local area and features interactive games, quizzes and fun learning modules to encourage learning from a young age. Greenius for Business helps educate businesses about waste disposal for their organisation and industry. This is a convenient and cost-effective way to train employees across different locations.",,,4,61,,,"Greenius online learning, interactive games, quizzes","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
