Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
36,,3.0,Material Topics,3-3,Management of material topics,,Remote Assist,,,Cochlear,2023.0,CochlearÃ¢ÂÂ¢ Remote Assist enables live video appointments for cochlear implants and BahaÃÂ® Implant recipients. The clinician can assess how the recipient is progressing and discuss any issues they are experiencing. The clinician can also connect remotely to the recipient's sound processor to make real-time adjustments or enable features.,,,161,,39,,"Remote Assist, implant recipient, clinician","8, 9",S,,,,,,,,,,,,,,,,
37,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Cochlear generated $1.9 billion in revenues in 2023.,,,,Cochlear,2023.0,,,,161,,4,,,,,,,,,,,,,,,,,,,,
38,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Physical climate-related risk assessment,,,Cochlear,2023.0,"Cochlear's enterprise risk management approach includes an assessment of its physical climate-related risks (riverine and urban flood, extreme heat, cyclones and wildfires). It also includes the assessment of potential climate-related risks to critical production-related suppliers and critical business infrastructure providers.",,,161,,53,,"Physical climate-related risk, production-related supplier, business infrastructure provider","8, 13","E, S",,,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,"Cochlear has defined benefit plans that cover, in aggregate, 81 employees in two countries.",,,,Cochlear,2023.0,,,,161,,127,,,,,,,,,,,,,,,,,,,,
40,,201.0,Economic Performance,201-04,Financial assistance received from government,Cochlear received a $2.2 million grant in 2023.,,,,Cochlear,2023.0,,,,161,,121,,,,,,,,,,,,,,,,,,,,
41,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,Cochlear annually conducts mandatory global training on the Global Code of Conduct for all staff globally.,,,,Cochlear,2023.0,,,,162,,59,,,,,,,,,,,,,,,,,,,,
48,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,207.0,Tax,207-01,Approach to tax,,Tax strategy,,,Cochlear,2023.0,"Cochlear's tax strategy reflects the generation of intellectual property that occurs primarily in Australia. The assets, risks and functions of implementing that strategy mean that most of Cochlear's corporate income tax is paid in Australia.",,,162,,59,,"Tax strategy, intellectual property, corporate income tax","8, 16","S, G",,,,,,,,,,,,,,,,
51,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,302.0,Energy,302-01,Energy consumption within the organization,"Cochlear's purchased electricity in 2023 was 23,158 MWh.",,,,Cochlear,2023.0,,,,162,,158,,,,,,,,,,,,,,,,,,,,
58,,302.0,Energy,302-02,Energy consumption outside of the organization,"Cochlear's purchased natural gas and petrol in 2023 were 5,433 MWh.",,,,Cochlear,2023.0,,,,162,,158,,,,,,,,,,,,,,,,,,,,
59,,302.0,Energy,302-03,Energy intensity,Cochlear's energy intensity in 2023 was 0.12 MWh per unit.,,,,Cochlear,2023.0,,,,162,,158,,,,,,,,,,,,,,,,,,,,
60,,302.0,Energy,302-04,Reduction of energy consumption,,Fossil fuel reduction,,,Cochlear,2023.0,"Cochlear implements initiatives to reduce its fossil fuel use and energy consumption. For example, Cochlear replaced the petrol van used to transport production components, consumables and finished goods between its Sydney facilities with an electric van. Cochlear also renovated the air conditioning system at its Macquarie University site, representing annual savings of around 360 MWh, almost 8% of the annual consumption.",,,162,,52,,"Fossil fuel, energy consumption, petrol van",13,E,,,,,,,,,,,,,,,,
61,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,Environmental Policy,,,Cochlear,2023.0,Cochlear's Environmental Policy sets out its commitment to managing and reducing its impact on the global environment. Cochlear works closely with its partners and suppliers to monitor its environmental performance across its operations and the value chain.,,,162,,54,,"Environmental Policy, environmental performance, value chain",13,E,,,,,,,,,,,,,,,,
62,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,303.0,Water and Effluents,303-05,Water consumption,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Cochlear,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,Cochlear's scope 1 emissions in 2023 were 916 tCO2e.,,,,Cochlear,2023.0,,,,162,,158,,,,,,,,,,,,,,,,,,,,
