Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
225,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Dairy Farm Sustainability Accelerator Fund,,,Coles,2023.0,"This year, Coles also launched the Dairy Farm Sustainability Accelerator Fund, which allocates $1.5 million annually for FY24 and FY25. Each eligible Coles dairy farmer can apply for funding of between $7,500 and $50,000 annually to accelerate meaningful sustainability change across the group. Projects from the fund will focus on reducing greenhouse gas emissions, improving soil nutrients and quality, water management, biodiversity and animal welfare.",,,Sustainaility_Data_Pack,30,,,"Dairy Farm Sustainability Accelerator Fund, Coles Dairy Farmer, Reducing Greenhouse Gas Emissions",8,S,,,,,,,,,,,,,,,,
226,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Financial Relief,,,Coles,2023.0,"During this time, Coles created a Northern Victorian dairy farmer payment that gave Ryan some financial relief, which meant he could purchase fodder for his cattle to help replenish stock lost due to flooding. Ã¢ÂÂItÃ¢ÂÂs been refreshing to have people from Coles just sit down with us and take the time to find out what was happening and how they could best support us.Ã¢ÂÂ",,,Sustainaility_Data_Pack,31,,,"Northern Victorian Dairy Famer Payment, Financial Relief, Flooding",8,S,,,,,,,,,,,,,,,,
227,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Animal Welfare Policy,,,Coles,2023.0,"This Policy is based on the Five Freedoms framework to address the welfare of farmed animals by minimising negative experiences. Coles recognises that all farmed animals are sentient beings. We acknowledge the Five Domains as a model to inform this Policy, to enable animals to lead a Ã¢ÂÂlife worth livingÃ¢ÂÂ within productive livestock systems.",,,Sustainaility_Data_Pack,33,,,"Five Freedoms Framework, Farmed Animals, Life Worth Living",13,E,,,,,,,,,,,,,,,,
228,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,RSPCA Approved,,,Coles,2023.0,"For over a decade, Coles has worked with the RSPCA Approved Farming Scheme (the Scheme), an independent certification focused on farm animal welfare. The Scheme aims to improve the welfare of AustraliaÃ¢ÂÂs farm animals by working with farmers to set detailed animal welfare standards supported by a stringent assessment and certification process.",,,Sustainaility_Data_Pack,33,,,"RSPCA Approved, Farming Scheme, Independent Certification",13,E,,,,,,,,,,,,,,,,
229,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Coles Farm Program,,,Coles,2023.0,"Established in 2014, the Coles Farm Program applies to suppliers of Coles Own Brand cage-free shell eggs, GRAZE beef and GRAZE lamb, and our Dairy Direct Sourcing Model. Under the program, farmers must meet strict animal husbandry requirements and adhere to relevant standards, such as the GRAZE Grass-fed Standard, the Egg Standards Australia Level 3 standard or Milk Purchase Agreements.",,,Sustainaility_Data_Pack,34,,,"Coles Farm program, Coles Own Brand, Graze Beef and Graze Lamb",13,E,,,,,,,,,,,,,,,,
230,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Vallet Park Farm,,,Coles,2023.0,"Valley Park made the ethical and sustainability-led decision to never have layer hens in cages, instead allowing hens to live in free-range systems. Over the last year, Valley Park has grown its supply of eggs to Coles by 45%, following investment in new farms and 11 new cage-free (barn) sheds. This partnership with Coles enabled the launch of its new cage-free shell eggs range, which produced approximately 150,000 dozen a week in volume for Valley Park in FY23.",,,Sustainaility_Data_Pack,34,,,"Valley Park, Free-Range System, Layer Hens",8,S,,,,,,,,,,,,,,,,
231,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,GRAZE Beef and Lamb,,,Coles,2023.0,"GRAZE beef is delivered in partnership with Australian farmers. GRAZE cattle are selected to high standards, grass-fed, free to roam on pastures and have no added hormones. The Coles Grass-fed Standard covers our requirements on feed and water, traceability, animal welfare and low-stress stock-handling practices.",,,Sustainaility_Data_Pack,35,,,"GRAZE Beef and Lamb, Australian Farmers Partnership, Coles Grass-Fed Standard",8,S,,,,,,,,,,,,,,,,
232,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Hoodie Up Campaign,,,Coles,2023.0,"This year, we partnered with Amaze, participating in the Ã¢ÂÂHoodie UpÃ¢ÂÂ campaign to celebrate the autism community and help raise funds to deliver vital support to Autistic people and their families. We also worked with Amaze to launch our Autism Support Hub for leaders and team members. Coles is also actively listening and codesigning our digital channels with the disability community Ã¢ÂÂ 212 people with disabilities were included in user testing of the Coles website, mobile app and other digital assets in FY23.",,,Sustainaility_Data_Pack,42,,,"Hoodie Up, Autism Community, Autism Support Hub for Leaders",8,S,,,,,,,,,,,,,,,,
233,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Get Skilled Access,,,Coles,2023.0,"Coles Own Brand strengthened its commitment to accessibility through a partnership with Get Skilled Access in FY23. Focus groups were conducted with a diverse cohort of people with disabilities to evaluate the accessibility of selected products. Lessons and recommendations have already led to improved accessibility of 45 Coles Own Brand products, including the improved ease of opening for six seed oil products, by significantly reducing the force required to open the bottles. This accessibility improvement was implemented after focus group participants voiced their experience of challenges with opening bottles and jars. A plan has been put in place to continue accessibility improvements in FY24.",,,Sustainaility_Data_Pack,42,,,"Coles Own Brand, Get Skilled Access, Diverse Cohort of People with Disabilities",8,S,,,,,,,,,,,,,,,,
234,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Everyone is Welcome at Our Table,,,Coles,2023.0,"In February and March 2023, Coles was a presenting partner of WorldPride and Sydney Gay and Lesbian Mardi Gras, and we launched our hero campaign, Ã¢ÂÂEveryone is welcome at our tableÃ¢ÂÂ, which provided the catalyst for our stores across the country to activate, celebrate and show support. Our partnership centred on the well-being of our team members and the millions of customers they serve daily and demonstrating our support for diversity and inclusion. We want everyone to feel comfortable being themselves at work or shopping in our stores and aim to support positive mental health outcomes.",,,Sustainaility_Data_Pack,43,,,"WorldPride and Sydney Gas and Lesbian Maral Gras, Hero Campaign, Everyone is welcome at our table",8,S,,,,,,,,,,,,,,,,
