Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
160,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,10th Annual Masterclass,,,Ebos,2023.0,"TerryWhite Chemmart has successfully concluded its 10th annual Masterclass event, pushing the boundaries of pharmacy education and empowering over 550 pharmacists and pharmacy professionals. The event served as a platform to explore imminent changes in community pharmacy practice, workshop solutions and showcase best-in-class clinical expertise.",,,,39,,,"TerryWhite Chemmary, Pharmacy Education, 550 Pharmacist",4.0,S,,,,,,,,,,,,,,,,
161,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Performance & Reward,,,Ebos,2023.0,"It is in the Company's and our employees' best interests to pay everyone fairly for their contributions to our success. We recognise and reward performance via a range of terms and conditions of employment for workers covered by Enterprise or Collective Agreements and Awards. Outside of the collective agreements, the EBOS Remuneration Framework combines fair and objective assessments of job roles with objective benchmarking using salary survey data and robust pay equity reviews.",,,,40,,,"Range of Terms, Enterprise, Collective Agreements",8.0,S,,,,,,,,,,,,,,,,
162,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Great Efforts Matter Awards,,,Ebos,2023.0,"Each year, we celebrate the invaluable contributions of our people through the EBOS Great Efforts Matter (GEM) Awards scheme and the LifeHealthcare Annual Conference Awards. Our awards in FY23 recognised outstanding individuals who went above and beyond to deliver excellence.",,,,40,,,"GEM Awards, Deliver Excellence, LifeHealthCare Annual Conference Awards",8.0,S,,,,,,,,,,,,,,,,
163,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Wearable Technology,,,Ebos,2023.0,"In FY23, we increased our focus and resourcing around injury management and return-to-work arrangements. We also embarked on an initiative using wearable technology to better understand higher risk manual handling related tasks and provided task and individualised training.",,,,41,,,"Work arrangements, Wearable Technology, Risk Manual Handling Task",8.0,S,,,,,,,,,,,,,,,,
164,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Safety Management System,,,Ebos,2023.0,"EBOSÃ¢ÂÂ Work Health & Safety management system ensures strong leadership and accountability for workplace safety policies and practices. A practical risk management framework supports it. The Group Safety Committee, chaired by the CEO, develops safety initiatives and identifies areas for improvement with broad representation from business units. Each operational division reports monthly to senior management on health and safety matters. The Board receives monthly and annual reports on group-wide safety performance.",,,,41,,,"EBOS' Work Health & Safety Management System, Strong Leadership, Risk Management System",8.0,S,,,,,,,,,,,,,,,,
165,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Worker Health & Safety Policy,,,Ebos,2023.0,"Ensures compliance with New Zealand and Australian health and safety laws, including measuring, monitoring and reporting on health and safety performance indicators. Health and safety management systems sustain a culture of health and safety, ensuring management is responsible for the safety of their workers, delivering training based on identified needs, and promoting effective consultation and communication on health and safety matters.",,,,41,,,"Measuring, Monitoring, and Reporting, Health and Safety Management Systems",8.0,S,,,,,,,,,,,,,,,,
166,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Employee Assistance Program,,,Ebos,2023.0,"All work-related incidents resulting in (or with potential to) injury or ill-health of employees, contractors, visitors and public members must be logged and investigated via our dedicated Group-wide reporting system known as 'Mango'. Workplace safety coordinators have been appointed to facilitate the implementation of policies and procedures and assist with risk assessment and determination of suitable control measures.",,,,41,,,"Injury, Ill-Health of Employees, Mango",8.0,S,,,,,,,,,,,,,,,,
167,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Incident Notification and Investigation Procedure,,,Ebos,2023.0,"EBOS strives to encourage a healthier, engaged workforce through our Ã¢ÂÂBe Well from AnywhereÃ¢ÂÂ wellness program, which includes health activities and initiatives throughout the year. All employees and their families in New Zealand and Australia have access to our Employee Assistance Program (EAP). The program provides free and confidential counselling services to assist with personal or work-related issues that may impact employee health and well-being.",,,,41,,,"Employee Assistance Program, Employees Health and Wellbeing, Be Well from Anywhere",3.0,S,,,,,,,,,,,,,,,,
168,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,"Alcohol, Drugs, and Workplace Safety",,,Ebos,2023.0,"Each operational division reports monthly to senior management on health and safety matters. The Board receives monthly and annual reports on group-wide safety performance. Employees and contractors are not permitted to undertake work while under the influence of alcohol, illegal substances or other substances of abuse.",,,,41,,,"Alcohol, Drugs, Workplace Safety, Substance Abuse",3.0,S,,,,,,,,,,,,,,,,
169,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Healthcare Logistics (HCL),,,Ebos,2023.0,"Our increasing network of distribution centres offers unrivalled coverage and distribution capability for health and medical products and supports the requirements of our customers. In January 2023, we opened a new 13,400m 2 Healthcare Logistics (HCL) distribution centre in Auckland with a pallet capacity 13,350. Strategically located in proximity to Auckland Airport and other HCL facilities, this 4-star Green Star-rated facility includes a range of sustainable features, including electric vehicle charging points, rainwater tanks, and motion-sensing LED lighting.",,,,,22,,"Healthcare Logistics, 4-Star Green Star Related Facility, LED Lightning",3.0,S,,,,,,,,,,,,,,,,
