Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
120,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,BWS customer experience training program,,,Endeavour,2023.0,"The award-winning BWS customer experience training program was born out of the need to engage a new generation of younger shoppers. The training program was peer-led, utilising approximately 70 Store Managers nationwide. Having peers deliver the training maximised buy-in and ensured the approach came from a place of experience and credibility. Not only did they deliver the training, but their passion and advocacy demonstrated the very customer experience principles the training was looking to instil.",,,86,,27,,"BWS customer experience training program, the younger shopper, Store Manager","8, 17",S,,,,,,,,,,,,,,,,
121,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,40:40 Vision,,,Endeavour,2023.0,"In F23, Endeavour became a signatory to the 40:40 Vision, an initiative led by HESTA, supported by industry partners, to pursue diversity in executive leadership in ASX 300 companies. As of 25 June 2023, women represent 41% of senior management positions, an improvement on F22 and reflective of Endeavour's female talent pipeline and focus in this area. Women also make up 43% of the membership of the Endeavour Group Board. Endeavour plans to strengthen nomination and voting systems to ensure equal opportunities for all genders.",,,86,45,,,"40:40 Vision, diversity, HESTA",10,S,,,,,,,,,,,,,,,,
123,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Proud at Endeavour,,,Endeavour,2023.0,"Endeavour's Proud at Endeavour group has moved at pace in F23 to advocate and mobilise that vision for its team and the communities it is in. Proud at Endeavour has grown to more than 367 LGBTQ+ and Ally team members across Australia, bringing its value of inclusion to life for the wider business and supporting its customer-facing brands to bring diversity to the forefront.",,,86,46,,,"Proud at Endeavour, LGBTQ+, customer-facing brand",10,S,,,,,,,,,,,,,,,,
124,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Light Up The Night,,,Endeavour,2023.0,"Endeavour sponsored the second annual Light Up the Night Gala in May, raising much-needed funds for the LGBTQ Domestic Violence Awareness Foundation. The Foundation aims to support LGBTQ victims and survivors of domestic violence and abuse through awareness, education and breaking down barriers to accessing support.",,,86,47,,,"Light Up The Night, LGBTQ, LGBTQ Domestic Violence Awareness Foundation",10,S,,,,,,,,,,,,,,,,
125,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,ACON,,,Endeavour,2023.0,"Since 2019, Endeavour has partnered with ACON, a community organisation supporting health, inclusion and ending HIV for people of diverse sexualities and genders. 579 Dan Murphy's and BWS stores nationally are now registered as a Welcoming Place as part of ACON's Welcome Here Project, which helps businesses create and promote visibly welcoming and inclusive environments for LGBTQ+ communities.",,,86,47,,,"ACON, HIV, diverse sexuality",10,S,,,,,,,,,,,,,,,,
126,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,"Endeavour expects its employees to respectfully treat each other, customers, and suppliers. Endeavour also trains its employees on these expectations through its Code of Conduct.",,,,Endeavour,2023.0,,,,86,80,,,,,,,,,,,,,,,,,,,,,
128,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,Human Rights Program,,,Endeavour,2023.0,"In F23, Endeavour invested in its Human Rights Program and partnered with two specialist business and human rights firms to identify, assess and address human rights risks in its operations and supply chain. The Board is updated quarterly on Endeavour's Human Rights Program, with detailed reporting through the Audit, Risk and Compliance Management Committee.",,,86,54,,,"Human Rights Program, human rights firm, supply chain","8, 16","S, G",,,,,,,,,,,,,,,,
129,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,Supplier engagement sessions,,,Endeavour,2023.0,"This year, Endeavour hosted an engagement session with representatives from 19 growers in the Barossa region in South Australia. Based on listening, learning, and building capacity, the event helped Endeavour understand the barriers they're facing and how it can support them to uplift human rights practices in the viticulture industry.",,,86,54,,,"Engagement session, Barossa region, human rights practice","8, 16","S, G",,,,,,,,,,,,,,,,
130,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Responsible Sourcing Program,,,Endeavour,2023.0,"In F23, Endeavour strengthened and clarified its Responsible Sourcing Program. The framework ensures Endeavour's products are ethically produced and sourced, and its suppliers manage labour and human rights risks, including risks of forced and child labour and modern slavery.",,,86,55,,,"Responsible Sourcing Program, labour, human rights risk","8, 16","S, G",,,,,,,,,,,,,,,,
131,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,The Voice workshop,,,Endeavour,2023.0,"In May, Endeavour hosted a voluntary education workshop on The Voice with Thomas Mayo, a Kaurareg Aboriginal and Kalkalgal, Erubamle Torres Strait Islander man from Larrakia Country who is on the Government's First Nations Referendum Working Group. More than 100 of Endeavour's team attended the workshop on Gadigal Country in Redfern to understand more about constitutional recognition, The Voice proposal, and the practical change it would have in addressing real community challenges.",,,86,50,,,"Education workshop, The Voice, constitutional recognition","10, 17",S,,,,,,,,,,,,,,,,
