Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
117,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Fisher & Paykel,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,,NO DISCLOSURE,Fisher & Paykel,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,F&P Mexico Women in Leadership,,Fisher & Paykel,2023.0,"Empowerment, communication and leadership were the focus areas of F&P Mexico's Women in Leadership Programme implemented this year. Aiming to improve female representation in senior roles in Mexico, the programme was also designed to increase women's engagement and well-being at work and home.",,,,,34,,"Women in leadership, gender equality, empowerment","5, 8",S,"4, 5, 9",,,,,,,,,,,,,,,
120,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,"Diversity, Equity And Inclusion (DEI)",,Fisher & Paykel,2023.0,"We nurture a collaborative, open, diverse, honest and inclusive culture to achieve our company purpose. To develop this environment, we are committed to embedding Diversity, Equity and Inclusion in everything we do. This approach is critical to achieving long-term, sustainable improvement.\t",,,,,36,,"Diversity, equity, inclusion","5, 8, 10",S,"2, 4, 5",,,,,,,,,,,,,,,
121,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,Global Women Champions for Change,,Fisher & Paykel,2023.0,"In the 2023 financial year, Fisher & Paykel Healthcare became a support partner of New Zealand's Global Women organisation and its Champions for Change group. Our Board Chair, Scott St John, will participate alongside over 80 senior business leaders committed to achieving four drivers of inclusive and diverse workplaces: increasing gender diversity, increasing MÃÂori and ethnic diversity, leading inclusive cultures, and influencing the outside world.",,,,,36,,"Gender diversity, MÃÂori and ethnic diversity, inclusive leadership","5, 10",S,"2, 4, 5",,,,,,,,,,,,,,,
122,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,"IDEA Council (Inclusion, Diversity, Equity and Awareness Council)",,Fisher & Paykel,2023.0,"The IDEA Council is a trusted advisor to the executive leadership team and Board and ensures sustainable, equitable outcomes from diversity and inclusion initiatives. With the demands of the pandemic easing, the council was able to concentrate on measures to include employees from manufacturing and operations teams to participate in DEI projects.",,,,,36,,"Employee representation, diverse teams, DEI initiatives","5, 10",S,"2, 4, 5",,,,,,,,,,,,,,,
123,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,R&Dversity,,Fisher & Paykel,2023.0,"R&Dversity, an IDEA Council-led project aimed at improving low female representation in R&D at senior levels, completed three streams of work Ã¢ÂÂ Meetings, Role Models and Model Shops. The project has started to scope two projects: Visibility of Role Models, R&Dversity and Women in Engineering (WiEng), and a Pilot Model Shop Training programme, identifying five specific points to embed into existing company projects.",,,,,36,,"Women in R&D, mentorship, role models","4, 5",S,"2, 4, 5",,,,,,,,,,,,,,,
124,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,Women in Engineering (WiEng),,Fisher & Paykel,2023.0,"Women in Engineering group exists to support and empower a community of over 150 women in technical roles through personal and professional growth opportunities and offer mentoring to aspiring young engineers at high school and university. WiEng and our learning and development team created a three-part series of workshops that included the basics of mentoring, preparing for a good mentoring relationship, panels of experienced people-leaders from our research and development teams, and a speed networking session. \t",,,,,37,,"Women in engineering, supporting women in STEM, professional development","4, 5",S,"2, 4, 5",,,,,,,,,,,,,,,
125,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,,Spectra,,Fisher & Paykel,2023.0,"Spectra, our group for queer and gender-diverse employees, was instrumental in developing this partnership and completing the Rainbow Inclusion Stocktake. The stocktake is a self-evaluation tool that will help us understand where we are now and assist in creating a strategic path forward.",,,,,38,,"LGBTQ+ Inclusion, self-assessment, strategic development",10,S,"2, 4, 5",,,,,,,,,,,,,,,
126,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,,,NO DISCLOSURE,Fisher & Paykel,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
