Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
135,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Modern slavery working group,,Goodman,2023.0,"Goodman established a modern slavery working group, a cross-functional and multi-jurisdictional group including representatives from the business units of procurement, legal and compliance, risk and sustainability who are responsible for the development and implementation of policies, practices and reporting on modern slavery across Goodman's operations and supply chain. The modern slavery working group is overseen by an Executive Steering Group that oversees strategy and initiatives.",,,,,,,"Modern slavery working group, supply chain, modern slavery","8, 16","S, G",,Modern Slavery Statement page 6,,,,,,,,,,,,,,
136,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Modern slavery training packs,,Goodman,2023.0,"Goodman created training packs for its regional teams to be rolled out face-to-face or virtually that covered topics such as identifying signs of modern slavery and providing guidance on appropriate actions to take if a modern slavery incident arises. The training sessions are designed to be interactive and engaging, ensuring that Goodman's people are well-prepared to understand the risks and address any potential modern slavery concerns that may arise during their work.",,,,,,,"Modern slavery training pack, modern slavery incident, modern slavery concern","8, 16","S, G",,Modern Slavery Statement page 22,,,,,,,,,,,,,,
137,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Sustainable and social procurement training,,Goodman,2023.0,"Goodman delivered tailored training on sustainable and social procurement, specifically addressing modern slavery, to its offshore Shared Services Team in the Philippines, which provides outsourced operational and administrative services and is located in a high-risk country. The training included specific real-life cases highlighting instances of modern slavery within their country.",,,,,,,"Sustainable and social procurement, Shared Services Team, high-risk country","8, 16","S, G",,Modern Slavery Statement page 22,,,,,,,,,,,,,,
138,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,SinePro,,Goodman,2023.0,"Goodman integrated an online modern slavery training module into its contractor induction app, SinePro. Goodman has made it mandatory for contractors to utilise the SinePro app each time they visit a Goodman property. When contractors sign in using the app, they must review the factsheet and complete the online module.",,,,,,,"SinePro, online module, modern slavery training","8, 16","S, G",,Modern Slavery Statement page 23,,,,,,,,,,,,,,
139,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Unseen,,Goodman,2023.0,"In the UK, Goodman engaged Unseen, a leading UK anti-slavery charity. Unseen provides safehouses and support for survivors of trafficking and modern slavery and runs the UK's Modern Slavery and Exploitation Helpline.",,,,,,,"Unseen, anti-slavery charity, Modern Slavery and Exploitation Helpline","8, 16","S, G",,Modern Slavery Statement page 24,,,,,,,,,,,,,,
140,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Goodman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Modern slavery global standards,,Goodman,2023.0,"Goodman created global standards concerning human rights, modern slavery and labour protection to guide all regions concerning operational matters and supplier expectations. Goodman's standards include its remediation pathway and a step-by-step approach to managing grievances and whistleblowing, providing clear channels for reporting concerns.",,,,,,,"Global standards, human rights, modern slavery","8, 16","S, G",,Modern Slavery Statement page 3,,,,,,,,,,,,,,
142,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Labour inspection,,Goodman,2023.0,"In Brazil, Goodman engaged third-party consultants (currently HR Assessoria e Projetos) to conduct specialised labour inspections to review site-based general contractors and subcontractors for compliance with labour and safety regulations. These inspections focus on health and safety conditions at development sites, worker accommodation, labour conditions and safety standards at Goodman's properties.",,,,,,,"Labour inspection, third-party consultant, worker accommodation","8, 16","S, G",,Modern Slavery Statement page 3,,,,,,,,,,,,,,
143,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Sustainable Sourcing Framework,,Goodman,2023.0,"Goodman developed the Sustainable Sourcing Framework to offer strategic guidance in accomplishing Goodman's global sourcing and supply chain objectives. This framework aims to safeguard human rights throughout Goodman's supply chain, minimise the risk of modern slavery, and help support the goals of Goodman's 2030 Sustainability Strategy.",,,,,,,"Sustainable Sourcing Framework, strategic guidance, human right","8, 16","S, G",,Modern Slavery Statement page 17,,,,,,,,,,,,,,
144,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Supplier Code of Conduct,,Goodman,2023.0,"In FY23, Goodman took steps towards expanding its procurement policies to align with the recently established Sustainable Sourcing Framework to consider environmental, social, and governance objectives within its procurement processes. By incorporating these objectives into its Supplier Code of Conduct, Goodman aims to prioritise and normalise sustainability, social responsibility, and ethical practices throughout its procurement activities.",,,,,,,"Supplier Code of Conduct, Sustainable Sourcing Framework, procurement process","8, 16","S, G",,Modern Slavery Statement page 18,,,,,,,,,,,,,,
145,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Statement of Business Ethics,,Goodman,2023.0,"In FY23, Goodman reviewed all contract templates and precedents to confirm they included references to its Statement of Business Ethics. This statement serves as Goodman's supplier code of conduct, which outlines Goodman's expectations regarding modern slavery and human rights, amongst other matters. It is a guiding document that governs Goodman's dedication to conducting business ethically.",,,,,,,"Statement of Business Ethics, contract template, human rights","8, 16","S, G",,Modern Slavery Statement page 18,,,,,,,,,,,,,,
146,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Self-assessment questionnaire,,Goodman,2023.0,"Goodman engages in various tendering opportunities, necessitating suppliers to undergo a prequalification process. Goodman utilises supplier self-assessment questionnaires or declarations to identify potential red flags or consider ratings from external accreditation agencies. The questionnaires aim to enhance control measures in moderate to high-risk sectors.",,,,,,,"Self-assessment questionnaire, prequalification process, supplier","8, 16","S, G",,Modern Slavery Statement page 26,,,,,,,,,,,,,,
147,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,Worker accommodation guide,,Goodman,2023.0,"As part of its commitment to prioritise the well-being and safety of the workers in its supply chain, Goodman developed a comprehensive worker accommodation guide. This guide is a valuable resource for Goodman's general contractors, providing clear expectations and standards regarding worker accommodation on site.",,,,,,,"Worker accommodation guide, well-being, safety","8, 16","S, G",,Modern Slavery Statement page 28,,,,,,,,,,,,,,
148,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Reconciliation Action Plan,,,Goodman,2023.0,"Goodman's Reconciliation Action Plan (RAP) vision seeks to make space for greatness by educating and influencing its employees, customers and stakeholders on the important role First Nations communities and peoples play in Australia. Goodman is working to provide tangible and substantive benefits for Aboriginal and Torres Strait Islander peoples through its community and business activities as it moves along the path of the RAP.",,,https://2023sustainabilityreport.goodman.com/esg-metrics/#gri-table,https://2023sustainabilityreport.goodman.com/people-culture-and-community/,,,"Reconciliation Action Plan, stakeholder, First Nations community","10, 17",S,,,,,,,,,,,,,,,,
149,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Head of First Nations Engagement,,,Goodman,2023.0,Goodman employed a Head of First Nations Engagement to lead its strategy and introduced a sustainable sourcing framework supporting First Nations employment and businesses. Goodman also introduced cultural protocols and cultural immersion opportunities for its people. It explores incorporating Country and First Nations design principles into its property portfolio.,,,https://2023sustainabilityreport.goodman.com/esg-metrics/#gri-table,https://2023sustainabilityreport.goodman.com/people-culture-and-community/,,,"Head of First Nations Engagement, sustainable sourcing framework, cultural immersion","10, 17",S,,,,,,,,,,,,,,,,
