Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
64,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,IGO,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,IGO,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,302.0,Energy,302-01,Energy consumption within the organization,"Total energy used: 2,284,940\t",,,,IGO,2023.0,,,,,100,,,,,,,,,,,,,,,,,,,,,
67,,302.0,Energy,302-01,Energy consumption within the organization,"support greater use of renewable energy and other cost-effective low-emission technologies, improved energy efficiency and its application in our operations",,,,IGO,2023.0,,,,,53,,,,,,,,,,,,,,,,,,,,,
68,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,IGO,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,IGO,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,302.0,Energy,302-03,Energy intensity,"The offsets we purchase must be seen today and in the future as honest and credible by our people capital and customer markets. We will exclude project types and offsets that we consider to constitute: Ã¢ÂÂ¢ unacceptable risk in terms of sensible stakeholder views on the additionality of the carbon reduction or which carry eligibility or additionality risk in the medium term (including landfill gas and avoided deforestation projects) Ã¢ÂÂ¢ unacceptable risk of abatement overestimation or impermanence Ã¢ÂÂ¢ unacceptable project proponent risk (including beneficial owners other activities, and the risk of exposing IGO to association with exploitation, unethical or unsafe actions, or parties that lack credibility) Ã¢ÂÂ¢ a cause of social, economic, environmental or political harm or reasonable opposition; and Ã¢ÂÂ¢ a possible cause of social disadvantage or inequitable outcomes for location communities or workers.\t",,,,IGO,2023.0,,,,,59,,,,,,,,,,,,,,,,,,,,,
71,,302.0,Energy,302-04,Reduction of energy consumption,There is no reduction in energy consumption in 2023.,,,,IGO,2023.0,,,,,101,,,,,,,,,,,,,,,,,,,,,
72,,302.0,Energy,302-04,Reduction of energy consumption,"$8.3M was allocated to our decarbonisation fund in FY23, which was designed to facilitate carbon reduction initiatives and projects. The Group's emissions increased during FY23 due to consolidating the Cosmos and Forrestania assets into IGO's emissions portfolio. However, Nova emissions were down 9%, primarily due to the power station fire in December 2022, which resulted in significantly lower power generation until temporary power could be established. I commissioned the new solar farm and battery storage facility at Nova and achieved the first engine-off operation (100% renewable power), a first for an Australian mine site. Progressed Cosmos decarbonisation roadmap, including mine electrification and renewable energy studies",,,,IGO,2023.0,,,,,9,,,,,,,,,,,,,,,,,,,,,
73,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,IGO,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,302.0,Energy,302-05,Reductions in energy requirements of products and services,"We believe that clean energy, including renewable energy generation, grid-scale energy storage and the electrification of transport, is central to limiting the human causes of climate change.",,,,IGO,2023.0,,,,,53,,,,,,,,,,,,,,,,,,,,,
75,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"In Western Australia, water abstraction is subject to a licence issued by the Department of Water and Environment Regulation (DWER). In FY23, we complied with our licence obligations and actively monitored abstraction and groundwater levels to ensure ongoing compliance.\t",,,,IGO,2023.0,,,,,79,,,,,,,,,,,,,,,,,,,,,
76,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,We are committed to open and transparent dealings with all our stakeholders at IGO. Tax payment is an essential element of our contribution to the economic development of Australia.\t,,,,IGO,2023.0,,,,,91,,,,,,,,,,,,,,,,,,,,,
77,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,"Our water management plans consider the unique hydrological characteristics of the region, and we work closely with local stakeholders and regulatory bodies to ensure compliance with water allocation and quality standards. We prioritise efficient water use by implementing advanced technologies and practices to minimise consumption and maximise recycling and reuse.\t",,,,IGO,2023.0,,,,,79,,,,,,,,,,,,,,,,,,,,,
78,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Wastewater treatment plant,,,IGO,2023.0,"The upgraded wastewater treatment plant infrastructure at the Nova Operation allows wastewater to be recycled and used in the concentrate washing process, resulting in further water use efficiencies and decreased groundwater abstraction.\t",,,,79,,,"Water stewardship, environment, ecology\t",6,S,6,,,,,,,,,,,,,,,
79,,303.0,Water and Effluents,303-03,Water withdrawal,"Total water withdrawal is 2,840 megalitres.\t",,,,IGO,2023.0,,,,,101,,,,,,,,,,,,,,,,,,,,,
80,,303.0,Water and Effluents,303-04,Water discharge,"The total water discharge is 1,329 megalitres.\t",,,,IGO,2023.0,,,,,101,,,,,,,,,,,,,,,,,,,,,
81,,303.0,Water and Effluents,303-05,Water consumption,"Total water consumption is 2,904 megalitres.\t",,,,IGO,2023.0,,,,,101,,,,,,,,,,,,,,,,,,,,,
