Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
243,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Cianjur Earthquake,,,Incitec Pivot,2023.0,"DNAP and DNX Indonesia employees delivered donations via the Indonesia Mining Department's Disaster Post in Cianjur (West Java), Indonesia, after a 5.6 magnitude earthquake in November 2022. Our employees donated essential items, including 100 packaged tents, mattresses, blankets, 2,000kg of raw rice, and 360 packages of diapers for children in need.",,,8,49,,,"Cianjur Earthquake, DNX Indonesia, donations",11,S,,,,,,,,,,,,,,,,
244,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Customer Golf Day,,,Incitec Pivot,2023.0,"In March 2023, Dyno Nobel's Asia Pacific Hard Rock and Iron Ore teams hosted a day of fun with a purpose: a customer golf day in support of Beyond Blue Australia. About 100 participants gathered at the Vines Golf Resort in Whadjuk-Noongar country, including representatives from some of Australia's premier mining and mining services companies.",,,8,49,,,"Customer Golf Day, Beyond Blue Australia, Hard Rock",11,S,,,,,,,,,,,,,,,,
245,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Hope to All Food Bank,,,Incitec Pivot,2023.0,"Employees from our Graham, Kentucky site provided financial contributions to the local food pantry 'Hope to All Food Bank'. Several team members, some even accompanied by their families, went to the food bank to lend a helping hand and packaged hampers for needy families.",,,8,49,,,"Hope to All Food Bank, Kentucky site, financial contributions",11,S,,,,,,,,,,,,,,,,
246,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Beyond Blue,,,Incitec Pivot,2023.0,"Beyond Blue is one of Australia's best-known suicide prevention organisations, which runs dedicated programs suited to the needs of 'Fly in, fly out' (FIFO) workers. In a collective effort, we raised over A$50k for Beyond Blue on that day.",,,8,49,,,"Beyond Blue, Whadjuk-Noongar country, AustraliaÃ¢ÂÂs premier mining",11,S,,,,,,,,,,,,,,,,
247,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Taykway Tagamou Nation,,,Incitec Pivot,2023.0,"Canada East operations donated CAD$15k to the Taykway Tagamou Nation (TNN) at Timmins in Ontario, Canada, for renovations at their recently acquired Veronica Archibald Healing Centre in Wade Lake, Ontario. The centre aims to provide land-based healing through a treatment centre and community programming designed for at-risk First Nations youth.",,,8,49,,,"Taykway Tagamou Nation, donations, Timmins in Ontario",11,S,,,,,,,,,,,,,,,,
248,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Workplace Giving program,,,Incitec Pivot,2023.0,"Workplace Giving program by Incitec Pivot is a charitable initiative that encourages employees to contribute to charitable organisations through regular payroll deductions. This program enables employees to positively impact causes they care about, fostering a culture of philanthropy.",,,8,47,,,"Workplace Giving program, various site-based initiatives, in-kind donations",11,S,,,,,,,,,,,,,,,,
249,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Flying Doctor Service,,,Incitec Pivot,2023.0,"The Flying Doctor Service by Incitec Pivot is a community support initiative to provide crucial medical assistance to remote and rural areas. This program may involve collaborations with organisations such as the Royal Flying Doctor Service, a renowned aeromedical service in Australia. Incitec Pivot's involvement in the Flying Doctor Service demonstrates the company's commitment to the wellbeing of remote communities by ensuring access to essential healthcare services.",,,8,,,,"Flying Doctor Service, Phosphate Hill, north-west Queensland",11,S,,IPL GRI,,,,,,,,,,,,,,
250,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Outback School,,,Incitec Pivot,2023.0,Outback School by Incitec Pivot is an educational initiative that provides support and resources to schools in remote and outback regions. This program may involve partnerships with schools or organisations to enhance educational opportunities in these areas. Incitec Pivot's involvement in the Outback School initiative reflects the company's commitment to contributing to the development and wellbeing of communities in remote regions.,,,8,,,,"Outback School, local Dajarra school, wellbeing",11,S,,IPL GRI,,,,,,,,,,,,,,
251,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Emergency Response,,,Incitec Pivot,2023.0,"The emergency response program by Incitec Pivot underscores the company's commitment to ensuring its workforce's and communities' safety and wellbeing during unforeseen events. This initiative involves developing and implementing comprehensive emergency response plans, including training sessions and drills and establishing emergency response teams.",,,8,,,,"Emergency Response, SES unit, dedicated professional",11,S,,IPL GRI,,,,,,,,,,,,,,
252,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,School Camp,,,Incitec Pivot,2023.0,"School Camp initiative by Incitec Pivot is a program designed to provide educational and recreational experiences for students, typically in collaboration with local schools or educational institutions. This initiative may involve organising outdoor activities, workshops, and team-building exercises to enhance students' learning and personal development.",,,8,,,,"School Camp, school approach, educational experiences",11,S,,IPL GRI,,,,,,,,,,,,,,
