Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,James Hardie Industries Plc,,,,James Hardie,2023.0,,,,63,2,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"James Hardie's report included James Hardie Europe GmbH, James Hardie Technology Limited, and RCI Holdings Pty Ltd.",,,,James Hardie,2023.0,,,,63,,10,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",James Hardie's report covers its sustainability performance progress for fiscal year 2023 (1 April 2022 through 31 March 2023).,,,,James Hardie,2023.0,,,,63,53,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,James Hardie restated its waste data for CY2021.,,,,James Hardie,2023.0,,,,63,62,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,"James Hardie's report has not been externally assured. However, certain environmental data reported to CDP undergoes limited 3rd party assurance.",,,,James Hardie,2023.0,,,,63,63,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",James Hardie is the world's No. 1 producer and marketer of high-performance fibre cement siding and fibre gypsum building solutions.,,,,James Hardie,2023.0,,,,63,2,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"James Hardie had 5,473 employees in 2023.",,,,James Hardie,2023.0,,,,63,57,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"Contractor data is omitted from reporting, and as James Hardie continues to develop its ESG disclosures, it will be considered for future inclusion.",,,,James Hardie,2023.0,,,,63,63,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"James Hardie's governance comprises the Board, the Audit Committee, the Nominating and Governance Committee, and the Remuneration Committee.",,,,James Hardie,2023.0,,,,63,,,,,,,,https://ir.jameshardie.com.au/governance/board-committees,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Background checks,,,James Hardie,2023.0,"Before appointing a director or nominating a candidate to shareholders for election as a director, the Company typically undertakes background checks, including the candidate's education, experience, criminal history, bankruptcy and character. To facilitate shareholders making an informed decision on whether or not to elect or re-elect a director, the Board details in the Notice of Meeting all material information it possesses relevant to the decision.",,,63,,73,,"Background check, criminal history, director",16,G,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,Ms Anne Lloyd is the chair of James Hardie's Board.,,,,James Hardie,2023.0,,,,63,,77,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,The Board regularly reviews with management strategic issues related to ESG and progress against its goals.,,,,James Hardie,2023.0,,,,63,10,,,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,The Board delegated several powers to Board committees and responsibility for the day-to-day management of the Company's affairs and the implementation of corporate strategy to the CEO.,,,,James Hardie,2023.0,,,,63,,70,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,,Hardie Operating System (HOS),,,James Hardie,2023.0,"James Hardie's Hardie Operating System (HOS) drives the alignment of initiatives to strategic objectives and enables efficient resource allocation for all its strategic initiatives, including those related to ESG. Cross-functional steering committees help lead and coordinate sustainability efforts across James Hardie's global operations and ensure that James Hardie is on track to achieve its ESG goals.",,,63,10,,,"Hardie Operating System (HOS), strategic objective, efficient resource allocation",8,S,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,The Board shall determine a non-executive director's independence following the rules and regulations of the applicable exchange or regulatory body and any other applicable legislation.,,,,James Hardie,2023.0,,,,63,,,,,,,,Audit Committee Charter page 1,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-16,Communication of critical concerns,,Ethics Hotline Policy,,,James Hardie,2023.0,"James Hardie's Ethics Hotline Policy aims to provide a confidential means for employees and other eligible individuals to report suspected unethical or improper conduct or any other concerns in a manner that is outside the normal chain of command. The Ethics Hotline is designed to help ensure compliance with all applicable laws and regulations, promote the sound business practices embodied in James Hardie's policies and help avoid misconduct.",,,63,,,,"Ethics Hotline Policy, employee, improper conduct",16,G,,Ethics Hotline Policy page 1,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Skills matrix,,,James Hardie,2023.0,"The Board seeks to achieve a mix of skills, experience and expertise to maximise the effectiveness of the Board. It utilises a skills matrix in reviewing Board composition and succession planning. James Hardie's Board skills matrix outlines the experience and diversity the Board has and seeks to achieve, considering the Company's strategic objectives.",,,63,,79,,"Skills matrix, expertise, experience","4, 16","S, G",,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Induction program,,,James Hardie,2023.0,"James Hardie has an induction program for new directors, tailored to their existing skills, knowledge and experience, to position them to discharge their responsibilities effectively and to add value. The program includes an overview of the Company's governance arrangements and directors' duties in Ireland, the United States and Australia, plant and market tours to understand the Company's strategic plans and impart relevant industry knowledge, briefings on the Company's risk management and control framework, financial results and key risks and issues, and meeting other directors, the CEO and members of management.",,,63,,82,,"Induction program, new director, governance arrangement",16,G,,,,,,,,,,,,,,,,
