Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
41,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Analyst and investor briefings,,,Mercury,2023.0,,,,1,89,,,"Analyst and investor briefings, ASM, webcast",17,S,,,,,,,,,,,,,,,,
42,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Leadership Tira Hoe,,,Mercury,2023.0,,,,1,89,,,"Leadership Tira Hoe, FY22-24 Objectives, Waikato Tainui",17,S,,,,,,,,,,,,,,,,
43,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Extensive employee engagement,,,Mercury,2023.0,,,,1,89,,,"Extensive employee engagement, gather input, our new purpose",17,S,,,,,,,,,,,,,,,,
44,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Hui,,,Mercury,2023.0,,,,1,89,,,"Hui, community, oppening our doors",17,S,,,,,,,,,,,,,,,,
45,,2.0,General Disclosures,2-30,Collective bargaining agreements,Information is unavailable.,,,NO DISCLOSURE,Mercury,2023.0,,,,1,115,,,,,,,,,,,,,,,,,,,,,
46,,3.0,Material Topics,3-1,Process to determine material topics,,Materiality Assessment,,,Mercury,2023.0,,,,1,14,,,"Materiality Assessment, <IR> Capitals, Social & Relationship, Natural Manufactured, Human Intellectual, Financial",17,"E, S, G",,,,,,,,,,,,,,,,
47,,3.0,Material Topics,3-1,Process to determine material topics,,Five long-term aspiration,,,Mercury,2023.0,,,,1,14,,,"Five long-term aspiration, long-term value, 2016",8,"E, S, G",,,,,,,,,,,,,,,,
48,,3.0,Material Topics,3-2,List of material topics,"The Group's list of material topics consists of social & relationship, naturally manufactured, human intellectual, and financial.",,,,Mercury,2023.0,,,,1,14,,,,,,,,,,,,,,,,,,,,,
49,,3.0,Material Topics,3-3,Management of material topics,Mercury keeps updated with changes in these areas to consider how our approach needs to evolve to ensure we continue to create value. These insights are combined to form a view of what's material to our business.,,,,Mercury,2023.0,,,,1,14,,,,,,,,,,,,,,,,,,,,,
50,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"Mercury's FY2023 EBITDA is $841 million, up more than 40% on the prior year's $581 million. This record-high result reflects the ongoing benefits from the Tilt and Trustpower acquisitions made during FY2022, a full year of operations for the north section of Turitea windfarm and commissioning of the south section, as well as above-average hydro generation in a year of highly high inflows.",,,,Mercury,2023.0,,,,2,2024-04-05 00:00:00,,,,,,,,,,,,,,,,,,,,,
51,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Geothermal turnarounds,,,Mercury,2023.0,,,,2,61-68,,,"Geothermal turnarounds, The Risk We Face, Operational",7,E,,,,,,,,,,,,,,,,
52,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,PMF values,,,Mercury,2023.0,,,,2,61-68,,,"PMF values, Physical Assets, flood","6, 7, 14",E,,,,,,,,,,,,,,,,
53,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,MercuryÃ¢ÂÂs risk matrix,,,Mercury,2023.0,,,,2,61-68,,,"MercuryÃ¢ÂÂs risk matrix, Almost Certain, Highly Likely","7, 8, 13",E,,,,,,,,,,,,,,,,
54,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Models of storm events,,,Mercury,2023.0,,,,2,71,,,"Models of storm events, Waikato hydro catchment, Waikato Regional Counci",9,E,,,,,,,,,,,,,,,,
55,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Flood simulations,,,Mercury,2023.0,,,,2,71,,,"Flood simulations, educate and familiarise, storms and flood risks",9,E,,,,,,,,,,,,,,,,
56,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,Vulnerable customer initiatives,,Mercury,2023.0,,,,2,6,,,"Vulnerable customer initiatives, customer care plan, electricity options","11, 17",S,,,,,,,,,,,,,,,,
63,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,Crediting accounts,,Mercury,2023.0,,,,2,18,,,"Crediting accounts, Cyclones Hale, Auckland Anniversary weekend floods","11, 17",S,,,,,,,,,,,,,,,,
64,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,Waiving bills,,Mercury,2023.0,,,,2,18,,,"Waiving bills, direct support, financial assistance","11, 17",S,,,,,,,,,,,,,,,,
65,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,One-off payments,,Mercury,2023.0,,,,2,18,,,"One-off payments, programme approach, customer care","11, 17",S,,,,,,,,,,,,,,,,
66,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,ERANZ-managed programmes,,Mercury,2023.0,,,,2,18,,,"ERANZ-managed programmes, credit scheme, low-fixed user","11, 17",S,,,,,,,,,,,,,,,,
67,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,"The Group payment for supplier FY23 was $1,687 million.",,,,Mercury,2023.0,,,,2,36,,,,,,,,,,,,,,,,,,,,,
68,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,207.0,Tax,207-01,Approach to tax,The Group's total tax borne FY23 was $29 million.,,,,Mercury,2023.0,,,,2,41,,,,,,,,,,,,,,,,,,,,,
73,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Mercury,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
