Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
248,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,The Christchurch Foundation,,,Meridian Energy,2023.0,"In collaboration with The Christchurch Foundation, Meridian demonstrates its commitment to community wellbeing through a dedicated community effort. This partnership likely involves joint initiatives and financial support to address various community needs in Christchurch. The Christchurch Foundation is a valuable conduit for Meridian's contributions to projects that enhance the community's social, cultural, and environmental fabric.",,,7,51,,,"The Christchurch Foundation, private landowners, iwi-based trust",11,S,,,,,,,,,,,,,,,,
249,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Christchurch plantings,,,Meridian Energy,2023.0,"Its four strategic partnerships exemplify Meridian's commitment to community and environmental stewardship. The collaboration with The Christchurch Foundation, specifically focused on plantings in Christchurch, showcases Meridian's dedication to enhancing green spaces and contributing to the city's overall environmental sustainability.",,,7,51,,,"Christchurch plantings, Christchurch Foundation, environmental stewardship",11,S,,,,,,,,,,,,,,,,
250,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,NIWA,,,Meridian Energy,2023.0,"Meridian's collaboration with NIWA represents a noteworthy community effort in pursuing scientific research and environmental stewardship. Through joint research initiatives, Meridian and NIWA are likely combining their expertise to address complex water and atmospheric conditions challenges. This partnership signifies a commitment to advancing knowledge in areas crucial for sustainable resource management and environmental resilience.",,,7,75,,,"NIWA, National Institute of Water and Atmospheric Research, knowledge advancement",11,S,,,,,,,,,,,,,,,,
251,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Energy Wellbeing Programme,,,Meridian Energy,2023.0,"The Energy Wellbeing Programme includes financial assistance programs, energy education campaigns, and initiatives promoting home energy efficiency. By addressing energy consumption's economic and practical aspects, Meridian aims to empower community members to manage their energy needs effectively.",,,7,24,,,"Energy Wellbeing Programme, holistic approach, energy hardship",11,S,,,,,,,,,,,,,,,,
252,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,ERANZ,,,Meridian Energy,2023.0,"Sponsoring ERANZ allows Meridian to play a role in shaping industry practices, participating in discussions on regulatory matters, and contributing to the overall growth and sustainability of the electricity retailing sector in New Zealand. This community effort underscores Meridian's dedication to being an influential and responsible player in the energy landscape.",,,7,112,,,"ERANZ, Electricity Retailers Association, funded membership",11,S,,,,,,,,,,,,,,,,
253,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Energy Mate programme,,,Meridian Energy,2023.0,The Energy Mate program by Meridian epitomises the company's commitment to community wellbeing through energy awareness and assistance. This program likely encompasses a suite of initiatives designed to empower customers with knowledge about their energy usage and provide support for efficient and sustainable energy practices.,,,7,112,,,"Energy Mate programme, energy hardship, ERANZ",11,S,,,,,,,,,,,,,,,,
254,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Connect Me Pilot,,,Meridian Energy,2023.0,"Meridian's Connect Me pilot sponsorship exemplifies the company's dedication to supporting innovative community programs. This pilot initiative likely involves financial and strategic support from Meridian to test and refine a community-focused project to enhance connectivity, collaboration, or community wellbeing.",,,7,112,,,"Connect Me pilot, energy hardship, ERANZ",11,S,,,,,,,,,,,,,,,,
255,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Low Fixed User Removal Credit,,,Meridian Energy,2023.0,"Meridian's dedication to community wellbeing is reflected in the thoughtful consideration given to the financial aspects of energy usage. By offering the Low Fixed User Removal Credit, Meridian aims to create a more equitable and accessible energy framework for its customers, thereby contributing to the financial resilience of its communities.",,,7,112,,,"Low Fixed User Removal Credit, energy hardship, ERANZ",11,S,,,,,,,,,,,,,,,,
256,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Energy Hardship working group,,,Meridian Energy,2023.0,"The Energy Hardship Working Group by Meridian exemplifies the company's commitment to addressing and mitigating energy-related challenges within the community. This working group likely brings together stakeholders from various sectors, including community organisations, government agencies, and advocacy groups, to collaboratively develop solutions and support mechanisms for individuals experiencing energy hardship.",,,7,112,,,"Energy Hardship working group, energy hardship, ERANZ",11,S,,,,,,,,,,,,,,,,
257,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Energy Wellbeing team,,,Meridian Energy,2023.0,"The Energy Wellbeing Team by Meridian embodies the company's commitment to community welfare by actively addressing the broader aspects of energy consumption. Comprising dedicated professionals, this team likely focuses on developing and implementing initiatives that promote energy efficiency, financial resilience, and overall wellbeing among the communities served by Meridian.",,,7,112,,,"Energy Wellbeing team, flooding, other retailers",11,S,,,,,,,,,,,,,,,,
