Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
76,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Mirvac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Mirvac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Mirvac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"Mirvac's scope 1 emissions in 2023 were 9,632 tCO2e.",,,,Mirvac,2023.0,,,,GRI index,,29,,,,,,,,,,,,,,,,,,,,
80,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Mirvac's scope 2 emissions in 2023 were 73,862 tCO2e.",,,,Mirvac,2023.0,,,,GRI index,ESG analyst toolkit,,,,,,,,,,,,,,,,,,,,,
81,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Mirvac's scope 3 emissions in 2023 were 10,606 tCO2e.",,,,Mirvac,2023.0,,,,GRI index,ESG analyst toolkit,,,,,,,,,,,,,,,,,,,,,
82,,305.0,Emissions,305-04,GHG emissions intensity,Mirvac had no emissions intensity data in 2023.,,,NO DISCLOSURE,Mirvac,2023.0,,,,GRI index,ESG analyst toolkit,,,,,,,,,,,,,,,,,,,,,
83,,305.0,Emissions,305-05,Reduction of GHG emissions,,5 Star NABERS,,,Mirvac,2023.0,"Mirvac has one of AustraliaÃ¢ÂÂs greenest office portfolios, with 17 office assets rated 5 Star NABERS Energy or higher. Mirvac's operating assets are supplied with 100 per cent renewable electricity, progressively electrifying its assets. Mirvac also has high waste diversion rates across construction and operations.",,,GRI index,,29,,"NABERS Energy, office portfolio, waste diversion","12, 13",E,,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-05,Reduction of GHG emissions,,Green Star Home,,,Mirvac,2023.0,"In FY23, Mirvac constructed its first Green Star Home at Waverley Park in Victoria. The home raises the bar for environmental and social sustainability as part of MirvacÃ¢ÂÂs commitment to creating outstanding living environments that leave a positive legacy. The house is a fully electric home and the most substantial GBCA-certified Green Star Home built to date. The home achieved a 7.8 Star NatHERS rating and has a 10kW solar panel system, making it one of Mirvac's highest-performing homes in terms of energy bills and renewable energy consumption.",,,GRI index,,29,,"Green Star Home, Waverley Park, fully-electric home",13,E,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),Mirvac's report did not include this information.,,,NO DISCLOSURE,Mirvac,2023.0,,,,GRI index,GRI index,,,,,,,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Mirvac's report did not include this information.,,,NO DISCLOSURE,Mirvac,2023.0,,,,GRI index,GRI index,,,,,,,,,,,,,,,,,,,,,
87,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Mates on The Move,,,Mirvac,2023.0,"A standout circularity project in the financial year was at Harbourside Shopping Centre in Sydney as Mirvac undertook vacant possession. Together with Mates on The Move, a work program run by Prisoners Aid NSW, Mirvac removed over 4,000 unwanted items weighing 22 tonnes, such as furniture and kitchen equipment valued at more than $320,000, delivered to local charities and businesses.",,,GRI index,,29,,"Mates on The Move, circularity project, Harbourside Shopping Centre",12,E,,,,,,,,,,,,,,,,
88,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste audit,,,Mirvac,2023.0,Mirvac's in-house team conducted waste audits with social enterprise partners at several retail centres and office assets to understand landfill waste composition and feedback recycling opportunities for customers.,,,GRI index,,29,,"Waste audit, social enterprise, waste composition",12,E,,,,,,,,,,,,,,,,
89,,306.0,Waste,306-02,Management of significant waste-related impacts,,Boral,,,Mirvac,2023.0,"This year, Mirvac worked with Boral on a trial to change the procurement and management of concrete at its Green Square project in Sydney. By connecting the supply and take-back of materials, waste concrete is reduced by 50 per cent, with 99.6 per cent of concrete waste recycled back into construction materials.",,,GRI index,,29,,"Boral, concrete, Green Square",12,E,,,,,,,,,,,,,,,,
90,,306.0,Waste,306-03,Waste generated,"Mirvac generated 30,162 tonnes of waste in 2023.",,,,Mirvac,2023.0,,,,GRI index,,29,,,,,,,,,,,,,,,,,,,,
91,,306.0,Waste,306-04,Waste diverted from disposal,Mirvac recycled 95% of its construction waste in 2023.,,,,Mirvac,2023.0,,,,GRI index,,29,,,,,,,,,,,,,,,,,,,,
92,,306.0,Waste,306-05,Waste directed to disposal,Mirvac directed 5% of its construction waste to landfill in 2023.,,,,Mirvac,2023.0,,,,GRI index,,29,,,,,,,,,,,,,,,,,,,,
93,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Mirvac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Mirvac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Mirvac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,401.0,Employment,401-01,New employee hires and employee turnover,,Women in Construction,,,Mirvac,2023.0,"Mirvac makes significant inroads in its Women in Construction program. Through targeted efforts, women made up 32 per cent of new hires in construction in the past year, increasing their representation in this part of the business to 18 per cent, up from 15 per cent in FY22. The program also continues Mirvac's focus on developing female leaders at Mirvac, with initiatives to help them acquire new skills, network with other senior leaders, and gain experience to advance their careers.",,,GRI index,,22,,"Women in Construction, new hire, female leader","8, 10",S,,,,,,,,,,,,,,,,
97,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"By building a diverse, inclusive, performance-oriented, and collaborative culture, Mirvac can continue to give itself a competitive advantage and inspire its people to deliver on its goals and urban strategy.",,,,Mirvac,2023.0,,,,GRI index,,22,,,,,,,,,,,,,,,,,,,,
