Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,National Australia Bank Limited,,,,NAB,2023.0,,,,Data pack,,Cover,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,NAB's report included National Australia Group Limited and Bank of New Zealand.,,,,NAB,2023.0,,,,Data pack,,238,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",NAB's report covers its performance in 2023.,,,,NAB,2023.0,,,,Data pack,,iii,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,NAB had no restatements in 2023.,,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,EY provided external assurance for NAB's report.,,,,NAB,2023.0,,,,Data pack,,iii,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",NAB provides banking services.,,,,NAB,2023.0,,,,Data pack,,12,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"NAB employed 36,598 employees in 2023.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"NAB had 9,466 contractors in 2023.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,NAB's Board comprises 12 directors in 2023.,,,,NAB,2023.0,,,,Data pack,,69,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Group Fit and Proper and BEAR Suitability Policy,,,NAB,2023.0,"NAB has a Group Fit and Proper and BEAR Suitability Policy that addresses the requirements of APRA Prudential Standard CPS 520 Fit and Proper and supports compliance with the obligations of the BEAR. This policy requires an annual assessment of the directors, certain members of senior management and responsible auditors, including determining whether they have the appropriate competence, character, diligence, honesty, integrity and judgement to perform their role.",,,Data pack,,74,,"Group Fit and Proper and BEAR Suitability Policy, senior management, auditor",16,G,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,Mr Philip Chronican is the chair of NAB's Board.,,,,NAB,2023.0,,,,Data pack,,64,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,,Code of Conduct,,,NAB,2023.0,"The Board approves NAB's purpose, values and Code of Conduct to underpin the desired culture within NAB's business and oversees the establishment by managing a culture focused on sound risk management and customer outcomes. NAB's refreshed strategy, released in 2020, clearly stated why NAB is here: to serve customers well and help its communities prosper.",,,Data pack,,81,,"Code of Conduct, desired culture, risk management",16,G,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,,Board Charter,,,NAB,2023.0,The Board Charter sets out the specific responsibilities of the Chair. The Chair's primary responsibility is to lead the Board and oversee the processes used by the Board in performing its role. The Board delegates certain powers to Board committees to help it fulfil its roles and responsibilities. Committee roles and responsibilities are set out in the respective charters and Board Committee Operating Rules.,,,Data pack,,71,,"Board Charter, responsibility, Board",16,G,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,,Securities Trading Policy,,,NAB,2023.0,"NAB's Group Securities Trading Policy and associated guidance notes explain the law and the policy for its colleagues to comply with when trading in NAB securities. NAB has black-out periods before releasing the Group's financial results, during which colleagues must not trade in NAB securities. In addition, ad hoc restrictions may be imposed on all or individually identified colleagues from time to time when there is a heightened risk of those colleagues coming into contact with market-sensitive information.",,,Data pack,,83,,"Securities Trading Policy, guidance note, black-out period",16,G,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,,Independence review,,,NAB,2023.0,"The Board conducts annual reviews of the independence of each of the directors. Directors are expected to provide information as and when changes occur, and each non-executive director must make an annual disclosure to the Board of all relevant information.",,,Data pack,,77,,"Independence, annual review, non-executive director",16,G,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-15,Conflict of interest,,NAB Conflicts of Interest Policy,,,NAB,2023.0,"The NAB Conflicts of Interest Policy and the NAB Constitution establish clear rules, controls and guidance regarding managing actual, potential or perceived conflicts of interest. Directors are expected to avoid any action, position or interest that conflicts or appears to conflict with an interest of NAB. It is a matter for ongoing and active consideration by all directors, and any director with a material personal interest in a matter relating to NAB's affairs must notify the Board.",,,Data pack,,77,,"NAB Conflicts of Interest Policy, NAB Constitution, conflict of interest",16,G,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-16,Communication of critical concerns,,Shareholding policy,,,NAB,2023.0,"To align with shareholders' interests, the Board has adopted a policy that within five years of appointment, non-executive directors must hold ordinary shares equal in value to the annual Chair fee for the Chair and base fee for all other non-executive directors. The value of a non-executive director's shareholding is based on the share price when shares were acquired.",,,Data pack,,78,,"Shareholder, director, ordinary share",16,G,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Skills matrix,,,NAB,2023.0,"To prepare the skills matrix, each director rates their skills, expertise and experience against several competency areas mapped to the skills matrix. The self-assessment ratings and skills matrix are reviewed and calibrated by the Nomination & Governance Committee on behalf of the Board.",,,Data pack,,75,,"Skills matrix, competency area, self-assessment",16,G,,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Orientation program,,,NAB,2023.0,"Each new director has an orientation program includes discussions with management, briefings, and workshops. Continuing education is provided for the Board through internal and external presentations, workshops with management, site visits and study tours. Directors are also expected to keep current on topical issues in their own time.",,,Data pack,,77,,"Orientation program, continuing education, presentation",16,G,,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,,Performance assessment,,,NAB,2023.0,"Under their respective charters, the Board and committees must assess their performance annually, undertaken during the year. An independent external performance evaluation of the Board and its committees is conducted every three years or as otherwise determined by the Board. An independent external performance evaluation was last undertaken in 2022.",,,Data pack,,76,,"Performance evaluation, Board, external performance evaluation",16,G,,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-19,Remuneration policies,,Colleague remuneration framework,,,NAB,2023.0,"The colleague remuneration framework was reviewed to ensure alignment with APRA Prudential Standard CPS 511 Remuneration requirements. As a result, modifications were made to the Group's specialist incentive plans to provide appropriate non-financial performance measures (individual risk management and conduct assessments), effective from 1 October 2023. As a result of the changes, all of NAB's incentive plans comply with APRA Prudential Standard CPS 511 Remuneration and continue to support the Group's strategic objectives and risk appetite.",,,Data pack,,76,,"Colleague remuneration framework, incentive requirement, non-financial performance",16,G,,,,,,,,,,,,,,,,
22,,2.0,General Disclosures,2-20,Process to determine remuneration,"The Board continues to monitor NAB's executive and Group remuneration frameworks to ensure they reinforce NAB's focus on customers, align with sustainable shareholder value and are informed by risk, reputation, conduct and values outcomes.",,,,NAB,2023.0,,,,Data pack,,76,,,,,,,,,,,,,,,,,,,,
23,,2.0,General Disclosures,2-21,Annual total compensation ratio,,Payroll review,,,NAB,2023.0,"The Payroll Review was established in January 2020 to examine NAB's compliance with obligations to colleagues relating to remuneration and other entitlements under applicable law and NAB agreements. Within Australia, NAB has finalised the investigation and remediation of the largest and most complex issues. NAB has made total payments of $154.7 million, including interest, to colleagues.",,,Data pack,,36,,"Payroll review, remediation, remuneration",16,G,,,,,,,,,,,,,,,,
24,,2.0,General Disclosures,2-22,Statement on sustainable development strategy,"""The banks that perform best are the ones that get the basics right consistently and we are determined to do so for our customers and colleagues. Thank you to our customers for choosing to bank with us and to my colleagues for their dedication this year. We look forward to continuing to serve you in 2024.""",,,,NAB,2023.0,,,,Data pack,,9,,,,,,,,,,,,,,,,,,,,
25,,2.0,General Disclosures,2-23,Policy commitments,,Risk appetite framework,,,NAB,2023.0,"Risk appetite cascades from the Group RAS, where specific ESG-related tolerances exist, including fossil fuel-related limits. The RAS operates with divisional Credit Appetite Strategies (CAS) and the Group's High-Risk ESG Sectors and Sensitive Areas list ('Sensitive Sectors and Areas List'). NAB's Sensitive Sectors and Areas List helps colleagues working with customers and suppliers know which sectors and activities may have a higher inherent exposure to ESG-related risks.",,,Data pack,,54,,"Risk appetite framework, Credit Appetite Strategy, Sensitive Sectors and Areas List",16,G,,,,,,,,,,,,,,,,
26,,2.0,General Disclosures,2-24,Embedding policy commitments,,Group Policy Governance Framework,,,NAB,2023.0,"The NAB Group Policy Governance Framework prescribes the minimum requirements for policies across the Group to support adherence to regulatory and legislative obligations, strategic ambition, risk appetite, and, where relevant, industry or best practices. Specific ESG-related policies include the Group Environmental Management Policy and Group Environmental Reporting and Offset Management Policy.",,,Data pack,,55,,"Group Policy Governance Framework, ESG-related policy, legislative obligation",16,G,,,,,,,,,,,,,,,,
