Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
132,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Diversity & Inclusion Framework,,,New Hope Corporation,2023.0,"The Framework guides our efforts to create a more consistent approach to increasing diversity of thought and experience across our business. The Framework encompasses and builds upon our efforts to date, much of which has focused on female participation, given the low gender diversity in our industry.",,,,44,,,"Diversity and Inclusion Framework, Strategy, policy","5, 8",S,"5, 8",,,,,,,,,,,,,,,
133,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,Not reported. Further details on gender equality are available in our annual report to the Australian Workplace Gender Equality Agency.,,,NO DISCLOSURE,New Hope Corporation,2023.0,,,,6,,,,,,,,,,,,,,,,,,,,,,
134,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,Not reported.,,,NO DISCLOSURE,New Hope Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"Under Australia's industrial relations framework, enterprise agreements (EAs) are negotiated collectively with employees and their bargaining and union representatives. New EAs are usually negotiated every three or four years, and final contracts are approved by and registered with the Fair Work Commission and made publicly available.",,,,New Hope Corporation,2023.0,,,,,48,,,,,,,,,,,,,,,,,,,,,
136,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,"Risk analysis undertaken for the Group indicates that the risk of slavery-like practices in the first tier of our supply chain is shallow. Some items used in the Group's operations are routinely imported from outside Australia. The risks of slavery-like practices, while low in the immediate supply chain interface, may exist in layers further up the supply chain.",,,,New Hope Corporation,2023.0,,,,5,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,
137,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,"Our procurement contracts include specific assurances and other undertakings from suppliers concerning modern slavery and labour practices. These include representations that all relevant legal requirements and awards will engage employees and that neither the supplier nor its immediate suppliers have committed illegal slavery-like offences. Additionally, prospective suppliers must provide information about their modern slavery-related policies and procedures as part of the onboarding process.",,,,New Hope Corporation,2023.0,,,,6,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,
138,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,New Hope Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,No Incidents,,,,New Hope Corporation,2023.0,,,,5,,,,,,,,,,,,,,,,,,,,,,
140,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,New Hope Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,New Hope Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,New Hope Corporation,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,BengallaÃ¢ÂÂs Community Consultative Committee (CCC),,,New Hope Corporation,2023.0,"Bengalla's Community Consultative Committee (CCC) comprises a range of community representatives, including representatives from Muswellbrook Shire Council. CCC members and meeting minutes are available on our website.",,,,34,,,"Community Consultative Committee (CCC), stakeholder, communication","5, 10, 16","S, G","2, 5, 10, 16",,,,,,,,,,,,,,,
144,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,New AclandÃ¢ÂÂs Community Reference Group,,,New Hope Corporation,2023.0,"New Acland's Community Reference Group is an advisory body comprising residents representing different parts of the community, including health, education, landholders and local Government.",,,,34,,,"Community Reference Group, communication, stakeholder","5, 10, 16","S, G","2, 5, 10, 16",,,,,,,,,,,,,,,
145,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Community Engagement,,,New Hope Corporation,2023.0,"This year, we have further enhanced our community engagement by appointing additional team members at New Acland and increased coordination to share approaches across the Group. We engage directly with local landholders on an ongoing basis on matters including land access, environmental monitoring, road closures, and operational updates. We also manage agricultural operations near our mine sites to minimise local impacts and ensure productive land use.",,,,34,,,"Community engagement, landholders, agricultural operations","5, 10, 12","S, E","2, 5, 10, 12",,,,,,,,,,,,,,,
146,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,New Acland Mine Community Information Centre,,,New Hope Corporation,2023.0,"The Centre was a mainstay of Campbell Street but closed when New Acland was placed into care and maintenance in March 2021. It is now open five days a week and is a one-stop shop for locals eager to discuss job and sponsorship opportunities, ask questions or raise concerns related to New Acland.",,,,35,,,"The Centre, community engagement, communication","5, 10",S,"2, 5, 10",,,,,,,,,,,,,,,
147,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Community Investment,,,New Hope Corporation,2023.0,"We contribute to and invest in a range of community groups and initiatives, focusing on skills, training and employability, as well as broader social and community development. At Bengalla, community groups have multiple formal pathways to seek financial and in-kind support, all focused on the immediate local community.",,,,38,,,"Community groups, skills training, employability, social development","4, 8, 10",S,"4, 8, 10",,,,,,,,,,,,,,,
