Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
168,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,"In FY23, on manager (level 3), the female percentage was 25.1%. On Supervisor, Superintendent, Coordinator (Level 2) was 17%. On Operator, Technical Advisor was 16.9%.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,52,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
169,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,"The range ratio of the basic salary of women to the basic pay of men of Brujack, Cadia, Lihir, Red Chris, Telfer, Exploration, Havieron, Namosi, WGJV, and Corporate Offices span from 69 to 99 among the Board, the Executive - Level 5, General Manager - Level 4, Manager - Level 3, Supervisor, superintendent, coordinator - Level 2, and Operator, Technical advisor - Level 1.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,53,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
170,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,"Three incidents of discrimination were reported for FY23. These related to allegations of discrimination and harassment in September 2022 at Brucejack. The site HR team investigated the incidents, and Company Standards took appropriate disciplinary action.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,2023 ESG DataBook_0 - GRI 400 series - Social.,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
171,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"0 operations identified as having significant risk for the right to freedom of association and collective bargaining. Newcrest has the Employee Organisations Standard (HR-ST-121), which details the rights of employees regarding freedom of association. Cadia has a Collective Bargaining Agreement in place - this was bargained directly with eligible employees and ratified in July 2021 and is in operation until July 2025. Red Chris has recently negotiated a collective bargaining agreement with the United Steel Workers Union with eligible employees. The deal is now in effect, with two matters currently pending arbitration. Telfer has a Collective Bargaining Agreement in place - this was bargained directly with eligible employees and ratified in November 2020 and is in operation until November 2024.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,2023 ESG DataBook_0 - GRI Content Index,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
172,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,"Newcrest complies with all minimum safety and age requirements for employees. It expects Suppliers to comply with all safety requirements, minimum age requirements and our human rights expectations. These requirements are managed through our purchase order terms, contract terms and conditions, and Supplier Performance Commitments. Young people may be engaged in approved apprentice programs. Newcrest mitigates risk through contract/purchase order terms, supplier sustainability questionnaires, high-risk category deep dives and World-Check supplier screening.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,2023 ESG DataBook_0 - GRI Content Index,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
173,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,"Newcrest mitigates risk through contract/purchase order terms, supplier sustainability questionnaires, high-risk category deep dives and World-Check supplier screening.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,2023 ESG DataBook_0 - GRI Content Index,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
174,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,"For our Australian and Canadian sites, online training is part of the initial induction for new security employees and contractors, with refresher training managed through our Learning Management System. In-person training is conducted at our sites without access to online learning.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,2023 ESG DataBook_0 - GRI Content Index,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
175,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,Cultural Heritage Management Plan,,,Newcrest,2023.0,"In FY23, we continued to strengthen Cultural Heritage management to seek to address potential risks proactively. It is demonstrated in developing the new standalone Cultural Heritage Standard and Functional Guidance Note, which includes consideration of Indigenous and First Nations heritage and historical and industrial heritage of non-Indigenous communities.",,,2023 ESG DataBook_0 - GRI Content Index,22,,,"Cultural Heritage Management, Functional Guidance Note, Indigenous and First Nations",11.0,S,,Sustainability Report - 2023,,,,,,,,,,,,,,
176,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,Chance Find Procedure,,,Newcrest,2023.0,"Sites have surface disturbance procedures outlining specific cultural heritage requirements to be fulfilled before ground disturbance occurs. Ground disturbance requirements must be satisfied before any work commences. In areas where jobs are undertaken on previously disturbed ground, each site has a Chance Find Procedure to protect and manage any cultural heritage that may have yet to be identified previously through surveys and other assessments.",,,2023 ESG DataBook_0 - GRI Content Index,22,,,"Chance Find Procedure, Surface Disturbance, Disturbed Ground",11.0,S,,Sustainability Report - 2023,,,,,,,,,,,,,,
177,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
178,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
179,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
180,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs","Our operations implemented local community engagement, impact assessments, and development programs. Depending on the process, this included:\n- Social impact assessments based on participatory processes;\n- Environmental impact assessments and ongoing monitoring;\n- Submission of results of environmental and social impact assessments to the regulator and, where possible or permitted, for public disclosure.\n- Local community development programs based on local communitiesÃ¢ÂÂ needs;\n- Stakeholder engagement plans based on stakeholder mapping;\n- Broad-based local community consultation committees and processes that include vulnerable groups;\n- Occupational health and safety committees and other worker representation bodies to deal with impacts; and\n- Formal local community grievance processes.",,,,Newcrest,2023.0,,,,2023 ESG DataBook_0 - GRI Content Index,2023 ESG DataBook_0 - GRI Content Index,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
