Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Northern Star is a global-scale Australian gold producer with world-class projects located in Australia and North America's highly prospective and low sovereign risk regions.\t,,,,Northern Star Resources,2023.0,,,,1,113,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"The entities included are Kalgoorlie Production Centre, Pogo Production Centre, Yandal Production Centre and Exploration Centre.",,,,Northern Star Resources,2023.0,,,,1,19,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",This Sustainability Report provides information on Northern Star's sustainability performance across its Operations from 1 July 2022 to 30 June 2023.,,,,Northern Star Resources,2023.0,,,,1,4,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Jundee Scope 1 Emissions were overstated by 63 t CO2-e in the FY22 Sustainability Report, KCGM Scope 2 Emissions were overstated by 33,000 t CO2-e in the FY22 Sustainability Report, Electricity generation for Porphyry was incorrectly reported in FY22 and has been removed in this report, Total tonnes of material recycled in FY22 was overstated by 21, FY21 net total water consumption up from 17,757 ML to 18,200 ML and our total freshwater consumption up from 1,666 ML to 2,110 ML, Total funds committed to Community Investment and Sponsorships was understated in the FY22 Sustainability Report by $0.64M, Revenue for FY22 (refer to Table 1) has been restated from $3,735M to $3,806M.",,,,Northern Star Resources,2023.0,,,,1,19,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,"Management has sought independent, third-party assurance by Bureau Veritas Australia Pty.",,,,Northern Star Resources,2023.0,,,,1,3,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",Northern Star is a global-scale Australian gold producer with world-class projects located in highly prospective and low sovereign risk regions of Australia and North America.,,,,Northern Star Resources,2023.0,,,,1,12 - 23,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"The group's total number of employees in FY23 was 3,587.",,,,Northern Star Resources,2023.0,,,,1,7,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,Workers who are not employees consist of contractors and apprentices.,,,,Northern Star Resources,2023.0,,,,1,7,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"The group governance structure consists of audit and risk, ESS, E&G, Nomination, People and culture.",,,,Northern Star Resources,2023.0,,,,1,,,2023-04-11 00:00:00,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,The nomination and selection of the highest governance body at Northern Star is a critical process overseen by the Nomination Committee.,,,,Northern Star Resources,2023.0,,,,1,,,2023-04-11 00:00:00,,,,,,,,,,,,,,,,,,,
