Unnamed: 0,Unnamed: 0.1,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
117,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions","Air contamination from combustion in transport and industrial processes was 2,693 tonnes.",,,,Orica,2023.0,,,,3,,ESG Data Centre,,,,,,https://www.orica.com/Sustainability/ESG-Data-Centre/Climate-and-the-natural-environment/Air-Emissions/nitrogen-oxides,,,,,,,,,,,,,,
118,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,306.0,Waste,306-02,Management of significant waste-related impacts,,Clean Up Plan,,,Orica,2023.0,"Orica's Clean Up Plan is a strategic initiative designed to minimise waste and enhance environmental sustainability across its operations. This comprehensive plan likely involves a set of systematic approaches, practices, and technologies aimed at reducing, reusing, and recycling waste generated during various processes.",,,3,,68,,"Clean Up Plan, Yarraville thermal remediation, treat legacy","14, 15",E,,,,,,,,,,,,,,,,
120,,306.0,Waste,306-02,Management of significant waste-related impacts,,Sixth shipment of waste,,,Orica,2023.0,Orica's Sixth Shipment of Waste underscores the company's commitment to waste minimisation and responsible disposal practices. This initiative involves systematically removing and managing waste materials as part of a larger reduction strategy.\t,,,3,,68,,"Sixth shipment of waste, hexachlorobenzene, 11,000 tonnes",15,E,,,,,,,,,,,,,,,,
121,,306.0,Waste,306-02,Management of significant waste-related impacts,,Phytoremediation project,,,Orica,2023.0,"Orica's Phytoremediation Project exemplifies the company's commitment to innovative and environmentally friendly approaches to minimise waste. This project likely involves using plants to remediate or clean up contaminated soil, water, or air, contributing to the overall reduction of environmental impact.",,,3,,68,,"Phytoremediation project, 50,000 seedlings, including nitrates",15,E,,,,,,,,,,,,,,,,
122,,306.0,Waste,306-03,Waste generated,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,306.0,Waste,306-04,Waste diverted from disposal,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
