Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
144,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,306.0,Waste,306-02,Management of significant waste-related impacts,,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,306.0,Waste,306-03,Waste generated,,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,306.0,Waste,306-04,Waste diverted from disposal,"In FY23, the Total waste diverted from disposal was 506 tonnes.",,,,QBE Insurance,2023.0,,,,1,,,,,,,,Location from Sustainability Data Book in DB Focus Area 1,,,,,,,,,,,,,,
150,,306.0,Waste,306-05,Waste directed to disposal,"In FY23, the Total waste directed to disposal was 288 tonnes.",,,,QBE Insurance,2023.0,,,,1,,,,,,,,Location from Sustainability Data Book in DB Focus Area 1,,,,,,,,,,,,,,
151,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,QBE Insurance,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,Net-zero discussions with strategic suppliers,,QBE Insurance,2023.0,"In 2023, in line with our Scorecard commitment to 'Commence formal engagement on net-zero progress with strategic suppliers in our global supply chain in 2023, with the goal of setting our own targets by 2025', we began net-zero discussions with strategic suppliers across our global supply chain. Discussions were centred around climate risks and opportunities and measuring and reducing emissions.",,,1,23,,,"Net-zero, Discussions, Supplier",13.17,"E,S",,,,,,,,,,,,,,,,
