Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
248,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,NextSense,,,Qantas,2023.0,"The Qantas-NextSense partnership is not just about meeting accessibility standards but reflects the airline's dedication to providing a welcoming and inclusive environment for all passengers. By addressing the specific needs of individuals with hearing impairments, Qantas aims to make air travel a more seamless and enjoyable experience for everyone.",,,1,37,,,"NextSense, Royal Institute for Deaf, Blind Children",11,S,,,,,,,,,,,,,,,,
249,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Pathfinders,,,Qantas,2023.0,"The Qantas-Pathfinders partnership goes beyond the traditional scope of corporate collaboration, reflecting the airline's belief in using its influence to make a meaningful difference in local communities. By supporting Pathfinders, Qantas actively fosters resilience, empowerment, and a brighter future for young individuals navigating challenging circumstances.",,,1,37,,,"Pathfinders, aviation enthusiasts, life jackets",11,S,,,,,,,,,,,,,,,,
250,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Aussie Ark,,,Qantas,2023.0,"Another successful Qantas Regional Grants recipient is supporting sustainable tourism and conservation in regional Australia. Aussie Ark, located in regional New South Wales, will use the grant to expand their eco-tourism accommodation options in the Barrington Tops, furthering Aussie Ark's ability to support the conservation of threatened native animals.",,,1,39,,,"Aussie Ark, Qantas Regional Grants, sustainable tourism",11,S,,,,,,,,,,,,,,,,
251,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Australian Red Cross,,,Qantas,2023.0,"The Qantas-Australian Red Cross partnership underscores the airline's dedication to corporate social responsibility and its recognition of the importance of supporting organisations that make a positive difference in the lives of Australians. By aligning with the Australian Red Cross, Qantas builds resilience, fosters community support, and contributes to the nation's overall wellbeing.",,,1,46,,,"Australian Red Cross, Lifeblood Teams program, donations",11,S,,,,,,,,,,,,,,,,
252,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Qantas Residents Fares,,,Qantas,2023.0,"Qantas Residents Fares is a regional program that supports residents living in selected restricted postcodes in Queensland, Western Australia and the Northern Territory by offering them discounted fares. Eligible residents can access year-round discounts, from 20 per cent off the Qantascontrolled component of all-inclusive return fares, from regional airports to their eligible city/cities.",,,1,62,,,"Qantas Residents Fares, all-inclusive return fares, discounts",11,S,,,,,,,,,,,,,,,,
253,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Qantas lounges for State Emergency Service,,,Qantas,2023.0,"The State Emergency Service members, dedicated to responding to natural disasters, accidents, and other emergencies, can access Qantas lounges to provide a comfortable and supportive environment. It includes amenities and services designed to provide a respite for these essential workers, recognising the demanding nature of their roles.",,,1,63,,,"Qantas lounges for State Emergency Service, flood-affected areas, volunteers travelling",11,S,,,,,,,,,,,,,,,,
254,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Noise abatement initiatives,,,Qantas,2023.0,"Additionally, Qantas actively engages with local communities and regulatory bodies to ensure transparent communication about its noise abatement strategies. The airline collaborates with relevant stakeholders to address concerns, implement best practices, and explore innovative solutions that balance operational needs with environmental and community considerations.",,,1,26,,,"Noise abatement initiatives, noise footprint, increase track miles",11,S,,,,,,,,,,,,,,,,
255,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,The Clontarf Foundation,,,Qantas,2023.0,"Qantas Airways proudly supports the Clontarf Foundation as part of its commitment to community engagement and social impact. The Clontarf Foundation is a non-profit organisation dedicated to improving young Indigenous Australians' education, life skills, self-esteem, and employment prospects.",,,,54,,,"The Clontarf Foundation, career opportunities, Torres Strait Islander students",11,S,,,,,,,,,,,,,,,,
256,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,One thousand three hundred eighty-five suppliers were screened using the Supply Chain Assurance Program.,,,,Qantas,2023.0,,,,1,26,,,,,,,,,,,,,,,,,,,,,
257,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,,Supplier Due Diligence Ecosystem,,,Qantas,2023.0,"The Supplier Due Diligence Ecosystem by Qantas involves a comprehensive process of evaluating and monitoring suppliers to assess their adherence to ethical, social, and environmental standards. This initiative aims to create a robust network of suppliers who share Qantas' commitment to corporate responsibility, diversity, and sustainable business practices.",,,1,32,,,"Supplier Due Diligence Ecosystem, evaluation, monitoring",17,G,,,,,,,,,,,,,,,,
258,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,,"Parallel sourcing strategy, Sourcing strategy, volumes of credits",,,Qantas,2023.0,"The Parallel Sourcing Strategy by Qantas entails engaging multiple suppliers for specific goods or services, reducing dependency on a single source. The airline can adapt more effectively to market conditions, disruptions, or unforeseen challenges that may impact the supply chain.",,,1,32,,,Parallel sourcing strategy,17,G,,,,,,,,,,,,,,,,
259,,415.0,Public Policy,415-01,Political contributions,,,,NO DISCLOSURE,Qantas,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,416.0,Customer Health and Safety,416-01,Assessment of the health and safety impacts of product and service categories,,,,NO DISCLOSURE,Qantas,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
