Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
66,,207.0,Tax,207-01,Approach to tax,"Management of Rio Tinto is responsible for the preparation of the Report, including the preparation of the Selected Information by the particular purpose basis of preparation in Appendix 1 to the Report; this includes determining that the basis of preparation is an acceptable basis of preparation in the circumstances and for such internal control as management determine is necessary to enable the preparation of Selected Information that is free from material misstatement, whether due to fraud or error.",,,,RIO Tinto,2023.0,,,,27,,,,,,,,,,,,,,,,,,,,,,
67,,207.0,Tax,207-02,"Tax governance, control, and risk management","Our objectives are to obtain reasonable assurance about whether the Selected Information is free from material misstatement, whether due to fraud or error, and to issue our opinion in an auditor's Report.",,,,RIO Tinto,2023.0,,,,27,,,,,,,,,,,,,,,,,,,,,,
68,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,"The ""Analysis by country and level of government"" section of the Report sets out taxes paid by our business units to governments in their countries, organised by country and named level of Government.",,,,RIO Tinto,2023.0,,,,28,,,,,,,,,,,,,,,,,,,,,,
69,,207.0,Tax,207-04,Country-by-country reporting,$76bn Paid in taxes and royalties globally over the past 10 years,,,,RIO Tinto,2023.0,,,,,,12,,,,,,,,,,,,,,,,,,,,
70,,207.0,Tax,207-04,Country-by-country reporting,"Our activities in China resulted in an accounting loss overall. Notwithstanding the overall accounting loss position, we accrued tax for some entities in a taxable profit position without the ability to offset tax losses from other entities. We received tax refunds due to overpaying taxes in prior years.",,,,RIO Tinto,2023.0,,,,1,,,,,,,,,,,,,,,,,,,,,,
71,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,RIO Tinto,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,RIO Tinto,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,RIO Tinto,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,302.0,Energy,302-01,Energy consumption within the organization,Total energy 406 PJ,,,,RIO Tinto,2023.0,,,,,,,,,,,,Fact book,,,,,,,,,,,,,,
75,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,RIO Tinto,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,RIO Tinto,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,302.0,Energy,302-04,Reduction of energy consumption,,Renewable diesel,,,RIO Tinto,2023.0,"Our Boron operation in California has transitioned heavy machinery from fossil to renewable diesel. We expect this to reduce our CO2 equivalent by up to 45,000 tonnes per year, like eliminating the emissions of 9,600 cars.",,,,,11,,"Energy transition, carbon reduction, renewable energy","7, 12, 13",E,,,,,,,,,,,,,,,,
78,,302.0,Energy,302-05,Reductions in energy requirements of products and services,"NutonTM, our bioleaching technology venture, has the potential to deliver game-changing ESG performance. Compared to conventional concentrating and smelting and based on our comparative environmental benchmark study with the University of Technology, Sydney, NutonTM is projected to have a carbon intensity up to 60% lower than a global average of 5.2 tonnes per tonne of copper.",,,,RIO Tinto,2023.0,,,,,,36,,,,,,,,,,,,,,,,,,,,
79,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"Water is a shared resource critical to sustaining biodiversity, people and economic prosperity. Increasingly disrupted weather patterns and more extreme weather events due to climate change and a growing world population mean that efficiently managing water is more important than ever. How we think about water and manage associated risks reflects the diversity of our operations and geographic locations. Some of our assets operate in water-scarce regions, while others must remove excess water to allow safe mining operations.",,,,RIO Tinto,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Catchment-level approach,,,RIO Tinto,2023.0,We adopt a catchment-level approach to developing potential solutions and managing our operational risks and impacts to address this complexity. We use 2030 water stress as determined by the World Resource Institute (WRI) to identify operational catchments of most concern.,,,,,59,,"Water Management, Catchment Approach, Framework","6, 15",E,,,,,,,,,,,,,,,,
