Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
58,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
59,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
60,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
61,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
62,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
63,,303.0,Water and Effluents,303-05,Water consumption,,"Fresh Food, Less Water Approach",,,Ramsay,2023.0,"Ramsay SantÃÂ©Ã¢ÂÂs Clinique de lÃ¢ÂÂUnion is the first healthcare operator in Occitanie, France, to set up an urban farm on its site. It has installed 30 fruit and vegetable columns, which use 90% less water than traditional garden beds. The hospital also harvests honey from its bee hives.",,,54,39,,,"Occitanie, Urban Famrs, Bee Hives",712.0,E,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
64,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
65,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
66,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,Jubilee Tress Planting,,Ramsay,2023.0,"To mark Her Majesty The QueenÃ¢ÂÂs Platinum Jubilee, many of ElysiumÃ¢ÂÂs services took part in the 2022 QueenÃ¢ÂÂs Green Canopy initiative. People supported by services across Elysium and colleagues throughout the organisation planted trees with a commemorative plaque in their gardens or grounds.",,,54,39,,,"Queen's Platinum Jubilee, Green Canopy Initiatives, Planted Trees",15.0,E,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
67,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Ramsay,2023.0,,,,,,,,,,,,Ramsay Health Care Impact Report - Final - 2023,,,,,,,,,,,,,,
