Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
168,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Reece Merchandising and Operation Support Teams,,,Reece,2023.0,Reece merchandising and operations support teams are responsible for procuring our goods and services and appointing approved suppliers. Operations activity may also be carried out by operational teams directly.,,,2,,,,"Merchandising, Operation, Support",8.16,"S,G",,Location from MSS Page 10,,,,,,,,,,,,,,
169,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Reece,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Reece,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Reece,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Monitor External Factors,,Reece,2023.0,"Monitoring external factors in human rights is critical to ensuring that organizations respect and uphold human rights principles in their operations. By systematically monitoring external factors in human rights, Reece Limited can proactively address challenges, mitigate risks, and contribute to promoting and protecting human rights within its sphere of influence.",,,2,,,,"Monitor, External, Factors",81216.0,S,,Location from MSS Page 12,,,,,,,,,,,,,,
173,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Screen New Suppliers,,Reece,2023.0,"Screening new suppliers is critical in ensuring your organization engages with reliable and ethical partners. Supplier screening assesses potential suppliers' capabilities, reputation, and compliance before agreeing to work with them.",,,2,,,,"Screening, Supplier, Human Right",121617.0,"S,G",,Location from MSS Page 12,,,,,,,,,,,,,,
174,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Risk Assessment for Supplier,,Reece,2023.0,"Conducting a risk assessment for suppliers is crucial in evaluating the potential risks of engaging specific suppliers. This assessment helps organizations identify, prioritize, and mitigate risks to ensure a reliable and ethical supply chain.",,,2,,,,"Human Rights, Supplier, Assessment",121617.0,"S,G",,Location from MSS Page 12,,,,,,,,,,,,,,
175,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Supplier Audits,,Reece,2023.0,"A supplier audit is a systematic and comprehensive examination of a supplier's processes, systems, and performance to ensure compliance with contractual agreements, quality standards, regulatory requirements, and ethical practices. Supplier audits are essential for maintaining a reliable and honest supply chain.",,,2,,,,"Human Rights, Supplier, Audit",121617.0,"S,G",,Location from MSS Page 12,,,,,,,,,,,,,,
176,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Review Modern Slavery Statement,,Reece,2023.0,A modern slavery statement is a document that organizations often produce to outline their efforts in addressing and preventing modern slavery within their operations and supply chains. These statements are typically required by legislation in some jurisdictions and are considered a crucial aspect of corporate social responsibility.,,,2,,,,"Human Rights, Slavery, Statement",16.0,"S,G",,Location from MSS Page 12,,,,,,,,,,,,,,
177,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,Reece,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Reece Wellness Program,,Reece,2023.0,"Reece has a well-established wellness program that addresses physical, mental, and social well-being. It might include initiatives such as fitness programs, health screenings, mental health support, nutritional guidance, or other well-being activities for employees.",,,2,13,,,"Human Rights, Wellness, Program",5816.0,"S,G",,,,,,,,,,,,,,,,
179,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Thriving Workplace,,Reece,2023.0,"In FY23, we embarked on a consultation and plan to launch a refreshed strategy, 'Thriving Workplace'. A thriving workplace is characterized by an environment that fosters its employees' well-being, engagement, and overall success.",,,2,13,,,"Human Rights, Thriving, Workplace",8.16,"S,G",,,,,,,,,,,,,,,,
180,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Employee Assistance Program,,Reece,2023.0,"An Employee Assistance Program (EAP) is a workplace benefit designed to support employees facing personal or professional challenges that may impact their well-being and performance. EAPs typically offer confidential counselling, resources, and services to help employees address various issues.",,,2,13,,,"Human Rights, Employee Assistance, EAP",8.16,"S,G",,,,,,,,,,,,,,,,
181,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,US pension scheme matching program,,Reece,2023.0,"In the United States, employer-sponsored retirement plans often include a matching program as part of the overall pension. A matching program is a benefit employers offer to encourage employees to contribute to their retirement savings by matching a certain percentage of the employee's contributions.",,,2,13,,,"Human Right, Pension, Program",8.16,"S,G",,,,,,,,,,,,,,,,
182,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Wellbeing Program,,Reece,2023.0,"A well-being program is a set of initiatives and activities implemented by Reece Limited to support and enhance their employees' overall health, happiness, and productivity. These programs go beyond traditional health and safety measures to address various aspects of employees' lives, including physical, mental, and social well-being.",,,2,13,,,"Human Right, Well-being, Program",8.16,"S,G",,,,,,,,,,,,,,,,
183,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Mental Health Training,,Reece,2023.0,"Mental health training is designed to educate individuals about mental health issues, reduce stigma, and provide tools and skills to support the well-being of oneself and others. Such training is valuable in various settings, including workplaces, educational institutions, community organizations, and healthcare environments.",,,2,13,,,"Human Right, Mental, Training",8.16,"S,G",,,,,,,,,,,,,,,,
184,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Traumatic Event Guide,,Reece,2023.0,"A guide for managing traumatic events is crucial for Reece Limited to navigate the aftermath of such incidents and support the well-being of individuals affected. Traumatic events can include natural disasters, accidents, acts of violence, or any other incident that causes significant emotional distress.",,,2,13,,,"Human Right, Traumatic, Event",8.16,"S,G",,,,,,,,,,,,,,,,
185,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Workshop with The Freedom Hub,,Reece,2023.0,"A workshop with the freedom hub typically involves training and discussions focused on understanding, evaluating, and promoting human rights within various contexts. The workshop may cover human rights principles, international standards, and practical assessment approaches.",,,2,,,,"Human Right, Workshop, Freedom",8.16,"S,G",,Location from MSS Page 14,,,,,,,,,,,,,,
186,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Compulsory Modern Slavery Training,,Reece,2023.0,"Compulsory modern slavery training is a crucial initiative aimed at raising awareness, preventing, and addressing modern slavery in workplaces. Mandatory training ensures that employees and relevant stakeholders understand the signs of modern slavery, their role in prevention, and the actions to take if they encounter such situations.",,,2,,,,"Human Right, Slavery, Training",8.16,"S,G",,Location from MSS Page 14,,,,,,,,,,,,,,
187,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Reece,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,,NO DISCLOSURE,Reece,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Cambodia Project,,Reece,2023.0,"In partnership with Community Generation, the team has spent the past four weeks getting to know and working with local communities in Cambodia, digging trenches, laying pipes, installing toilets, and building drinking and handwashing stations to help over 2000 people access clean water.",,,2,22,,,"Engagement, Cambodia, Project",6.11,"E,S",,,,,,,,,,,,,,,,
