Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
30,,2.0,General Disclosures,2-30,Collective bargaining agreements,"Collective agreements are not customary in SEEKÃ¢ÂÂs industry, as employees are engaged under individual contracts in predominantly professional roles. SEEK employees are not restricted in their entitlement to freedom of association.",,,,SEEK,2023.0,,,,44,27,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
31,,3.0,Material Topics,3-1,Process to determine material topics,"SEEKÃ¢ÂÂs approach to Environmental, Social and Governance (ESG) topics focuses on areas that have the most impact and align most with SEEK and its stakeholders and where SEEK can make a meaningful difference. The topics covered in this report are the ESG risks and opportunities that could impact SEEKÃ¢ÂÂs ability to sustain future financial performance and deliver on its long-term strategy, along with those that have a positive impact embodied in SEEKÃ¢ÂÂs purpose.",,,,SEEK,2023.0,,,,44,6,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
32,,3.0,Material Topics,3-2,List of material topics,"SEEKÃ¢ÂÂs material topics have evolved since its initial materiality assessment in 2019. Human rights is a material ESG topic reflecting in part the potential impacts of job advertising (fair hiring), particularly in Asia. As a result, SEEK is focused on improving its hiring practices across the region. Climate change continues to be a key material topic for stakeholders.",,,,SEEK,2023.0,,,,44,6,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
33,,3.0,Material Topics,3-3,Management of material topics,,Responsible AI Reviews,,,SEEK,2023.0,We undertook a review of our cyber response framework and a review of our data security control environment to identify appropriate enhancements to the governance of our controls. Completed responsible AI reviews to test that\nAI-based services remain aligned with SEEKÃ¢ÂÂs Responsible AI Principles.,,,44,4,,,"Responsible AI Reviews, AI-Based Services, SEEK's responsible AI Principles",48.0,S,,Sustainability Report - 2023,,,,,,,,,,,,,,
34,,3.0,Material Topics,3-3,Management of material topics,,Equal Representation,,,SEEK,2023.0,"Our APAC workforce comprises 50% women and 50% men, and we maintain equal representation of women and men on the Executive Leadership Team. Employee engagement scores remained high during the year. Maintained equal representation of women and men on the Executive Leadership Team.",,,44,4,,,"Equal Representation, Executive Leadership Team, Women and Men",48.0,S,,Sustainability Report - 2023,,,,,,,,,,,,,,
35,,3.0,Material Topics,3-3,Management of material topics,,SEEK-wide,,,SEEK,2023.0,We took the following steps toward net zero by setting a SEEK-wide interim emissions reduction target for 2025. We also completed a climate scenario analysis to assess the changes and impacts of climate change on SEEK. Committed to a SEEK-wide 40% emissions reduction target across all scopes by 2025.,,,44,4,,,"SEEK-wide, Emissions Reduction Target, 2025",48.0,S,,Sustainability Report - 2023,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-3,Management of material topics,,Anti-Bribery Compliance,,,SEEK,2023.0,We are working on readiness for compliance with the new international sustainability reporting standards. Achieved 100% completion of anti-bribery compliance training for new employees across APAC and maintained refresher training every two years for existing employees.,,,44,4,,,"Anti-Bribery Compliance, Training, New Employees",48.0,S,,Sustainability Report - 2023,,,,,,,,,,,,,,
37,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
38,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
40,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
41,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
42,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
43,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
44,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
45,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,SEEK,2023.0,,,,44,,,,,,,,Sustainability Report - 2023,,,,,,,,,,,,,,
