Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
68,,303.0,Water and Effluents,303-05,Water consumption,Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,110,,,,,,,,,,,,,,,,,,,,,,
69,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,111,,,,,,,,,,,,,,,,,,,,,,
70,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,111,,,,,,,,,,,,,,,,,,,,,,
71,,304.0,Biodiversity,304-03,Habitats protected or restored,Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,111,,,,,,,,,,,,,,,,,,,,,,
72,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,111,,,,,,,,,,,,,,,,,,,,,,
73,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"In 2021-2022, Santos achieved a reduction in its direct (Scope 1) GHG emissions, with gross operated emissions decreasing to 7.98 million tons of CO2 equivalent and equity share emissions reaching 4.75 million tons of CO2 equivalent.",,,,Santos,2023.0,,,,111,,,,,,,,Climate Change Report (Page 64),,,,,,,,,,,,,,
74,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Santos reported consistent indirect (Scope 2) greenhouse gas (GHG) emissions from 2021 to 2022, with gross operated emissions of 0.61.",,,,Santos,2023.0,,,,111,,,,,,,,Climate Change Report (Page 64),,,,,,,,,,,,,,
75,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Santos reported other indirect (Scope 3) GHG emissions of 30.0 in 2021-2022,",,,,Santos,2023.0,,,,111,,,,,,,,Climate Change Report (Page 64),,,,,,,,,,,,,,
76,,305.0,Emissions,305-04,GHG emissions intensity,Santos reports a GHG emissions intensity for Scope 1 and 2 with an equity share intensity of 52.,,,,Santos,2023.0,,,,111,,,,,,,,Climate Change Report (Page 64),,,,,,,,,,,,,,
77,,305.0,Emissions,305-05,Reduction of GHG emissions,"Santos has reduced greenhouse gas (GHG) emissions for their equity share in both Scope 1 and Scope 3 emissions. Specifically, their Scope 1 emissions decreased from 4.86 to 4.75, and their Scope 3 emissions decreased from 30.3 to 30.0.",,,,Santos,2023.0,,,,111,,,,,,,,Climate Change Report (Page 64),,,,,,,,,,,,,,
78,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,111,,,,,,,,,,,,,,,,,,,,,,
79,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,111,,,,,,,,,,,,,,,,,,,,,,
80,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Waste Avoidance,,,Santos,2023.0,"Santos' Waste Avoidance initiative focuses on reducing and preventing waste generation throughout its operations. Santos aims to minimise waste production, recycle materials, and promote sustainable practices by implementing strategies to minimise their environmental footprint and contribute to a more circular and resource-efficient economy.",,,111,33,,,"waste avoidance, waste management, sustainable practice","12, 13",E,,,,,,,,,,,,,,,,
81,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Maximising Reuse and Recovery,,,Santos,2023.0,"Santos has undertaken initiatives to maximise the reuse and recovery of resources. In the Cooper Basin, they've provided their personnel with reusable lunchbox sets, including cooler bags, ice packs, microwave-safe containers, and cutlery to reduce single-use waste. At Curtis Island, they've also introduced reusable hearing protection custom-fit to each person's ear canal, significantly reducing the disposal of polyurethane disposable earplugs and contributing to a more sustainable waste management approach.","This initiative, which includes introducing custom-moulded earplugs and reusable lunchbox sets, has already eliminated over 80,000 disposable lunch containers and the disposal of up to 72,000 earplugs per year. These efforts represent significant progress toward Santos' goal of achieving zero waste to landfill by 2050.",,111,34-35,,,"reuse, resources recovery, waste management","12, 13",E,,,,,,,,,,,,,,,,
82,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Improving Recycling Rates,,,Santos,2023.0,"Santos is actively focused on enhancing recycling rates within its operations. The company aims to increase the diversion of materials from landfills through targeted recycling programs and waste management strategies, contributing to a more sustainable and environmentally responsible approach to waste disposal.\t",,,111,33,,,"recycle, waste management, waste disposal","12, 13",E,,,,,,,,,,,,,,,,
83,,306.0,Waste,306-02,Management of significant waste-related impacts,Data not available. Consideration to be given for the next Materiality Assessment.,,,NO DISCLOSURE,Santos,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,306.0,Waste,306-03,Waste generated,"Santos has a commendable approach to waste management in Australia, with over 70 per cent of waste generated being diverted away from landfills through methods such as reuse, recycling, or treatment.",,,,Santos,2023.0,,,,111,27,,,,,,,,,,,,,,,,,,,,,
85,,306.0,Waste,306-04,Waste diverted from disposal,"Santos has made significant progress in diverting waste from disposal. Despite an increase in the total volume of waste generated, the company has achieved a substantial increase of over 170 per cent in the volume of waste being reused, recycled, or treated.",,,,Santos,2023.0,,,,111,33,,,,,,,,,,,,,,,,,,,,,
86,,306.0,Waste,306-05,Waste directed to disposal,"In Santos' Australian operations, there has been a substantial reduction in the volume of waste sent to landfill, with a nearly four-fold decrease since 2016.",,,,Santos,2023.0,,,,111,33,,,,,,,,,,,,,,,,,,,,,
87,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Santos,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
