Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3
2,,201-03,201-03,1.0
3,,201-04,201-04,2.0
4,,202-01,202-01,3.0
5,,202-02,202-02,4.0
6,,301-01,301-01,5.0
7,,301-02,301-02,6.0
8,,301-03,301-03,7.0
9,,302-01,302-01,8.0
10,,302-02,302-02,9.0
11,,302-03,302-03,10.0
12,,302-04,302-04,11.0
13,,302-05,302-05,12.0
14,,303-01,303-01,13.0
15,,303-02,303-02,14.0
16,,303-03,303-03,15.0
17,,303-04,303-04,16.0
18,,303-05,303-05,17.0
19,,304-01,304-01,18.0
20,,304-02,304-02,19.0
21,,304-03,304-03,20.0
22,,304-04,304-04,21.0
23,,305-06,305-06,22.0
24,,305-07,305-07,23.0
25,,306-02,306-02,24.0
26,,307-01,307-01,25.0
27,,308-01,308-01,26.0
28,,308-02,308-02,27.0
29,,401-02,401-02,28.0
30,,402-01,402-01,29.0
31,,403-08,403-08,30.0
32,,403-10,403-10,31.0
33,,404-01,404-01,32.0
34,,404-02,404-02,33.0
35,,404-03,404-03,34.0
36,,405-02,405-02,35.0
37,,406-01,406-01,36.0
38,,407-01,407-01,37.0
39,,408-01,408-01,38.0
40,,410-01,410-01,39.0
41,,411-01,411-01,40.0
42,,412-01,412-01,41.0
43,,412-02,412-02,42.0
44,,412-03,412-03,43.0
45,,413-01,413-01,44.0
46,,413-02,413-02,45.0
47,,414-02,414-02,46.0
48,,415-01,415-01,47.0
49,,416-01,416-01,48.0
50,,416-02,416-02,49.0
51,,417-01,417-01,50.0
52,,417-02,417-02,51.0
53,,417-03,417-03,52.0
54,,418-01,418-01,53.0
55,,419-01,419-01,54.0
