Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Sonic Healthcare Limited (SHL) is a publicly listed company limited by shares under the Australian Corporations Act 2001. Sonic Healthcare Limited shares are listed on the Australian Securities Exchange (SHL.AX).,,,,Sonic Healthcare,2023.0,,,,1,99,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Sonic's limited group report included Clinpath Laboratories Pty Ltd, Lifescreen Australian Pty Ltd, Sonic Clinical Trials Pty Ltd, etc.",,,,Sonic Healthcare,2023.0,,,,1,,120,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point","Sustainability reports (previously titled Corporate Responsibility Reports) are issued annually and cover the same period as Sonic Healthcare's financial reports, from 1 July to 30 June. This report covers the period 1 July 2022 to 30 June 2023.",,,,Sonic Healthcare,2023.0,,,,1,99,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Sonic Healthcare scope 1 and 2 emissions data FY 2021 and FY2022 have been restated to reflect an estimate of refrigerant gas and dry ice usage, the application of a stricter definition of operational control and the influence of material acquisitions.",,,,Sonic Healthcare,2023.0,,,,1,99,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,"Sonic Healthcare's 2023 Sustainability Report has yet to be independently assured. However, the information and data in the report have been subject to various internal review and validation levels to ensure the disclosures are materially accurate, complete and prepared consistently. \t",,,,Sonic Healthcare,2023.0,,,,1,2,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","Sonic Healthcare is a leading international healthcare company specialising in pathology/laboratory medicine, radiology, general practice medicine and corporate medical services. Sonic is committed to clinical and operational excellence in delivering medical services to doctors and patients.",,,,Sonic Healthcare,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"Sonic Healthcare had 40,594 employees in 2023.",,,,Sonic Healthcare,2023.0,,,,1,40,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"Sonic Healthcare had 1,502 contractors and temporary staff in 2023",,,,Sonic Healthcare,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"Sonic's governance structure comprises the boards, senior executive teams, and managing directors.",,,,Sonic Healthcare,2023.0,,,,2,,,,,,,,Location from board charter page 4,,,,,,,,,,,,,,
